Date,Price,TV,TC,TPC,TNC,NC,NPC,NNC,SI,SIR,VMP,PCR,SVI - T,SVI - S,SVI,SHOUT
1/2/2015,27.333,53143770,,,,979,27,-23,245672046.2,1.370913735,0.3325175,0.688274038,23.11111111,11.42857143,34.53968254,5864840000
1/5/2015,26.562,64210880,,,,1367,44,-13,246168892.4,1.338198573,0.36485,0.610288312,28.88888889,14.28571429,43.17460317,5864840000
1/6/2015,26.565,65682250,,,,1966,64,-28,246665738.7,1.305483411,0.3704925,0.54081681,24.55555556,14.28571429,38.84126984,5864840000
1/7/2015,26.938,39983350,,,,2298,124,-39,247162584.9,1.272768249,0.3593275,0.538039279,24.55555556,11.42857143,35.98412698,5864840000
1/8/2015,27.972,59168760,,,,2099,112,-29,247659431.1,1.240053086,0.3432025,0.44727522,26,14.28571429,40.28571429,5864840000
1/9/2015,28.003,53645730,,,,2521,169,-42,248156277.3,1.207337924,0.34917,0.541587837,30.33333333,12.85714286,43.19047619,5864840000
1/12/2015,27.312,49571170,,,,1119,49,-13,248653123.6,1.174622762,0.376154,0.614831992,21.66666667,11.42857143,33.0952381,5864840000
1/13/2015,27.555,66969980,,,,2002,116,-43,249149969.8,1.1419076,0.3679255,0.587992991,24.55555556,12.85714286,37.41269841,5864840000
1/14/2015,27.45,48728190,,,,2602,189,-103,249646816,1.109192438,0.3799865,0.839509601,27.44444444,12.85714286,40.3015873,5864840000
1/15/2015,26.705,59808470,,,,2445,88,-92,249646816,1.109192438,0.405029,0.60033284,21.66666667,11.42857143,33.0952381,5864840000
1/16/2015,26.497,78453330,,,,2248,88,-88,248126785.3,1.074096409,0.374766,0.556522092,26,14.28571429,40.28571429,5864840000
1/20/2015,27.18,49742320,,,,1437,52,-18,246606754.7,1.03900038,0.3479945,0.463331993,24.55555556,11.42857143,35.98412698,5864840000
1/21/2015,27.388,48482860,,,,1900,109,-18,245086724,1.003904351,0.3501785,0.52337906,26,12.85714286,38.85714286,5864840000
1/22/2015,28.1,53717440,,,,2474,88,-20,243566693.3,0.968808322,0.3249785,0.417830647,28.88888889,11.42857143,40.31746032,5864840000
1/23/2015,28.245,46420020,,,,2224,166,-38,242046662.7,0.933712294,0.327886,0.461212403,27.44444444,14.28571429,41.73015873,5824748000
1/26/2015,28.275,55457420,,,,1504,80,-15,240526632,0.898616265,0.3660775,0.4585598,28.88888889,12.85714286,41.74603175,5824748000
1/27/2015,27.285,92326640,,,,2159,174,-35,239006601.3,0.863520236,0.3988055,0.567720841,70.77777778,22.85714286,93.63492063,5824748000
1/28/2015,28.827,146184300,,,,6198,878,-108,237486570.7,0.828424207,0.281087,0.527971623,96.77777778,47.14285714,143.9206349,5824748000
1/29/2015,29.725,84132130,,,,4143,510,-70,235966540,0.793328178,0.2611695,0.419039728,53.44444444,28.57142857,82.01587302,5824748000
1/30/2015,29.29,83646800,6169,866,-329,2539,156,-47,235966540,0.793328178,0.281964,0.471892304,43.33333333,21.42857143,64.76190476,5824748000
2/2/2015,29.657,62542440,1657,159,-68,1361,46,-15,236900822.7,0.833148554,0.2601985,0.450364396,31.77777778,11.42857143,43.20634921,5824748000
2/3/2015,29.663,51842080,4275,446,-297,2659,174,-40,237835105.3,0.87296893,0.247731,0.50149766,31.77777778,15.71428571,47.49206349,5824748000
2/4/2015,29.89,69975180,4576,387,-246,2107,101,-21,238769388,0.912789306,0.2532685,0.242758512,31.77777778,18.57142857,50.34920635,5824748000
2/5/2015,29.985,42197110,6158,638,-326,2374,129,-22,239703670.7,0.952609682,0.244893,0.697930099,28.88888889,17.14285714,46.03174603,5824748000
2/6/2015,29.733,43633660,4264,325,-245,2054,92,-28,240637953.3,0.992430058,0.257374,0.587638036,31.77777778,17.14285714,48.92063492,5824748000
2/9/2015,29.93,37900780,1510,123,-69,1275,38,-8,241572236,1.032250434,0.244742,0.671346329,24.55555556,11.42857143,35.98412698,5824748000
2/10/2015,30.505,61845390,4948,439,-192,2111,115,-26,242506518.7,1.07207081,0.231041,0.519218948,30.33333333,18.57142857,48.9047619,5824748000
2/11/2015,31.22,73278020,8640,1522,-265,3288,304,-53,243440801.3,1.111891186,0.2328735,0.463086883,39,25.71428571,64.71428571,5824748000
2/12/2015,31.615,74374630,7281,956,-323,3351,152,-41,244375084,1.151711562,0.232024,0.429928636,41.88888889,24.28571429,66.17460317,5824748000
2/13/2015,31.77,53955650,4879,481,-155,3220,109,-34,244375084,1.151711562,0.230399,0.496251653,37.55555556,21.42857143,58.98412698,5824748000
2/17/2015,31.958,63014110,4161,184,-75,2262,66,-15,250189186.5,1.153017932,0.238662,0.439456394,36.11111111,20,56.11111111,5824748000
2/18/2015,32.179,44695980,6515,379,-169,3093,154,-32,256003289,1.154324303,0.2259905,0.392117357,33.22222222,18.57142857,51.79365079,5824748000
2/19/2015,32.112,37295460,5569,322,-283,2584,155,-32,261817391.5,1.155630673,0.226932,0.510611945,33.22222222,18.57142857,51.79365079,5824748000
2/20/2015,32.374,48878410,5212,344,-202,2046,108,-35,267631494,1.156937044,0.22553,0.449904423,33.22222222,17.14285714,50.36507937,5824748000
2/23/2015,33.25,73089250,3546,142,-46,1737,127,-6,273445596.5,1.158243414,0.245756,0.48702363,34.66666667,21.42857143,56.0952381,5824748000
2/24/2015,33.042,69109410,8625,903,-275,2884,177,-22,279259699,1.159549784,0.242042,0.40541158,41.88888889,22.85714286,64.74603175,5824748000
2/25/2015,32.197,74555120,7121,539,-602,3009,160,-61,285073801.5,1.160856155,0.257,0.563631832,34.66666667,20,54.66666667,5824748000
2/26/2015,32.604,91171830,7056,545,-936,2858,123,-98,290887904,1.162162525,0.26324,0.552006626,39,20,59,5824748000
2/27/2015,32.115,61931350,9382,557,-1056,3076,166,-71,290887904,1.162162525,0.2661445,0.663601018,34.66666667,20,54.66666667,5824748000
3/2/2015,32.272,48042680,4807,124,-176,2761,70,-22,287785600,1.160404949,0.2618895,0.520727693,30.33333333,17.14285714,47.47619048,5824748000
3/3/2015,32.34,37749900,5236,358,-194,3054,125,-43,284683296,1.158647372,0.256464,0.643666414,28.88888889,18.57142857,47.46031746,5824748000
3/4/2015,32.135,31588480,7323,558,-352,3018,135,-63,281580992,1.156889796,0.257628,0.511608156,30.33333333,15.71428571,46.04761905,5824748000
3/5/2015,31.603,56391280,6968,326,-204,3155,158,-61,278478688,1.15513222,0.268007,0.459629949,27.44444444,18.57142857,46.01587302,5824748000
3/6/2015,31.65,72699680,8440,245,-312,3115,172,-38,275376384,1.153374643,0.2778575,0.555072293,36.11111111,22.85714286,58.96825397,5824748000
3/9/2015,31.785,88410240,8656,157,-100,2644,94,-22,272274080,1.151617067,0.2569835,0.549934471,52,31.42857143,83.42857143,5824748000
3/10/2015,31.128,68720360,41132,860,-678,11867,697,-133,269171776,1.149859491,0.265793,0.583719923,40.44444444,28.57142857,69.01587302,5824748000
3/11/2015,30.56,68812690,15327,441,-544,5426,258,-58,266069472,1.148101914,0.274724,0.706553082,37.55555556,24.28571429,61.84126984,5824748000
3/12/2015,31.112,48233270,12050,367,-1180,4711,201,-137,262967168,1.146344338,0.2615345,0.660087157,33.22222222,20,53.22222222,5824748000
3/13/2015,30.897,51744670,8922,311,-409,3167,116,-52,262967168,1.146344338,0.2681445,0.702928341,30.33333333,17.14285714,47.47619048,5824748000
3/16/2015,31.237,35816300,3325,89,-90,1601,44,-9,262591160,1.166974159,0.2663685,0.569030853,28.88888889,14.28571429,43.17460317,5824748000
3/17/2015,31.76,50891230,7333,323,-371,2729,145,-49,262215152,1.18760398,0.2740225,0.470184941,30.33333333,17.14285714,47.47619048,5824748000
3/18/2015,32.118,65118170,7696,360,-273,2835,146,-59,261839144,1.208233801,0.264252,0.505743111,31.77777778,15.71428571,47.49206349,5824748000
3/19/2015,31.874,45674520,5228,349,-176,2413,124,-39,261463136,1.228863622,0.2689015,0.531343406,26,15.71428571,41.71428571,5824748000
3/20/2015,31.475,68516180,5310,285,-292,2281,89,-35,261087128,1.249493443,0.266475,0.641633266,30.33333333,17.14285714,47.47619048,5824748000
3/23/2015,31.802,37597600,2786,128,-59,1412,44,-11,260711120,1.270123263,0.2674335,0.585479981,26,12.85714286,38.85714286,5824748000
3/24/2015,31.673,32747200,4772,340,-185,2087,112,-44,260335112,1.290753084,0.2714235,0.540975613,26,14.28571429,40.28571429,5824748000
3/25/2015,30.845,51505600,4463,244,-170,1985,131,-29,259959104,1.311382905,0.306628,0.565006775,18.77777778,15.71428571,34.49206349,5824748000
3/26/2015,31.06,47409610,6081,305,-395,2132,104,-37,259583096,1.332012726,0.3103825,0.678430969,27.44444444,17.14285714,44.58730159,5824748000
3/27/2015,30.812,39471720,5310,298,-196,2701,76,-30,259207088,1.352642547,0.3243275,0.764553915,24.55555556,12.85714286,37.41269841,5824748000
3/30/2015,31.593,46974980,2919,90,-130,1407,48,-9,258831080,1.373272368,0.311981,0.516072485,26,14.28571429,40.28571429,5824748000
3/31/2015,31.108,42019420,5195,404,-190,2635,143,-62,258831080,1.373272368,0.3094355,0.611145674,24.55555556,14.28571429,38.84126984,5824748000
4/1/2015,31.062,40463140,4873,287,-198,2580,120,-51,258875855.6,1.428834882,0.315993,0.728916245,24.55555556,14.28571429,38.84126984,5824748000
4/2/2015,31.33,32171410,4911,301,-245,2113,135,-25,258920631.1,1.484397396,0.3102135,0.620689864,23.11111111,14.28571429,37.3968254,5824748000
4/6/2015,31.837,36917490,2902,88,-270,1040,37,-10,258965406.7,1.539959911,0.3150495,0.479253427,23.11111111,14.28571429,37.3968254,5824748000
4/7/2015,31.503,34894810,4548,353,-189,2112,103,-18,259010182.2,1.595522425,0.3215575,0.588871314,26,14.28571429,40.28571429,5824748000
4/8/2015,31.4,37272090,7825,275,-330,2562,116,-33,259054957.8,1.651084939,0.3276955,0.594376118,24.55555556,15.71428571,40.26984127,5824748000
4/9/2015,31.64,32244360,12100,288,-372,3382,116,-35,259099733.3,1.706647453,0.325766,0.544128477,24.55555556,15.71428571,40.26984127,5824748000
4/10/2015,31.775,40125760,13537,484,-505,3923,199,-40,259144508.9,1.762209968,0.324384,0.498834091,31.77777778,17.14285714,48.92063492,5824748000
4/13/2015,31.712,36248620,4042,280,-82,1644,83,-9,259189284.4,1.817772482,0.328547,0.485148376,28.88888889,17.14285714,46.03174603,5824748000
4/14/2015,31.575,25418280,7487,458,-261,2908,178,-52,259234060,1.873334996,0.3258715,0.621744952,27.44444444,15.71428571,43.15873016,5824748000
4/15/2015,31.695,28922420,5308,570,-268,3019,190,-35,259234060,1.873334996,0.3167385,0.728315124,24.55555556,14.28571429,38.84126984,5824748000
4/16/2015,31.542,28020240,4974,581,-255,2545,178,-40,258099364.8,1.790835166,0.310103,0.520655517,26,14.28571429,40.28571429,5824748000
4/17/2015,31.188,51481310,6174,327,-255,2545,118,-32,256964669.6,1.708335336,0.3288265,0.577752662,24.55555556,14.28571429,38.84126984,5824748000
