Date,Price,TV,TC,TPC,TNC,NC,NPC,NNC,SI,SIR,VMP,PCR,SVI - T,SVI - S,SVI,SHOUT
1/31/2015,29.29,1299475810,0,0,0,0,0,0,235966540,0.793328178,0.281964,0,765.5555556,391.4285714,1156.984127,5824748000
2/28/2015,32.115,1135285860,105375,9391,-5830,47349,2496,-660,290887904,1.162162525,0.2661445,0.475866654,739.5555556,434.2857143,1173.84127,5824748000
3/31/2015,31.108,1136135780,179279,6962,-6676,69136,3232,-1042,258831080,1.373272368,0.3094355,0.58520534,741,460,1201,5824748000
4/30/2015,31.288,990644420,159198,14301,-7432,56288,3593,-748,247887108,1.048336697,0.2701405,0.540488067,775.6666667,445.7142857,1221.380952,5761030000
5/31/2015,32.57,949312850,114791,7379,-6195,42188,2039,-588,246730532,1.334381172,0.1948685,0.540630018,652.3864734,398.2608696,1050.647343,5761030000
6/30/2015,31.356,876677270,178304,8060,-7294,51102,2651,-648,254979328,1.579625241,0.263184,0.664018989,558.3091787,334.7826087,893.0917874,5761030000
7/31/2015,30.325,1048372800,144057,13384,-12122,48925,2945,-1129,241003808,1.167433337,0.2333765,0.686816111,782.5120773,437.3913043,1219.903382,5702722000
8/31/2015,28.19,1601446920,165032,12089,-14814,42093,2381,-1241,314930820,0.987087823,0.350607,0.806024566,925.826087,612.173913,1538,5702722000
9/30/2015,27.575,1199442990,300108,18548,-18788,74493,4364,-926,348323364,1.565197072,0.376137,0.859277177,746.4637681,494.7826087,1241.246377,5702722000
10/31/2015,29.875,1109027310,171071,17875,-13549,57373,3224,-777,298687896,1.406041832,0.227236,0.679409067,697.2270531,437.3913043,1134.618357,5575331000
11/30/2015,29.575,748146110,122827,7737,-6908,41791,1757,-515,433488612,3.192154643,0.2099775,0.470079727,525.7777778,354.7826087,880.5603865,5575331000
12/31/2015,26.315,920890060,141941,8113,-11967,45765,2141,-882,272771644,1.673075909,0.3115875,0.688417449,500.2801932,343.4782609,843.7584541,5575331000
1/31/2016,24.335,1265840970,190305,18323,-33989,50975,857,-1489,254174088,0.916314416,0.2480095,0.72650755,929.468599,560.4968944,1489.965493,5544583000
2/29/2016,24.173,808295590,194737,9117,-7650,53491,345,-807,189419780,1.303639831,0.2408505,0.750901771,614.9565217,393.5403727,1008.496894,5544583000
3/31/2016,27.247,743986520,269654,6368,-15206,65718,221,-1067,222028464,1.701458858,0.2676715,0.605108944,646.1062802,386.5838509,1032.690131,5544583000
4/30/2016,23.435,867376380,193994,10812,-29703,55159,414,-1886,225455748,1.045307619,0.251439,0.729592699,750.6086957,456.1490683,1206.757764,5477425000
5/31/2016,24.965,899194130,180714,17556,-13952,47702,447,-1079,398796484,2.385408488,0.1958225,0.683875641,789.7971014,509.8136646,1299.610766,5477425000
6/30/2016,23.9,777967010,176088,4982,-9555,44327,187,-504,215772676,1.293046932,0.2271775,0.755475942,596.8695652,367.7018634,964.5714286,5477425000
7/31/2016,26.052,679713560,138923,12182,-13692,41210,563,-939,202834432,1.253960724,0.168754,0.61661499,648.115942,355.7763975,1003.89234,5388443000
8/31/2016,26.525,629066710,176682,9121,-14934,50751,292,-929,188332516,1.824677754,0.199888,0.496948824,585.8164251,351.8012422,937.6176674,5388443000
9/30/2016,28.263,966954540,392180,12615,-10180,77923,520,-613,218866440,1.3761321,0.2547795,0.585091957,683.8331137,541.7391304,1225.572244,5388443000
10/31/2016,28.385,679225090,200505,12751,-16462,56402,537,-949,218709244,1.707714185,0.181284,0.548253482,623.0865173,414.7826087,1037.869126,5332313000
11/30/2016,27.63,719229400,118414,4115,-5864,41059,130,-273,235805268,1.937829602,0.174896,0.64377916,485.9727712,350.4347826,836.4075538,5332313000
12/31/2016,28.955,606604140,134437,6830,-10668,43511,125,-505,190417072,1.950927507,0.220338,0.649221944,399.1919192,314.7826087,713.9745279,5332313000
1/31/2017,30.337,558205310,116590,7636,-8040,38037,2114,-947,187725528,1.609740105,0.2082935,0.602710099,484.2371542,345.2173913,829.4545455,5257816000
2/28/2017,34.248,573988990,131481,19275,-5341,40903,1022,-417,203971260,2.311477336,0.1560085,0.439259307,603.1269214,448.6956522,1051.822574,5246540000
3/31/2017,35.915,560029580,121874,5571,-5471,43788,360,-177,184290640,1.7276694,0.19292,0.602869902,513.7426438,434.7826087,948.5252525,5246540000
4/30/2017,35.912,372132920,83426,3050,-7470,32577,0,0,180927020,2.49891426,0.1958395,0.614100264,392.249451,345.2173913,737.4668423,5246540000
5/31/2017,38.19,651665900,133964,12742,-8267,43778,0,0,252782164,2.487992953,0.165588,0.398133848,667.7558191,512.1070234,1179.862842,5213840000
6/30/2017,36.005,682274490,136769,5431,-4451,51467,224,-342,167523688,1.4803435,0.222169,0.632417141,522.5577514,448.6956522,971.2534036,5213840000
7/31/2017,37.182,418195790,86509,5198,-4069,35206,228,-359,161252344,1.912587086,0.243982,0.545224109,429.3825209,362.006689,791.3892098,5213840000
8/31/2017,41,655489880,130971,14048,-3324,50952,1052,-380,192435980,1.887100436,0.2230985,0.471608122,649.8972332,529.7658863,1179.663119,5165228000
9/30/2017,38.53,677053770,204743,5670,-7743,74980,363,-500,152148828,1.115012714,0.2179025,0.541255104,576.9099693,603.6120401,1180.522009,5165228000
10/31/2017,42.26,502847840,121496,3563,-5664,47784,315,-484,133961184,1.220467241,0.283644,0.533022013,496.1581028,479.1973244,975.3554272,5165228000
11/30/2017,42.963,597213460,117742,8567,-6103,51789,753,-452,157483936,1.528624694,0.1894645,0.410107314,632.8151076,602.006689,1234.821797,5134312000
12/31/2017,42.307,528580140,58501,3534,-5047,46490,397,-941,182985720,1.913987917,0.2234905,0.594161313,475.9701361,488.8294314,964.7995676,5087056000
1/31/2018,41.857,656489210,38767,2314,-3595,54555,371,-983,168315028,1.126159858,0.3209005,0.495439664,603.3096179,539.7419971,1143.051615,5087056000
2/28/2018,44.53,921259670,43571,3744,-3696,47330,613,-600,234923624,1.612966203,0.2209915,0.633861158,775.0626263,633.6550406,1408.717667,5074013000
3/31/2018,41.945,707989870,60079,2613,-3805,49124,201,-329,219713616,1.474550856,0.290289,0.667837073,548.9574001,473.6932633,1022.650663,5074013000
4/30/2018,41.315,664341130,56886,2597,-4375,47007,210,-583,203648312,1.498358598,0.287262,0.774364491,551.1314888,438.6048734,989.7363622,5074013000
5/31/2018,46.717,617079000,54142,5109,-3768,56687,1112,-513,183834396,2.320445113,0.1764125,0.609237294,775.0626263,532.5179169,1307.580543,4915138000
6/30/2018,46.278,525582180,42421,1889,-2258,54876,176,-496,152308368,1.542520799,0.2335895,0.64633309,493.5181379,365.3320592,858.8501971,4915138000
7/31/2018,47.572,390995520,29473,1566,-1934,42765,244,-196,149075068,1.847854561,0.2750125,0.779457875,526.1294686,381.8442427,907.9737113,4915138000
8/31/2018,56.908,696566440,70199,6800,-4288,69318,1475,-323,190198688,1.680614639,0.224368,0.559955468,866.3743522,754.4003822,1620.774734,4829926000
9/30/2018,56.435,672626250,42885,2642,-2374,76838,548,-443,160816460,1.155138236,0.227927,0.6581699,637.6602196,647.0711897,1284.731409,4829926000
10/31/2018,54.715,781439540,36132,1254,-1604,65287,317,-403,145876368,1.031042007,0.3649395,0.74938061,697.0128415,598.8246536,1295.837495,4829926000
11/30/2018,44.645,952207020,63278,2288,-5353,72770,506,-1848,179660500,1.081848324,0.301203,0.725867548,1015.08202,813.0960344,1828.178055,4745398000
12/31/2018,39.435,889288460,32780,925,-2109,49887,183,-591,181118776,0.88113987,0.395145,0.762997371,744.1905665,674.0324892,1418.223056,4745398000
1/31/2019,41.61,820532850,61329,2277,-7431,84615,721,-3593,161443128,1.178485569,0.2378905,0.7605655,1048.562986,980.5398949,2029.102881,4715280000
