Date,Price,TV,TC,TPC,TNC,NC,NPC,NNC,SI,SIR,VMP,PCR,SVI-T,SVI-S,SVI,SHOUT
1/2/2015,15.426,2785167,,,,119,4,-2,147128782.2,1.809655937,0.407133,0.918382639,9,13,22,463006000
1/5/2015,15.109,2768215,,,,232,22,0,147560304.4,1.852958229,0.435193,1.127654311,13,11,24,463006000
1/6/2015,14.764,3511003,,,,318,30,-3,147991826.7,1.89626052,0.4397165,0.602367306,12,16,28,463006000
1/7/2015,14.921,2630671,,,,381,29,-8,148423348.9,1.939562812,0.4410865,0.744737004,16,15,31,463006000
1/8/2015,15.023,3087475,,,,339,33,-7,148854871.1,1.982865103,0.4266065,0.937250739,12,16,28,463006000
1/9/2015,14.847,2589914,,,,240,14,-5,149286393.3,2.026167395,0.421912,1.048251068,11,16,27,463006000
1/12/2015,14.571,3406438,,,,275,8,-1,149717915.6,2.069469686,0.427484,1.057657486,8,12,20,463006000
1/13/2015,14.737,4135336,,,,380,39,-4,150149437.8,2.112771978,0.43486,0.792541835,10,17,27,463006000
1/14/2015,14.663,5493402,,,,747,63,-7,150580960,2.156074269,0.443463,0.981467507,10,15,25,463006000
1/15/2015,14.347,4410629,,,,427,13,-13,150580960,2.156074269,0.451902,0.957244825,14,18,32,463006000
1/16/2015,14.537,3476787,,,,486,37,-42,150237028.9,2.036670958,0.424766,1.080134977,15,13,28,463006000
1/20/2015,14.472,3065857,,,,684,20,-2,149893097.8,1.917267647,0.414427,0.893284422,12,16,28,463006000
1/21/2015,14.863,10060450,,,,460,31,-9,149549166.7,1.797864336,0.432287,0.731870431,14,16,30,463006000
1/22/2015,15.516,5338530,,,,420,42,-8,149205235.6,1.678461025,0.4067635,0.879821848,17,17,34,463006000
1/23/2015,15.62,4476045,,,,432,45,-4,148861304.4,1.559057714,0.411407,0.666385689,19,14,33,463006000
1/26/2015,15.483,3168827,,,,157,8,-4,148517373.3,1.439654403,0.4185945,1.205422197,12,16,28,463006000
1/27/2015,15.337,2917710,,,,270,20,-11,148173442.2,1.320251092,0.4238585,1.816994353,17,12,29,463006000
1/28/2015,15.196,3057997,,,,282,21,-20,147829511.1,1.200847781,0.441237,0.959877101,17,19,36,463006000
