Date,Price,TV,TC,TPC,TNC,NC,NPC,NNC,SI,SIR,VMP,PCR,SVI-T,SVI-S,SVI,SHOUT
1/31/2015,17.726,102294614,0,0,0,0,0,0,147485580,1.08144447,0.2915925,0,445,462,907,464384000
2/28/2015,19.008,70692907,10450,857,-358,6000,308,-85,143866780,2.586463005,0.236503,0.81058843,399,411,810,464384000
3/31/2015,18.605,55433456,11076,835,-441,7250,525,-131,119623900,2.353972657,0.377031,0.951467663,269,365,634,464384000
4/30/2015,21.089,84009099,18244,2319,-798,8790,873,-141,127460800,1.148104145,0.24493,0.79244805,468,477,945,465681000
5/31/2015,21.462,51792450,15519,1444,-671,6717,495,-96,93991580,1.871561544,0.2267165,0.807667105,291.8666667,382.1538462,674.0205128,465681000
6/30/2015,21.705,54889848,27457,1408,-994,8321,566,-137,108099720,1.962934757,0.3955775,0.807987954,243.4666667,328.1538462,571.6205128,465681000
7/31/2015,26.808,101366958,32718,4978,-1282,11857,1463,-168,101898960,0.818191497,0.235131,0.777815839,714.2666667,618.9230769,1333.189744,467710000
8/31/2015,25.645,82742759,26990,1632,-1168,8581,540,-149,127819640,1.349553502,0.3344245,0.950601102,486.9333333,551.0769231,1038.010256,467710000
9/30/2015,25.594,76475478,27674,1298,-1012,10095,639,-154,146160420,1.853250991,0.51466,1.068910109,360.8,461.0769231,821.8769231,467710000
10/31/2015,31.295,96746499,73383,6383,-5146,11872,1231,-323,135052500,1.359723256,0.2367315,0.917957387,624.8,636.9230769,1261.723077,468762000
11/30/2015,33.24,86908289,68842,2815,-2302,10966,743,-141,110586580,1.253402562,0.292154,0.775903335,569.0666667,682.6153846,1251.682051,468762000
12/31/2015,33.794,90030922,69687,4934,-1888,12085,834,-181,95669980,1.283073379,0.4048965,0.85763512,548.5333333,720,1268.533333,468762000
1/31/2016,29.35,129556368,68000,6034,-7871,10449,442,-258,117930340,0.818148455,0.313161,0.755358433,1006.133333,894.6745562,1900.80789,470842000
2/29/2016,27.626,123946968,62042,3090,-1706,9526,290,-159,139354760,1.420434146,0.3230945,0.917821873,746.5333333,729.1597633,1475.693097,470842000
3/31/2016,29.682,93744074,78326,1963,-2601,10511,168,-174,131275080,1.468093929,0.3990075,0.866008659,595.4666667,600.9230769,1196.389744,470842000
4/30/2016,32.979,78083635,83243,7361,-2335,12752,490,-179,112596820,1.218861538,0.262544,0.85244049,765.6,694.8639053,1460.463905,471828000
5/31/2016,36.139,90435353,81904,4958,-2157,10824,388,-133,103981120,1.504934767,0.2246045,0.796838436,872.6666667,814.1538462,1686.820513,471828000
6/30/2016,35.781,74371382,62119,4100,-3245,11194,247,-164,103335020,1.318363517,0.385999,0.976600439,638,642.6745562,1280.674556,471828000
7/31/2016,37.94,68038095,86779,9229,-2013,12452,699,-98,91628680,1.327346306,0.199139,0.787217163,894.6666667,770.9112426,1665.577909,474074000
8/31/2016,38.458,50013929,75015,3813,-1106,12313,280,-112,90156560,2.438131935,0.1683295,0.957627332,573.4666667,591.9763314,1165.442998,474074000
9/30/2016,41.866,67256716,77092,3544,-1173,12189,214,-84,116640380,1.639020188,0.320408,0.862802253,605.7333333,627.6639053,1233.397239,474074000
10/31/2016,39.491,76698342,88525,4335,-5821,14524,375,-240,104400980,1.174796354,0.2079465,0.930456387,912.2666667,811.3704142,1723.637081,475167000
11/30/2016,37.528,109742536,84086,3287,-3703,13089,221,-230,130795040,1.66182255,0.2322825,0.856598406,1016.4,1018.736095,2035.136095,475167000
12/31/2016,37.493,73487396,115138,3119,-2802,15889,211,-148,113078000,1.854902949,0.3171945,0.774700636,733.3333333,910.1822485,1643.515582,475167000
1/31/2017,41.174,70442244,132395,5012,-4486,13216,1202,-440,114184860,1.783677468,0.2921105,0.747091329,855.0666667,921.3159763,1776.382643,475167000
2/28/2017,42.252,71209580,97559,4662,-5078,12281,389,-186,118222240,1.921358102,0.166829,0.940580516,1020.8,993.6852071,2014.485207,477171000
3/31/2017,44.327,60630669,140319,3751,-4497,16191,298,-169,94774340,1.595106544,0.245345,1.0055078,726,1032.653254,1758.653254,477171000
4/30/2017,46.25,73325629,160787,6913,-3265,14171,0,0,93687040,1.310605567,0.169847,0.878488803,1195.333333,1217.751479,2413.084813,477975000
5/31/2017,49.731,76021635,162680,6716,-3438,14852,0,0,105225760,1.47638903,0.181436,0.816157342,1343.711111,1450.674126,2794.385237,477975000
6/30/2017,48.4,95786031,177456,6051,-5656,21208,436,-248,97745060,1.136859968,0.286088,0.895968719,1562.977778,2043.165573,3606.143351,477975000
7/31/2017,49.389,78362536,128468,8806,-5795,20925,918,-521,94373180,1.012104087,0.2255865,0.824837293,1666.988889,1971.42894,3638.417829,480380000
8/31/2017,49.03,77037421,138692,5115,-10546,20534,427,-519,97756120,1.51291726,0.199071,0.922707919,1394.311111,1692.453147,3086.764258,480380000
9/30/2017,48.068,58947794,111924,3243,-4826,18385,364,-231,126838080,2.055353431,0.261584,0.764027665,919.2333333,1275.317913,2194.551246,480380000
10/31/2017,55.264,82939344,150670,7071,-14237,24077,650,-589,118594180,1.322157323,0.2029215,0.756824796,1456.155556,1790.758903,3246.914458,481872000
11/30/2017,58.838,76868658,80436,3761,-3019,20860,449,-229,108009860,1.304723756,0.2146835,0.76949288,1335.277778,1936.88908,3272.166858,481872000
12/31/2017,58.473,57307010,47320,2406,-1660,16492,296,-175,100941440,2.241764177,0.246145,0.856400751,1062.6,1758.875955,2821.475955,481872000
