Date,Price,TV,TC,TPC,TNC,NC,NPC,NNC,SI,SIR,VMP,PCR,SVI-T,SVI-S,SVI,SHOUT
1/2/2015,15.426,9923665,0,0,0,0,0,0,148639110,1.961213957,0.407133,0,60,96,156,463006000
1/9/2015,14.847,14587278,0,0,0,1510,128,-23,150580960,2.156074269,0.421912,0.863789511,74,96,170,463006000
1/16/2015,14.537,20922592,0,0,0,2315,160,-67,149549166.7,1.797864336,0.424766,0.958929969,68,96,164,463006000
1/23/2015,15.62,22940882,0,0,0,1996,138,-23,148517373.3,1.439654403,0.411407,0.767722651,76,91,167,463006000
1/30/2015,17.726,41058695,4547,895,-868,2628,371,-58,147485580,1.08144447,0.2915925,0.911499458,196,136,332,464384000
2/6/2015,18.714,31730885,4007,366,-171,2003,123,-37,160565020,1.57606748,0.258898,0.811409849,150,129,279,464384000
2/13/2015,19.091,14010859,2185,155,-71,1341,62,-13,173644460,2.070690489,0.2449055,0.900983669,95,103,198,464384000
2/20/2015,19.183,12479385,1835,154,-51,1233,63,-15,158755620,2.328576747,0.235849,0.714949592,83,92,175,464384000
2/27/2015,19.008,12471778,2423,182,-65,1423,60,-20,143866780,2.586463005,0.236503,0.820276319,82,95,177,464384000
3/6/2015,19.004,11650172,2644,295,-70,1622,111,-25,138016240,2.613927564,0.248579,0.961273898,70,84,154,464384000
3/13/2015,18.529,13332971,2156,127,-169,1364,93,-24,132165700,2.641392123,0.2880875,1.024622972,68,87,155,464384000
3/20/2015,18.924,12699864,2250,152,-73,1606,105,-31,125894800,2.49768239,0.321897,0.934049117,58,85,143,464384000
3/27/2015,18.528,13426167,3152,213,-107,1883,138,-35,119623900,2.353972657,0.3672775,0.904088707,55,78,133,464384000
4/3/2015,18.612,8651364,3330,120,-48,1674,157,-24,125824850,2.590386253,0.3786825,1.047569661,47,78,125,464384000
4/10/2015,19.132,12595447,3318,187,-89,1708,126,-34,132025800,2.826799849,0.390247,0.759971283,53,81,134,464384000
4/17/2015,18.778,12314578,2513,291,-60,1675,126,-16,129743300,1.987451997,0.3912235,0.696342131,62,84,146,464384000
4/24/2015,22.255,37949474,7377,1469,-496,2908,400,-56,127460800,1.148104145,0.2519485,0.815428118,201,139,340,465681000
5/1/2015,21.143,20251242,3603,334,-144,2045,164,-34,122561520,1.468777175,0.2387505,0.763102105,152,152,304,465681000
5/8/2015,21.684,13342056,2823,440,-79,1677,93,-7,117662240,1.789450205,0.227852,0.822134121,74.8,85.84615385,160.6461538,465681000
5/15/2015,21.3,12451384,2777,89,-67,1446,98,-20,112762960,2.110123236,0.2203795,0.896654072,63.06666667,91.38461538,154.4512821,465681000
5/22/2015,21.382,13180048,3195,336,-81,1699,132,-12,103377270,1.99084239,0.2179225,0.731623149,68.93333333,92.76923077,161.7025641,465681000
5/29/2015,21.462,9390238,5701,545,-427,1450,150,-50,93991580,1.871561544,0.2267165,0.844246306,57.2,74.76923077,131.9692308,465681000
6/5/2015,21.347,11062010,2711,216,-79,1433,82,-12,99891740,2.112054035,0.231882,0.935920124,61.6,77.53846154,139.1384615,465681000
6/12/2015,21.496,11603528,6184,279,-171,1788,139,-38,105791900,2.352546526,0.2629055,0.787497477,45.46666667,73.38461538,118.8512821,465681000
6/19/2015,21.746,14396212,7905,386,-115,2018,152,-24,106945810,2.157740642,0.300979,0.754657033,54.26666667,72,126.2666667,465681000
6/26/2015,21.905,12487363,9377,460,-590,2491,145,-58,108099720,1.962934757,0.357135,0.727280586,57.2,85.84615385,143.0461538,465681000
7/3/2015,21.885,8668082,2907,154,-82,1415,128,-23,112060480,2.039132387,0.381761,0.992362299,52.8,67.84615385,120.6461538,465681000
7/10/2015,22.176,12401883,2750,291,-78,1801,126,-30,116021240,2.115330017,0.388841,0.876984353,64.53333333,83.07692308,147.6102564,465681000
7/17/2015,24.15,20668605,9253,1088,-339,3292,353,-54,111313813.3,1.68295051,0.405004,0.85561483,137.8666667,130.1538462,268.0205128,465681000
7/24/2015,26.471,41756336,11874,2810,-521,3357,584,-44,106606386.7,1.250571004,0.2888,0.689071049,327.0666667,211.8461538,538.9128205,467710000
7/31/2015,26.808,23212787,7214,702,-301,2583,320,-22,101898960,0.818191497,0.235131,0.801902094,162.8,164.7692308,327.5692308,467710000
8/7/2015,26.131,16594797,2980,346,-214,1785,105,-16,100774280,1.217219677,0.272623,0.872174059,83.6,95.53846154,179.1384615,467710000
8/14/2015,26.576,14175166,3601,381,-135,1424,99,-20,99649600,1.616247857,0.258747,0.808037689,88,92.76923077,180.7692308,467710000
8/21/2015,24.723,18064589,13063,322,-462,2822,111,-81,113734620,1.482900679,0.350228,1.108142032,105.6,117.6923077,223.2923077,467710000
8/28/2015,25.9,30912919,6958,553,-344,2338,213,-31,127819640,1.349553502,0.3413265,0.969535136,183.3333333,202.1538462,385.4871795,467710000
9/4/2015,24.95,16369689,7354,301,-154,1861,143,-19,145945540,1.902150468,0.368757,1.173983634,92.4,120.4615385,212.8615385,467710000
9/11/2015,26.472,13947420,5527,342,-160,1930,115,-39,164071440,2.454747434,0.3727745,1.090317492,70.4,96.92307692,167.3230769,467710000
9/18/2015,27.013,18525907,8389,228,-203,2657,222,-33,155115930,2.153999212,0.396888,0.997845954,85.06666667,114.9230769,199.9897436,467710000
9/25/2015,26.212,16759291,4241,191,-415,2257,76,-35,146160420,1.853250991,0.4571045,1.016115693,85.06666667,99.69230769,184.7589744,467710000
10/2/2015,26.627,22204742,6892,337,-177,2728,228,-41,141600870,1.810899735,0.489042,1.174191821,89.46666667,105.2307692,194.6974359,467710000
10/9/2015,26.99,19932274,19223,377,-361,2689,309,-49,137041320,1.76854848,0.495083,1.112032154,93.86666667,109.3846154,203.2512821,467710000
10/16/2015,28.538,18514554,11202,433,-644,2041,121,-29,136378380,1.632273405,0.4235935,0.782039201,98.26666667,121.8461538,220.1128205,467710000
10/23/2015,29.951,30307453,27878,4889,-3196,3788,526,-151,135715440,1.495998331,0.2539955,0.793758124,237.6,185.5384615,423.1384615,468762000
10/30/2015,31.295,19655935,10739,613,-861,2228,142,-82,135052500,1.359723256,0.2367315,0.871944535,151.0666667,174.4615385,325.5282051,468762000
11/6/2015,32.968,19702528,22363,952,-1001,2825,239,-28,138312240,1.499309896,0.26356,0.825504372,139.3333333,155.0769231,294.4102564,468762000
11/13/2015,32.118,23409230,12488,797,-670,2217,168,-20,141571980,1.638896536,0.3049655,0.790952556,136.4,162,298.4,468762000
11/20/2015,33.423,24733031,15652,545,-283,2610,155,-15,126079280,1.446149549,0.2847205,0.685719616,145.2,152.3076923,297.5076923,468762000
11/27/2015,33.663,13571446,12516,424,-248,2578,137,-72,110586580,1.253402562,0.283865,0.793379417,111.4666667,155.0769231,266.5435897,468762000
12/4/2015,33.632,24095961,26045,1567,-373,3931,285,-40,106653600,1.200628365,0.2643465,0.895566622,139.3333333,185.5384615,324.8717949,468762000
12/11/2015,32.007,21433585,13278,468,-202,2366,149,-47,102720620,1.147854167,0.3416775,0.903909047,114.4,159.2307692,273.6307692,468762000
12/18/2015,33.207,23528521,11856,413,-484,2343,156,-53,99195300,1.215463773,0.333454,0.889911103,124.6666667,159.2307692,283.8974359,468762000
12/25/2015,33.139,9696461,10358,332,-630,2249,118,-28,95669980,1.283073379,0.335919,0.807926352,92.4,142.6153846,235.0153846,468762000
1/1/2016,33.794,16768448,13973,2251,-299,1932,170,-19,96374633.33,1.10477662,0.4048965,0.785162145,133.4666667,163.3846154,296.8512821,468762000
1/8/2016,30.353,32978691,12931,652,-906,2218,51,-59,97079286.67,0.92647986,0.476805,0.779892272,202.4,195.3372781,397.7372781,468762000
1/15/2016,28.509,32225396,16425,1016,-1260,2448,48,-51,97783940,0.748183101,0.505892,0.780945426,193.6,190.8639053,384.4639053,468762000
1/22/2016,29.819,22800991,9383,868,-392,1841,42,-13,107857140,0.783165778,0.467216,0.683746787,164.2666667,184.8994083,349.166075,468762000
1/29/2016,29.35,41551290,29261,3498,-5313,3942,301,-135,117930340,0.818148455,0.313161,0.758918552,400.4,260.9467456,661.3467456,470842000
2/5/2016,25.107,38552873,21908,522,-745,2698,64,-79,118250640,0.803171019,0.41888,0.853755465,228.8,228.1420118,456.9420118,470842000
2/12/2016,25.354,36396978,15461,1586,-412,2230,99,-29,118570940,0.788193583,0.37459,0.885139689,236.1333333,187.8816568,424.0149901,470842000
2/19/2016,26.745,19639475,8520,517,-241,1802,56,-21,128962850,1.104313864,0.3169915,0.984878525,136.4,149.112426,285.512426,470842000
2/26/2016,27.761,25217177,12488,351,-268,2363,66,-26,139354760,1.420434146,0.3354945,0.99389216,142.2666667,156.5680473,298.834714,470842000
3/4/2016,28.757,19896085,21967,602,-663,3020,50,-22,137787530,1.545535576,0.314564,1.041100194,151.0666667,146.1301775,297.1968442,470842000
3/11/2016,28.48,21717275,19978,355,-383,2459,42,-34,136220300,1.670637007,0.318946,0.889422297,124.6666667,140.1656805,264.8323471,470842000
3/18/2016,27.604,24052512,17466,435,-371,2121,37,-38,133747690,1.569365468,0.358703,0.772091654,126.1333333,137.183432,263.3167653,470842000
3/25/2016,29.147,18282744,13485,236,-897,2022,25,-64,131275080,1.468093929,0.3600425,0.824715708,126.1333333,123.7633136,249.8966469,470842000
4/1/2016,29.925,16850099,14169,500,-365,1950,24,-24,130507853.3,1.710632039,0.395166,0.821584302,127.6,125.2544379,252.8544379,470842000
4/8/2016,29.73,13372148,18635,447,-433,2737,51,-30,129740626.7,1.953170149,0.453642,0.862618702,121.7333333,126.7455621,248.4788955,471591000
4/15/2016,31.295,15955794,15027,461,-201,2532,31,-15,128973400,2.195708259,0.415703,0.836440285,117.3333333,138.6745562,256.0078895,471591000
4/22/2016,31.025,18660186,19738,385,-392,2916,86,-40,120785110,1.707284898,0.4203055,0.799989285,156.9333333,143.147929,300.0812623,471591000
4/29/2016,32.979,27181331,24769,6017,-1271,3939,317,-90,112596820,1.218861538,0.262544,0.930220711,332.9333333,240.0710059,573.0043393,471828000
5/6/2016,33.697,25356351,12858,1486,-449,2195,110,-19,117731390,1.193109831,0.2490685,0.768617629,206.8,201.3017751,408.1017751,471828000
5/13/2016,35.496,27184676,24939,2055,-778,2976,175,-34,122865960,1.167358123,0.2626245,0.796068573,271.3333333,229.6331361,500.9664694,471828000
5/20/2016,35.14,20709873,27419,794,-579,2979,51,-53,113423540,1.336146445,0.2463225,0.792440487,202.4,208.7573964,411.1573964,471828000
5/27/2016,35.612,13571943,15608,596,-343,2434,49,-24,103981120,1.504934767,0.2168465,0.79396516,156.9333333,147.6213018,304.5546351,471828000
6/3/2016,36.277,13257927,11100,747,-516,2137,45,-31,103351470,1.649287883,0.2181235,0.930892853,140.8,126.7455621,267.5455621,471828000
6/10/2016,35.896,13238144,14792,2007,-681,2608,79,-17,102721820,1.793640999,0.244819,1.008569904,139.3333333,132.7100592,272.0433925,471828000
6/17/2016,35.319,17511990,8899,547,-1387,2127,43,-75,103028420,1.556002258,0.2945785,0.953432573,117.3333333,129.7278107,247.061144,471828000
6/24/2016,34.948,18463014,11940,444,-471,2445,48,-37,103335020,1.318363517,0.3658025,0.93285216,155.4666667,156.5680473,312.034714,471828000
7/1/2016,36.284,18430878,20721,551,-260,2678,49,-9,104975540,1.40738519,0.387941,1.029741611,159.8666667,172.9704142,332.8370809,471828000
7/8/2016,37.291,12722595,12338,454,-145,1526,38,-14,106616060,1.496406862,0.3919235,0.712241065,132,132.7100592,264.7100592,471828000
7/15/2016,36.772,18413976,30530,2496,-786,3668,247,-51,108256580,1.585428535,0.3778035,0.697906216,205.3333333,184.8994083,390.2327416,471828000
7/22/2016,37.243,11930341,14070,669,-475,2330,51,-10,99942630,1.456387421,0.368987,0.802131603,151.0666667,159.5502959,310.6169625,471828000
7/29/2016,37.94,22053122,25588,5441,-545,4367,349,-21,91628680,1.327346306,0.199139,0.912291272,352,234.1065089,586.1065089,474074000
8/5/2016,38.299,16627776,18282,895,-257,2761,91,-15,88993950,1.517110136,0.1752005,0.97787316,187.7333333,165.5147929,353.2481262,474074000
8/12/2016,38.628,9036961,18586,1845,-359,3127,96,-66,86359220,1.706873965,0.173808,0.912810318,139.3333333,144.6390533,283.9723866,474074000
8/19/2016,37.866,9400629,10996,542,-174,2239,42,-6,88257890,2.07250295,0.1756495,0.846454523,107.0666667,105.8698225,212.9364892,474074000
8/26/2016,38.45,9333474,17487,345,-187,2496,41,-18,90156560,2.438131935,0.1869675,1.013000921,93.86666667,119.2899408,213.1566075,474074000
9/2/2016,38.622,9574078,16766,323,-198,2717,17,-12,90227580,2.018873302,0.156906,1.067743538,111.4666667,132.8094675,244.2761341,474074000
9/9/2016,38.007,12413847,16231,508,-391,2147,22,-34,90298600,1.599614669,0.2141865,1.110366948,117.3333333,130.8213018,248.1546351,474074000
9/16/2016,38.926,17295626,20026,675,-222,3152,50,-8,99079193.33,1.612749842,0.218089,0.732515047,123.2,128.0378698,251.2378698,474074000
9/23/2016,40.287,13363526,14053,1051,-179,2800,70,-20,107859786.7,1.625885015,0.2636585,0.836988036,151.0666667,157.2639053,308.330572,474074000
9/30/2016,41.866,20224728,19680,1173,-312,3063,65,-17,116640380,1.639020188,0.320408,0.807431101,177.4666667,171.1810651,348.6477318,474074000
10/7/2016,41.972,14273933,24170,933,-706,3603,61,-43,116080220,1.84385912,0.3293445,0.897278881,174.5333333,165.6142012,340.1475345,474074000
10/14/2016,41.148,13861593,23702,615,-365,3536,58,-31,115520060,2.048698052,0.338327,0.968299147,154,172.5727811,326.5727811,474074000
10/21/2016,40.95,13887380,15425,523,-485,3085,34,-68,109960520,1.611747203,0.336514,0.841172033,158.4,157.2639053,315.6639053,474074000
10/28/2016,38.816,29266440,23433,2205,-4078,3985,218,-93,104400980,1.174796354,0.21828,0.977554185,360.8,246.3337278,607.1337278,475167000
11/4/2016,37.752,24673031,17346,656,-753,2609,61,-39,111262050,1.046606174,0.2464095,0.982775692,215.6,194.8402367,410.4402367,475167000
11/11/2016,36.951,37258207,15752,553,-583,2679,47,-72,118123120,0.918415994,0.2615545,0.804663172,296.2666667,269.9928994,566.2595661,475167000
11/18/2016,38.008,25683542,21185,1016,-1202,3691,52,-66,124459080,1.290119272,0.2466485,0.874493804,244.9333333,254.6840237,499.617357,475167000
11/25/2016,39.019,15277861,16182,629,-712,2173,29,-31,130795040,1.66182255,0.2245455,0.849057636,190.6666667,208.7573964,399.4240631,475167000
12/2/2016,37.017,20466204,26222,710,-1057,4030,48,-44,129882410,1.652119378,0.2343305,0.836528902,198,225.4579882,423.4579882,475167000
12/9/2016,38.433,17427663,29824,565,-416,3367,47,-36,128969780,1.642416206,0.213799,0.773330174,208.2666667,231.0248521,439.2915187,475167000
12/16/2016,37.889,22300621,31508,482,-390,6393,28,-33,123672520,1.713245121,0.23176,0.739838054,165.7333333,201.7988166,367.5321499,475167000
12/23/2016,38.029,12350823,16300,449,-676,2272,28,-14,118375260,1.784074035,0.2565055,0.717552505,151.0666667,208.7573964,359.8240631,475167000
12/30/2016,37.493,13200976,26700,1405,-903,2079,96,-48,113078000,1.854902949,0.3171945,0.808016162,136.4,182.3147929,318.7147929,475167000
1/6/2017,39.799,17826537,25052,1304,-568,2386,211,-37,114591500,1.663125023,0.3083845,0.758176915,167.2,192.0568047,359.2568047,475167000
1/13/2017,40.857,17629704,40950,1938,-1878,3822,432,-176,116105000,1.471347098,0.30518,0.728767472,206.8,222.6745562,429.4745562,475167000
1/20/2017,40.417,11915742,20455,567,-441,2872,213,-57,115144930,1.627512283,0.2972165,0.721772091,162.8,199.0153846,361.8153846,475167000
1/27/2017,41.789,16259551,29611,909,-594,2821,253,-49,114184860,1.783677468,0.282665,0.75627071,225.8666667,222.6745562,448.5412229,475167000
2/3/2017,40.51,28540734,42481,2514,-4008,4894,317,-225,119696260,1.622239125,0.1935135,0.978269509,404.8,306.1775148,710.9775148,475167000
2/10/2017,41.373,15057465,23057,847,-969,2702,51,-36,125207660,1.460800783,0.1545985,1.02895211,227.3333333,237.983432,465.3167653,477171000
2/17/2017,42.254,15664578,24052,776,-456,2606,64,-22,121714950,1.691079442,0.1660175,0.883571431,203.8666667,225.4579882,429.3246548,477171000
2/24/2017,42.262,13265766,15338,665,-539,2272,40,-21,118222240,1.921358102,0.170891,0.878322963,186.2666667,208.7573964,395.0240631,477171000
3/3/2017,42.494,12328121,34329,519,-2205,4054,30,-40,114013490,2.164813594,0.1478185,0.895604622,200.9333333,265.8177515,466.7510848,477171000
3/10/2017,42.623,11620515,22740,647,-548,3118,28,-16,109804740,2.408269086,0.152521,0.983470998,145.2,232.416568,377.616568,477171000
3/17/2017,42.616,11820931,24925,536,-438,2442,41,-11,104794606.7,2.137214906,0.1680445,1.129343641,134.9333333,203.1905325,338.1238659,477171000
3/24/2017,42.28,13374290,22754,538,-251,3542,41,-60,99784473.33,1.866160725,0.2112755,1.152832723,140.8,189.2733728,330.0733728,477171000
3/31/2017,44.327,16978559,44529,1665,-1166,4157,168,-45,94774340,1.595106544,0.245345,0.896410547,202.4,263.0343195,465.4343195,477171000
4/7/2017,44.744,25939513,45648,1884,-720,3808,0,0,105840300,1.259951673,0.2745185,0.919714904,299.2,317.3112426,616.5112426,477171000
4/14/2017,44.234,11809906,34900,1255,-511,2456,0,0,101789213.3,1.276836305,0.281504,0.920292853,209.7333333,249.1171598,458.8504931,477948000
4/21/2017,44.926,13928888,34576,689,-994,3111,0,0,97738126.67,1.293720936,0.2490105,0.73554297,206.8,239.3751479,446.1751479,477948000
4/28/2017,46.25,21647322,45663,3085,-1040,4796,0,0,93687040,1.310605567,0.169847,0.910052434,444.4,347.9289941,792.3289941,477975000
5/5/2017,46.708,18129615,27097,991,-505,3008,0,0,92885850,1.338812419,0.168032,0.755249492,302.2555556,324.3963421,626.6518977,477975000
5/12/2017,48.068,14569962,39022,804,-886,3776,0,0,92084660,1.367019271,0.1778565,0.763803545,267.0555556,292.260355,559.3159106,477975000
5/19/2017,47.992,20372426,40800,1427,-915,3790,0,0,98655210,1.421704151,0.1714225,0.952201844,286.7333333,334.7709521,621.5042855,477975000
