Date,Price,TV,TC,TPC,TNC,NC,NPC,NNC,SI,SIR,VMP,PCR,SVI-T,SVI-S,SVI,SHOUT
1/2/2015,26.478,1325271,,,,387,2,-4,60840097.78,1.149383588,0.2805565,0.850660895,66.66666667,9.777777778,76.44444444,284816000
1/5/2015,25.973,2054120,,,,866,9,-1,61464855.56,1.168112574,0.293771,0.781535074,70,11.55555556,81.55555556,284816000
1/6/2015,25.332,2727897,,,,1334,14,-5,62089613.33,1.18684156,0.300314,0.940858199,74.16666667,14.22222222,88.38888889,284816000
1/7/2015,25.257,2345062,,,,1236,7,-3,62714371.11,1.205570546,0.2975615,0.646448199,73.33333333,14.22222222,87.55555556,284816000
1/8/2015,25.346,3661816,,,,1215,19,-25,63339128.89,1.224299532,0.285151,0.688809583,75.83333333,13.33333333,89.16666667,284816000
1/9/2015,25.036,2097137,,,,1433,7,-24,63963886.67,1.243028518,0.284238,0.800076035,72.5,13.33333333,85.83333333,284816000
1/12/2015,24.853,2855348,,,,916,12,-10,64588644.44,1.261757504,0.286364,1.228397622,71.66666667,10.66666667,82.33333333,284816000
1/13/2015,25.09,3049845,,,,1666,16,-18,65213402.22,1.28048649,0.2783445,0.703220513,72.5,13.33333333,85.83333333,284816000
1/14/2015,25.296,2633957,,,,1670,14,-33,65838160,1.299215476,0.2828745,1.214567056,74.16666667,13.33333333,87.5,284816000
1/15/2015,25.201,2553978,,,,2197,17,-50,65838160,1.299215476,0.282907,0.665019295,78.33333333,12.44444444,90.77777778,284816000
1/16/2015,25.523,2482675,,,,2445,57,-61,64786131.11,1.268537662,0.267635,0.67048589,77.5,13.33333333,90.83333333,284816000
1/20/2015,25.497,2340379,,,,1460,12,-2,63734102.22,1.237859847,0.2630305,0.598839372,75.83333333,13.33333333,89.16666667,284816000
1/21/2015,26.02,2316928,,,,1792,17,-3,62682073.33,1.207182033,0.2515125,0.459758269,74.16666667,13.33333333,87.5,284816000
1/22/2015,26.865,2799380,,,,1776,15,-11,61630044.44,1.176504219,0.24198,0.512530801,72.5,12.44444444,84.94444444,284816000
1/23/2015,27.097,2295988,,,,1580,16,-7,60578015.56,1.145826404,0.2335225,0.430315759,74.16666667,14.22222222,88.38888889,284816000
1/26/2015,26.836,1546251,,,,1352,6,-8,59525986.67,1.11514859,0.2432305,0.780010576,70.83333333,12.44444444,83.27777778,284816000
1/27/2015,26.059,1956292,,,,1601,21,-27,58473957.78,1.084470776,0.264151,0.873667477,75,14.22222222,89.22222222,284816000
1/28/2015,25.622,1784237,,,,1509,16,-7,57421928.89,1.053792961,0.274711,0.78729701,75.83333333,15.11111111,90.94444444,284816000
1/29/2015,25.662,3889925,,,,1428,24,-14,56369900,1.023115147,0.267741,0.548502801,76.66666667,16.88888889,93.55555556,284816000
1/30/2015,26.878,6053660,4599,815,-706,2455,90,-44,56369900,1.023115147,0.2025,0.505291127,82.5,16.88888889,99.38888889,284816000
2/2/2015,26.61,3765337,501,34,-30,961,12,-1,56450311.11,1.052158975,0.2076745,0.816430125,70,8.888888889,78.88888889,284816000
2/3/2015,26.665,2352437,1865,93,-63,1738,17,-8,56530722.22,1.081202803,0.2076825,0.672263172,75.83333333,12.44444444,88.27777778,284816000
2/4/2015,26.305,1692531,1174,27,-37,1340,8,-12,56611133.33,1.110246631,0.203542,0.811600207,77.5,14.22222222,91.72222222,284816000
2/5/2015,26.492,1658557,1967,70,-17,1707,14,-2,56691544.44,1.139290459,0.1961165,0.642908641,75,15.11111111,90.11111111,284816000
2/6/2015,26.694,2144723,1689,88,-74,1434,15,-3,56771955.56,1.168334286,0.1934335,0.613503914,74.16666667,14.22222222,88.38888889,284816000
2/9/2015,26.464,1513810,501,23,-16,919,6,-3,56852366.67,1.197378114,0.1965665,0.581693402,73.33333333,12.44444444,85.77777778,286938000
2/10/2015,27.008,2367572,1007,35,-26,1346,14,-2,56932777.78,1.226421942,0.186247,0.679696731,72.5,13.33333333,85.83333333,286938000
2/11/2015,26.9,1914093,1728,80,-45,1435,5,-2,57013188.89,1.25546577,0.1930695,0.419698975,75.83333333,14.22222222,90.05555556,286938000
2/12/2015,27.301,2427255,1931,51,-74,1410,8,-7,57093600,1.284509598,0.185816,0.336557163,71.66666667,14.22222222,85.88888889,286938000
