Date,Price,TV,TC,TPC,TNC,NC,NPC,NNC,SI,SIR,VMP,PCR,SVI-T,SVI-S,SVI,SHOUT
1/31/2015,26.878,52770146,0,0,0,0,0,0,56369900,1.08144447,0.2025,0,2295,354.6666667,2649.666667,284816000
2/28/2015,28.132,40228379,35134,1482,-1400,27732,212,-88,56193120,2.586463005,0.1739245,0.605459482,2048.333333,317.3333333,2365.666667,286938000
3/31/2015,27.735,43160839,44450,1429,-2079,32077,298,-150,77037680,2.353972657,0.248782,0.685798754,2242.5,336.8888889,2579.388889,286938000
4/30/2015,27.438,43636109,60242,3503,-4987,36395,695,-489,78803580,1.148104145,0.20678,0.58027025,2096.666667,345.7777778,2442.444444,288265000
5/31/2015,27.266,32261641,55922,1484,-2044,28722,923,-342,83515940,1.871561544,0.174442,0.659985029,2049.001736,296.3333333,2345.335069,288265000
6/30/2015,27.002,35137982,59819,1717,-2040,29276,1299,-528,73831680,1.962934757,0.2478005,0.727382588,1883.723958,262.1111111,2145.835069,288265000
7/31/2015,32.875,68123208,41634,3882,-2053,29039,1458,-561,92591780,0.818191497,0.200155,0.567389675,1957.508681,376.4444444,2333.953125,289886000
8/31/2015,32.391,54963813,90827,4740,-3995,28279,1626,-544,99852460,1.349553502,0.327714,0.63986324,1939.0625,402.8888889,2341.951389,289886000
9/30/2015,31.919,43464419,66926,1648,-3062,21594,1460,-634,99472000,1.853250991,0.3627305,0.722790163,1946.440972,354.6666667,2301.107639,289886000
10/31/2015,36.869,50097814,122481,7363,-3622,23940,1876,-499,96856380,1.359723256,0.1903865,0.564559284,2029.079861,373.3333333,2402.413194,291328000
11/30/2015,38.143,37477013,48487,869,-1649,18272,185,-94,91887280,1.253402562,0.1851885,0.619657995,1936.111111,329.7777778,2265.888889,291328000
12/31/2015,38.901,43555252,47122,2239,-1839,20213,309,-53,88637260,1.283073379,0.314463,0.743543444,1930.208333,338.3333333,2268.541667,291328000
1/31/2016,38.068,51873113,45131,3282,-2190,16541,9,-21,78377100,0.818148455,0.3596285,0.772878413,1815.065333,352.3333333,2167.398666,291328000
2/29/2016,35.861,67419839,72038,10929,-2675,22407,40,-26,72300600,1.420434146,0.2380865,0.600392837,1758.998652,359.3333333,2118.331986,292581000
3/31/2016,38.145,42604913,61830,1566,-2117,23923,14,-16,70504960,1.468093929,0.2880935,0.70684647,1818.803111,327.4444444,2146.247556,292581000
4/30/2016,35.394,46487531,69596,3663,-8036,22667,20,-37,63762200,1.218861538,0.2116055,0.680023625,1729.096423,320.4444444,2049.540867,293573000
5/31/2016,37.443,34056649,198749,5770,-6309,27894,6,-22,60296720,1.504934767,0.173187,0.695697256,1750.027983,298.6666667,2048.69465,293675000
6/30/2016,35.176,41910907,121478,3355,-6967,19761,17,-20,50089800,1.318363517,0.264045,0.680513102,1558.653714,280.7777778,1839.431492,293675000
7/31/2016,39.567,32516290,115351,5546,-4849,19026,27,-23,45216120,1.327346306,0.1513785,0.50926406,1611.730172,275.3333333,1887.063505,293675000
8/31/2016,39.493,28858280,123777,3810,-5731,19778,5,-18,48111340,2.438131935,0.1457805,0.638801497,1554.915936,245.7777778,1800.693713,294844000
9/30/2016,40.203,31474262,144497,5236,-4545,20424,11,-17,56879840,1.639020188,0.2404215,0.6131124,1546.543311,274.3888889,1820.9322,294844000
10/31/2016,40.495,35299605,185578,6189,-5226,27896,30,-26,57931760,1.174796354,0.1834215,0.614159817,1642.230446,318.3888889,1960.619335,295995000
11/30/2016,38.794,48209502,132004,2685,-2985,19232,9,-13,56250820,1.66182255,0.1908555,0.754073622,1533.984375,339.7777778,1873.762153,296087000
