Date,Price,TV,TC,TPC,TNC,NC,NPC,NNC,SI,SIR,VMP,PCR,SVI-T,SVI-S,SVI,SHOUT
1/2/2015,26.478,5825674,0,0,0,0,0,0,63026750,1.214935039,0.2805565,0,516.6666667,65.77777778,582.4444444,284816000
1/9/2015,25.036,12886032,0,0,0,6084,56,-58,65838160,1.299215476,0.284238,0.768430645,508.3333333,80.88888889,589.2222222,284816000
1/16/2015,25.523,13575803,0,0,0,8894,116,-172,68994246.67,1.391248919,0.267635,0.866209594,520,76.44444444,596.4444444,284816000
1/23/2015,27.097,9752675,0,0,0,6608,60,-23,68994246.67,1.391248919,0.2335225,0.488861849,517.5,80,597.5,284816000
1/30/2015,26.878,15230365,4599,815,-706,8345,157,-100,56369900,1.023115147,0.2025,0.589023517,535,91.55555556,626.5555556,284816000
2/6/2015,26.694,11613585,7196,312,-221,7180,66,-26,56731750,1.153812372,0.1934335,0.698254394,514.1666667,80,594.1666667,284816000
2/13/2015,27.558,10521390,6056,243,-236,7098,44,-17,57093600,1.284509598,0.1729715,0.454303019,512.5,84.44444444,596.9444444,286938000
2/20/2015,27.09,6872856,5520,173,-524,5409,39,-13,56643360,1.336822613,0.1796725,0.734626243,509.1666667,75.55555556,584.7222222,286938000
2/27/2015,28.132,11220548,16362,754,-419,8045,63,-32,56193120,1.389135629,0.1739245,0.625175452,512.5,79.11111111,591.6111111,286938000
3/6/2015,28.645,10612243,14141,507,-560,8691,101,-62,58964700,1.491058092,0.1956365,0.569087219,515.8333333,81.77777778,597.6111111,286938000
3/13/2015,27.65,8751591,9673,182,-205,7359,64,-23,61736280,1.592980555,0.2155215,0.914618737,507.5,79.11111111,586.6111111,286938000
3/20/2015,28.247,8490203,7547,150,-380,6707,32,-20,69386980,1.766263265,0.218573,0.63465597,506.6666667,73.77777778,580.4444444,286938000
3/27/2015,27.878,12321629,11331,543,-869,7278,91,-35,77037680,1.939545975,0.2465015,0.670885219,493.3333333,71.11111111,564.4444444,286938000
4/3/2015,27.066,7308834,7570,187,-712,5892,36,-52,74240770,1.967455707,0.2504115,0.826029523,505.8333333,74.66666667,580.5,286938000
4/10/2015,27.427,7392624,10492,268,-376,5863,54,-49,71443860,1.995365439,0.23929,0.607934037,477.5,66.66666667,544.1666667,286938000
4/17/2015,26.637,10211092,18306,1012,-2759,9969,389,-311,75123720,1.832753019,0.2573495,0.555969632,496.6666667,80.88888889,577.5555556,286938000
4/24/2015,28.683,13410076,14901,1634,-659,10611,172,-67,78803580,1.670140599,0.1921925,0.469073418,497.5,88,585.5,288202000
5/1/2015,27.558,10029414,12249,487,-600,6886,67,-24,81285046.67,1.470679572,0.189658,0.747035438,480.8333333,85.33333333,566.1666667,288265000
5/8/2015,27.448,8123458,7260,384,-447,6407,43,-12,81285046.67,1.470679572,0.1784805,0.703381203,470.0086806,74.66666667,544.6753472,288265000
5/15/2015,27.324,7317996,7068,215,-335,6062,95,-43,71359180,2.268523681,0.1744115,0.780264209,467.0572917,70.77777778,537.8350694,288265000
5/22/2015,27.726,8145580,10828,279,-583,6843,317,-219,77437560,2.376892143,0.170107,0.508836015,464.1059028,65.33333333,529.4392361,288265000
5/29/2015,27.266,6943849,29248,568,-625,8626,455,-64,83515940,2.485260605,0.174442,0.603608847,451.5625,60.66666667,512.2291667,288265000
6/5/2015,27.476,7114198,11676,322,-482,7649,342,-155,85697580,2.805824612,0.1825685,0.742869817,450.0868056,62.22222222,512.3090278,288265000
6/12/2015,27.374,6934990,14362,431,-182,6621,257,-107,87879220,3.126388619,0.1875165,0.773495504,444.921875,57.55555556,502.4774306,288265000
6/19/2015,27.876,9219124,15025,392,-586,5524,252,-87,80855450,2.580493654,0.2000125,0.675718093,438.28125,60.66666667,498.9479167,288265000
6/26/2015,27.653,8264928,16305,405,-647,7021,348,-131,73831680,2.034598689,0.2214165,0.690944586,434.5920139,60.66666667,495.2586806,288265000
7/3/2015,27.367,6547008,4952,308,-323,4972,170,-83,72939980,1.972728727,0.2323065,0.758080257,434.5920139,63,497.5920139,288265000
7/10/2015,27.806,7992720,7228,278,-357,5396,188,-75,72048280,1.910858764,0.233664,0.707258511,425.7378472,70.77777778,496.515625,288265000
7/17/2015,34.981,26112714,12892,2308,-456,7850,628,-184,65200446.67,2.175267177,0.2040795,0.515036516,438.28125,89.44444444,527.7256944,288265000
7/24/2015,32.738,20879504,10661,779,-636,6450,266,-121,65200446.67,2.175267177,0.2455545,0.574845602,461.8923611,106.5555556,568.4479167,289886000
7/31/2015,32.875,10196004,8352,376,-424,6832,306,-146,92591780,1.117633526,0.200155,0.588569126,438.28125,80.11111111,518.3923611,289886000
8/7/2015,33.22,8098268,6676,357,-228,4983,180,-62,97831120,1.759722909,0.224484,0.508318768,430.1649306,70,500.1649306,289886000
8/14/2015,34.468,13178742,48906,2768,-878,11458,839,-182,103070460,2.401812292,0.2212785,0.546860524,443.4461806,90.22222222,533.6684028,289886000
8/21/2015,32.201,12535323,18863,844,-1062,6740,337,-163,101461460,2.010866999,0.304752,0.713713558,437.5434028,76.22222222,513.765625,289886000
8/28/2015,32.985,19212303,15176,704,-1750,4430,238,-127,99852460,1.619921707,0.302142,0.842741316,439.0190972,137.6666667,576.6857639,289886000
9/4/2015,31.448,10135974,19429,339,-1614,5876,350,-244,104725940,2.276949421,0.325961,0.829386798,455.9895833,92.55555556,548.5451389,289886000
9/11/2015,32.765,7131124,10745,175,-293,2989,173,-64,109599420,2.933977134,0.293228,0.827037237,448.6111111,76.22222222,524.8333333,289886000
9/18/2015,33.046,10579930,11963,626,-706,4640,289,-121,104535710,2.56289733,0.290679,0.707860747,455.2517361,76.22222222,531.4739583,289886000
