Date,Price,TV,TC,TPC,TNC,NC,NPC,NNC,SI,SIR,VMP,PCR,SVI-T,SVI-S,SVI,SHOUT
1/2/2015,78.45,18141830,,,,696,7,-6,31671001,1.352176405,0.3778885,0.608018652,74.2,8.4,82.6,2223936000
1/5/2015,77.19,26392340,,,,1159,45,-21,31436020,1.335941094,0.4088295,0.466634791,79.8,8.4,88.2,2223936000
1/6/2015,76.15,27365180,,,,1927,76,-46,31201039,1.319705783,0.418505,0.328435531,74.2,9.6,83.8,2223936000
1/7/2015,76.15,22015250,,,,1567,48,-27,30966058,1.303470472,0.408256,0.451984431,72.8,9.6,82.4,2223936000
1/8/2015,78.175,23931830,,,,1332,26,-44,30731077,1.287235162,0.3817225,0.331411498,88.2,10.8,99,2223936000
1/9/2015,77.74,21146060,,,,147,6,-29,30496096,1.270999851,0.387722,0.498452127,79.8,10.8,90.6,2223936000
1/12/2015,76.72,19150390,,,,776,15,-23,30261115,1.25476454,0.39567,0.445623449,72.8,7.2,80,2223936000
1/13/2015,76.45,25149270,,,,166,49,-4,30026134,1.238529229,0.385016,0.455315764,72.8,9.6,82.4,2223936000
1/14/2015,76.28,25831690,,,,215,63,-73,29791153,1.222293918,0.388465,0.464020001,81.2,9.6,90.8,2223936000
1/15/2015,74.05,34058150,,,,2383,55,-45,29791153,1.222293918,0.4167015,0.524683784,79.8,10.8,90.6,2223936000
1/16/2015,75.18,21744680,,,,142,36,-27,30093453.33,1.205744888,0.399081,0.603090672,84,10.8,94.8,2223936000
1/20/2015,76.24,22765930,,,,1452,86,-22,30395753.67,1.189195858,0.3719515,0.433918244,84,7.2,91.2,2223936000
1/21/2015,76.74,25079200,,,,1971,76,-122,30698054,1.172646828,0.3721275,0.497510984,84,8.4,92.4,2223936000
1/22/2015,77.65,19491720,,,,1616,36,-5,31000354.33,1.156097798,0.3570665,0.590623616,88.2,8.4,96.6,2223936000
1/23/2015,77.83,16711610,,,,1436,35,-31,31302654.67,1.139548768,0.354353,0.419336317,77,9.6,86.6,2223936000
1/26/2015,77.495,19229120,,,,176,25,-38,31604955,1.122999738,0.368928,0.465363941,79.8,7.2,87,2223936000
1/27/2015,75.78,19982990,,,,3891,83,-372,31907255.33,1.106450708,0.4064005,0.633217085,77,12,89,2223936000
1/28/2015,76.24,51281680,,,,237,63,-15,32209555.67,1.089901678,0.4172975,0.534987052,81.2,13.2,94.4,2223936000
