Date,Price,TV,TC,TPC,TNC,NC,NPC,NNC,SI,SIR,VMP,PCR,SVI-T,SVI-S,SVI,SHOUT
2015-01-31,75.91,542679970,0,0,0,0,0,0,32511856,1.073352648,0.277017,0,2301.6,258,2559.6,2236334000
2015-02-28,78.97,474233620,50729,1568,-910,28220,657,-567,28854444,0.994337286,0.2503145,0.438180687,2220.4,234,2454.4,2236334000
2015-03-31,82.215,574128940,33877,2204,-817,15570,685,-456,34019087,1.141091078,0.3324105,0.486173027,2478,259.2,2737.2,2236334000
2015-04-30,78.77,538613130,28183,3399,-2968,8820,859,-474,31541740,0.998323011,0.2401415,0.551318093,2392.6,249.6,2642.2,2248897000
2015-05-31,79.19,419886560,26607,1360,-1106,7810,478,-343,23541193,1.374040198,0.2135635,0.433498394,2427.867647,244.4727273,2672.340374,2248897000
2015-06-30,85.765,536479950,51677,4329,-2036,9308,855,-400,27458834,0.920007265,0.3270585,0.495228631,2294.744118,234.6545455,2529.398663,2248897000
2015-07-31,94.01,784550600,42285,5666,-3465,9694,1222,-475,28597063,0.644340637,0.2577205,0.418359831,2359.123529,336.7636364,2695.887166,2259737000
2015-08-31,89.43,707614310,36259,2807,-1439,7280,500,-338,28783525,0.6874143,0.398686,0.529632439,2577.358824,403.5272727,2980.886096,2259737000
2015-09-30,89.9,633859150,34176,1884,-1492,10282,843,-405,39560412,1.171093741,0.435031,0.730302776,2478.061765,303.3818182,2781.443583,2259737000
2015-10-31,101.97,570218810,93119,2530,-4039,9215,714,-431,31805305,1.170586385,0.367004,0.520441258,2634.1,313.2,2947.3,2259737000
2015-11-30,104.24,544349186,125204,7632,-2768,7063,964,-319,26656922,1.14639898,0.254465,0.477596816,2456.238235,337.7454545,2793.98369,2270457000
2015-12-31,104.66,438900564,108998,1979,-5008,7737,434,-384,21415013,1.184018933,0.312973,0.587103675,2384.220588,457.5272727,2841.747861,2270457000
2016-01-31,112.21,785960860,107722,11954,-4211,8169,539,-149,24465797,0.500887144,0.2921025,0.623745821,2323.041961,345.8805195,2668.92248,2294940000
2016-02-29,106.92,872792440,124378,3644,-4742,8278,101,-150,25569120,0.759324714,0.291889,0.658802852,2371.926667,320.6337662,2692.560433,2294940000
2016-03-31,114.1,520306580,91714,2529,-5713,7375,84,-238,26423929,1.097954244,0.3333145,0.656979468,2419.792941,284.4467532,2704.239694,2294940000
