Date,Price,TV,TC,TPC,TNC,NC,NPC,NNC,SI,SIR,VMP,PCR,SVI-T,SVI-S,SVI,SHOUT
2015-01-02,77.7,66602280,0,0,0,0,0,0,30848567.5,1.295352817,0.3778885,0,442.4,55.2,497.6,2223936000
2015-01-09,75.365,120850660,0,0,0,6132,201,-167,29791153,1.222293918,0.387722,0.406795846,520.8,61.2,582,2223936000
2015-01-16,73.54,125934180,0,0,0,3682,218,-172,30698054,1.172646828,0.399081,0.505783152,513.8,57.6,571.4,2223936000
2015-01-23,74.82,84048460,0,0,0,6475,233,-180,31604955,1.122999738,0.354353,0.482856736,532,50.4,582.4,2223936000
2015-01-30,74.21,193704840,3991,303,-151,6594,662,-505,32511856,1.073352648,0.277017,0.597350102,526.4,67.2,593.6,2236334000
2015-02-06,73.75,125204080,10227,326,-254,6634,145,-142,31706061,1.337221052,0.259323,0.542469168,548.8,62.4,611.2,2236334000
2015-02-13,73.45,88483500,17088,272,-152,8534,184,-190,30900266,1.601089457,0.236051,0.486096432,548.8,57.6,606.4,2236334000
2015-02-20,75.08,130337890,10098,535,-129,6029,153,-91,29877355,1.297713371,0.2448525,0.401580764,553,57.6,610.6,2236334000
2015-02-27,78.1,130208150,13316,435,-375,7023,175,-144,28854444,0.994337286,0.2503145,0.373579338,555.8,58.8,614.6,2236334000
2015-03-06,78.52,120555850,12341,299,-110,8367,158,-131,31020738.5,1.259689591,0.2528655,0.445978684,595,57.6,652.6,2236334000
2015-03-13,77.26,96566050,3424,240,-204,1480,95,-87,33187033,1.525041896,0.268525,0.608793001,548.8,55.2,604,2236334000
2015-03-20,77.36,164580700,7079,706,-232,1927,173,-97,33603060,1.333066487,0.266502,0.416883533,561.4,58.8,620.2,2236334000
2015-03-27,82.14,148214960,9617,819,-221,3090,220,-116,34019087,1.141091078,0.317997,0.501126998,558.6,62.4,621,2236334000
2015-04-03,80.87,85870900,3325,357,-147,1484,104,-77,31657160.5,1.32331144,0.34258,0.600154599,523.6,54,577.6,2236334000
2015-04-10,80.8,83792160,5591,306,-775,1861,87,-193,29295234,1.505531802,0.341688,0.565876781,554.4,56.4,610.8,2236334000
2015-04-17,80.37,106674920,3795,229,-94,1643,118,-62,30418487,1.251927407,0.3640775,0.537410489,561.4,52.8,614.2,2236334000
2015-04-24,81.24,202036150,12636,2296,-1524,3075,480,-117,31541740,0.998323011,0.2230755,0.554006151,558.6,64.8,623.4,2248897000
2015-05-01,78.11,127261690,5770,410,-707,1747,130,-70,29732781,1.023272063,0.228282,0.543851925,561.4,62.4,623.8,2248897000
2015-05-08,77.05,105166790,6611,259,-239,2578,134,-99,27923822,1.048221114,0.2151765,0.397234224,560.8647059,58.90909091,619.7737968,2248897000
2015-05-15,76.79,137967380,5348,471,-147,1943,142,-87,26114863,1.073170165,0.2094685,0.41039162,541.2235294,60.87272727,602.0962567,2248897000
2015-05-22,79.46,95451230,6127,372,-171,1574,99,-76,24828028,1.223605182,0.210885,0.417303591,559.7735294,57.92727273,617.7008021,2248897000
2015-05-29,78.88,58489850,7003,199,-320,1431,82,-61,23541193,1.374040198,0.2135635,0.478625266,547.7705882,46.14545455,593.9160428,2248897000
2015-06-05,78.66,105553290,8739,515,-331,2286,193,-93,24523392.5,1.356144125,0.2093875,0.496218452,560.8647059,48.10909091,608.9737968,2248897000
2015-06-12,79.32,84833830,12259,995,-524,2038,179,-67,25505592,1.338248052,0.2308305,0.486407982,531.4029412,50.07272727,581.4756684,2248897000
2015-06-19,80.07,100846710,12268,629,-532,1766,131,-132,26482213,1.129127658,0.2469925,0.551389616,528.1294118,51.05454545,579.1839572,2248897000
2015-06-26,83.31,186181160,16343,2015,-569,2569,280,-86,27458834,0.920007265,0.2864515,0.452512152,537.95,64.8,602.75,2248897000
2015-07-03,85.57,101138220,5330,443,-675,1658,151,-91,25473918.5,0.914664579,0.3072455,0.538641345,531.4029412,58.90909091,590.3120321,2248897000
2015-07-10,85.231,128397140,5189,352,-158,2028,162,-77,23489003,0.909321893,0.317779,0.484037375,519.4,61.85454545,581.2545455,2248897000
2015-07-17,88.42,162255460,6988,933,-259,1698,174,-78,25191689.67,0.820994808,0.367811,0.312805723,524.8558824,69.70909091,594.5649733,2248897000
2015-07-24,94.81,184778730,7717,1052,-410,1745,150,-117,26894376.33,0.732667722,0.4789605,0.381550292,520.4911765,85.41818182,605.9093583,2248897000
2015-07-31,91.8,267046010,19129,3061,-2043,3214,657,-134,28597063,0.644340637,0.2577205,0.493619649,543.4058824,91.30909091,634.7149733,2259737000
2015-08-07,92.8,144378890,7091,695,-319,1749,147,-80,27213043.5,0.839968868,0.292555,0.485912399,654.7058824,78.54545455,733.2513369,2259737000
2015-08-14,91.19,104085140,9432,556,-356,1598,101,-108,25829024,1.035597099,0.2672215,0.520413818,583.7794118,78.54545455,662.3248663,2259737000
2015-08-21,85.61,170572110,7514,855,-351,1393,87,-53,27306274.5,0.861505699,0.4080835,0.528084127,563.0470588,79.52727273,642.5743316,2259737000
2015-08-28,72,255806790,11467,646,-392,2296,149,-87,28783525,0.6874143,0.3933555,0.574350329,563.0470588,134.5090909,697.5561497,2259737000
2015-09-04,86.5,149971760,6585,363,-241,1708,153,-94,33449859.5,1.065962143,0.381108,0.626585631,575.05,84.43636364,659.4863636,2259737000
2015-09-11,88.83,106913380,5347,326,-133,1689,133,-60,38116194,1.444509986,0.318717,0.808604265,573.9588235,64.8,638.7588235,2259737000
2015-09-18,91.6,145143610,6974,267,-130,2604,156,-86,38838303,1.307801863,0.304097,0.622922312,568.5029412,67.74545455,636.2483957,2259737000
2015-09-25,91.92,145215500,10042,762,-366,2825,212,-80,39560412,1.171093741,0.3689625,0.829695383,565.2294118,70.69090909,635.9203209,2259737000
2015-10-02,85.72,186277430,8776,402,-756,2544,270,-124,37566351,1.301317528,0.3875165,0.6982418,576.1411765,68.72727273,644.8684492,2259737000
2015-10-09,90.47,121028680,18133,411,-1038,2629,171,-129,35572290,1.431541316,0.3701215,0.677978612,573.9588235,66.76363636,640.7224599,2259737000
2015-10-16,92.67,109870590,25163,679,-453,1691,148,-87,34316628.33,1.344556339,0.358241,0.517028433,585.9617647,66.76363636,652.7254011,2259737000
2015-10-23,96.47,145126700,22832,781,-1781,1963,137,-105,33060966.67,1.257571362,0.3913045,0.457626183,603.4205882,72.65454545,676.0751337,2259737000
2015-10-30,101.55,127301690,24198,478,-654,2088,193,-81,31805305,1.170586385,0.367004,0.409840779,625.2441176,80.50909091,705.7532086,2259737000
2015-11-06,101.18,185172440,40234,5497,-751,3019,639,-74,30875601,1.06102774,0.260063,0.476350321,595.7823529,99.16363636,694.9459893,2270457000
2015-11-13,103.83,127391460,36845,1267,-1332,1709,132,-99,29945897,0.951469095,0.292238,0.462557977,569.5941176,80.50909091,650.1032086,2270457000
2015-11-20,100.47,147422980,30293,599,-340,1420,131,-73,28301409.5,1.048934037,0.2521055,0.473887129,578.3235294,76.58181818,654.9053476,2270457000
2015-11-27,104.39,64306356,15067,215,-318,778,53,-71,26656922,1.14639898,0.2562065,0.483266574,557.5911765,64.8,622.3911765,2270457000
2015-12-04,103.35,111538990,32811,483,-299,2416,100,-60,27052029,1.198120536,0.2365725,0.488186236,588.1441176,81.49090909,669.6350267,2270457000
2015-12-11,101.91,103085440,25293,668,-1410,1578,112,-65,27447136,1.249842091,0.344857,0.640593642,539.0411765,86.4,625.4411765,2270457000
2015-12-18,101.46,125877390,26830,376,-921,1966,130,-140,24431074.5,1.216930512,0.296645,0.599262137,576.1411765,90.32727273,666.4684492,2270457000
2015-12-25,103.6,56774174,13164,305,-170,906,51,-10,21415013,1.184018933,0.274376,0.619543467,488.8470588,100.1454545,588.9925134,2270457000
2016-01-01,104.53,61680520,13665,201,-2235,1008,50,-111,22502666,1.021899913,0.312973,0.646483101,485.5735294,127.6363636,613.209893,2270457000
