Date,Price,TV,TC,TPC,TNC,NC,NPC,NNC,SI,SIR,VMP,PCR,SVI-T,SVI-S,SVI,SHOUT
1/2/2015,46.76,27843560,,,,538,14,-17,61890987.56,2.138492674,0.2293805,0.730290691,16.8,20,36.8,8242853000
1/5/2015,46.325,39667400,,,,989,32,-9,61770851.11,2.118265842,0.2449675,0.864040451,20.4,14,34.4,8242853000
1/6/2015,45.65,36434980,,,,1416,66,-4,61650714.67,2.098039009,0.2581195,0.78428916,26.4,16,42.4,8242853000
1/7/2015,46.23,29103920,,,,1225,36,-9,61530578.22,2.077812177,0.249454,0.468549844,25.2,18,43.2,8242853000
1/8/2015,47.59,29634030,,,,1266,48,-6,61410441.78,2.057585344,0.2391405,0.386541103,28.8,22,50.8,8242853000
1/9/2015,47.19,23942750,,,,1229,44,-11,61290305.33,2.037358512,0.234742,1.149934425,18,20,38,8242853000
1/12/2015,46.6,23623970,,,,996,38,-5,61170168.89,2.017131679,0.246755,0.565070871,16.8,16,32.8,8242853000
1/13/2015,46.355,35258300,,,,1807,82,-18,61050032.44,1.996904847,0.2475215,0.223399011,21.6,18,39.6,8242853000
1/14/2015,45.955,29713190,,,,1870,70,-23,60929896,1.976678014,0.2585235,0.596761219,22.8,18,40.8,8242853000
1/15/2015,45.48,32744260,,,,1620,53,-14,60929896,1.976678014,0.26662,0.497618927,21.6,18,39.6,8242853000
1/16/2015,46.24,35683380,,,,1393,77,-32,60258823.11,1.856889503,0.2472535,1.379348882,22.8,18,40.8,8242853000
1/20/2015,46.39,36121800,,,,1273,37,-28,59587750.22,1.737100991,0.2366215,0.67047532,28.8,14,42.8,8242853000
1/21/2015,45.92,37113740,,,,1742,123,-36,58916677.33,1.61731248,0.231714,1.055244472,42,36,78,8242853000
1/22/2015,47.13,35842790,,,,4818,260,-44,58245604.44,1.497523969,0.2164265,0.7653482,40.8,36,76.8,8242853000
1/23/2015,47.18,26136690,,,,2654,100,-33,57574531.56,1.377735457,0.207047,1.154127555,34.8,34,68.8,8242853000
1/26/2015,47.01,40995700,,,,1473,36,-7,56903458.67,1.257946946,0.2196825,0.683643853,60,28,88,8242853000
1/27/2015,42.66,169115000,,,,3089,307,-153,56232385.78,1.138158435,0.2080235,0.583628744,120,62,182,8203785000
1/28/2015,41.19,84453280,,,,3013,161,-167,55561312.89,1.018369923,0.2295375,0.570076299,74.4,52,126.4,8203785000
1/29/2015,42.01,63551980,,,,2521,91,-64,54890240,0.898581412,0.2178925,0.535618866,48,40,88,8203785000
1/30/2015,40.4,77983360,3336,217,-52,2046,71,-12,54890240,0.898581412,0.243383,0.797561403,50.4,26,76.4,8203785000
2/2/2015,41.28,50274250,1144,26,-16,1223,37,-5,55632131.67,0.992336694,0.226759,0.696178818,32.4,28,60.4,8203785000
2/3/2015,41.6,52068450,2144,69,-46,1747,71,-19,56374023.33,1.086091975,0.205852,0.73814988,38.4,34,72.4,8203785000
2/4/2015,41.84,41585310,1337,35,-67,1615,44,-11,57115915,1.179847257,0.2065685,1.019521695,38.4,28,66.4,8203785000
