Date,Price,TV,TC,TPC,TNC,NC,NPC,NNC,SI,SIR,VMP,PCR,SVI-T,SVI-S,SVI,SHOUT
2015-01-31,40.4,914964080,0,0,0,0,0,0,61085439,0.898581412,0.243383,0,864,690,1554,8203785000
2015-02-28,43.85,649690680,32506,1924,-1059,32467,1018,-221,29832772,2.250397851,0.1481485,0.553132371,694.8,658,1352.8,8203785000
2015-03-31,40.655,823090350,42929,795,-1792,36871,1443,-369,37832432,2.107636432,0.2447775,0.733919691,674.4,646,1320.4,8203785000
2015-04-30,48.64,870751400,48329,3451,-1520,37577,1865,-418,51985297,1.682538026,0.1869895,0.717651894,895.2,702,1597.2,8113000000
2015-05-31,46.86,629408870,38466,1613,-812,30766,1269,-287,26513285,2.578603481,0.182572,0.59829607,640,660,1300,8113000000
2015-06-30,44.15,663592650,51700,1079,-1308,35245,1600,-287,33987278,1.98067777,0.25779,0.636751669,533.7142857,508,1041.714286,8113000000
2015-07-31,46.7,723654900,62830,2271,-13111,42640,2043,-648,36729643,1.539022337,0.1751945,0.672578043,816,680,1496,8027000000
2015-08-31,43.52,773965590,59454,2261,-2132,30380,1172,-350,47197220,1.546769238,0.289862,0.540757692,721.1428571,678,1399.142857,7997981000
2015-09-30,44.26,668549750,78696,2515,-2490,35676,1563,-441,31214514,2.288423328,0.294315,0.997065911,616,588,1204,7997981000
2015-10-31,52.64,854429450,114728,4453,-3212,39169,2498,-406,49392700,1.170179298,0.195966,0.510839642,897.1428571,912,1809.142857,7987913000
2015-11-30,54.35,657151072,69473,1567,-2541,29296,1301,-225,29868261,1.59353874,0.1911905,0.292907005,576,682,1258,7987913000
2015-12-31,55.48,791186242,66430,1871,-2539,28593,1230,-298,33210421,1.531667214,0.274599,0.485565264,525.7142857,694,1219.714286,7987913000
2016-01-31,55.09,923756060,86981,4757,-4236,26660,245,-185,47907726,1.129807643,0.230485,0.566413391,804.5714286,802,1606.571429,7909303000
2016-02-29,50.88,810642430,71606,2075,-1464,23944,50,-61,32030274,1.721806907,0.2508325,0.535183062,636.5714286,686,1322.571429,7909303000
2016-03-31,55.23,639846030,91812,1010,-870,30424,41,-55,27731407,1.761774547,0.261649,0.621413944,619.4285714,676,1295.428571,7909303000
