Date,Price,TV,TC,TPC,TNC,NC,NPC,NNC,SI,SIR,VMP,PCR,SVI-T,SVI-S,SVI,SHOUT
2015-01-02,46.76,80192640,0,0,0,0,0,0,61470510,2.067698761,0.2293805,0,96,88,184,8242853000
2015-01-09,47.19,158783080,0,0,0,6125,226,-39,60929896,1.976678014,0.234742,0.668128296,132,122,254,8242853000
2015-01-16,46.24,157023100,0,0,0,7686,320,-92,58916677.33,1.61731248,0.2472535,0.593405044,126,116,242,8242853000
2015-01-23,47.18,135215020,0,0,0,10487,520,-141,56903458.67,1.257946946,0.207047,0.916915891,176.4,156,332.4,8242853000
2015-01-30,40.4,436099320,3336,217,-52,12142,666,-403,54890240,0.898581412,0.243383,0.608218038,379.2,240,619.2,8203785000
2015-02-06,42.41,215083450,8571,644,-204,7863,256,-62,58228752.5,1.320480179,0.194917,0.804552658,207.6,182,389.6,8203785000
2015-02-13,43.87,168670140,9317,1000,-511,9997,361,-74,61567265,1.742378947,0.168643,0.300023532,188.4,180,368.4,8203785000
2015-02-20,43.855,118106700,8857,132,-106,7059,216,-43,64351435.5,1.996388399,0.1619695,0.732238437,165.6,154,319.6,8203785000
2015-02-27,43.85,147830390,5761,148,-238,7548,185,-42,67135606,2.250397851,0.1481485,0.809230211,154.8,158,312.8,8203785000
2015-03-06,42.36,148495150,11475,237,-804,9471,338,-80,67407366.5,2.038928719,0.1741365,0.867353715,148.8,162,310.8,8203785000
2015-03-13,41.38,221436420,5852,126,-402,6526,268,-86,67679127,1.827459587,0.2091625,0.829073793,156,166,322,8203785000
2015-03-20,42.88,216696170,14100,193,-296,10372,460,-91,73708069.5,1.96754801,0.195641,0.626183017,156,144,300,8203785000
2015-03-27,40.97,166578020,8335,182,-149,7720,276,-92,79737012,2.107636432,0.239772,0.784496194,151.2,136,287.2,8203785000
2015-04-03,40.29,144208600,7568,125,-240,6340,224,-54,75981275,2.246637322,0.2459515,0.598339087,139.2,110,249.2,8203785000
2015-04-10,41.72,146249710,9088,335,-244,6862,278,-78,72225538,2.385638212,0.232833,0.735097608,152.4,112,264.4,8203785000
2015-04-17,41.615,146154530,8838,228,-176,8861,465,-113,79846388.5,2.034088119,0.2266605,0.992872066,152.4,142,294.4,8203785000
2015-04-24,47.87,273418920,11323,2130,-574,10190,585,-128,87467239,1.682538026,0.178958,0.577368822,262.8,198,460.8,8113000000
2015-05-01,48.655,267036900,19742,847,-472,9862,509,-77,84897846.67,1.862940765,0.176721,0.857329348,306,218,524,8113000000
2015-05-08,47.75,204768500,14026,466,-205,9036,378,-103,82328454.33,2.043343504,0.1679705,1.16148532,182.8571429,174,356.8571429,8113000000
2015-05-15,48.295,150303450,7673,633,-169,6762,311,-53,79759062,2.223746242,0.1687075,0.602770028,139.4285714,136,275.4285714,8113000000
2015-05-22,46.9,125233990,6702,185,-199,6978,244,-55,74063155.5,2.401174862,0.1757415,0.316101995,142.8571429,150,292.8571429,8113000000
2015-05-29,46.86,112670260,5002,172,-194,6234,241,-64,68367249,2.578603481,0.182572,0.538499547,108.5714286,146,254.5714286,8113000000
