Date,Price,TV,TC,TPC,TNC,NC,NPC,NNC,SI,SIR,VMP,PCR,SVI-T,SVI-S,SVI,SHOUT
2015-01-31,63.114,60459802,0,0,0,0,0,0,42342139,1.480423455,0.3350555,0,475,391.5,866.5,60498000
2015-02-28,67.844,29919487,27567,886,-814,7854,261,-235,35109158,3.687614098,0.2736925,0.96515081,265,300,565,60498000
2015-03-31,59.527,46801117,17982,999,-888,8007,327,-186,34783567,2.190310601,0.4862145,0.972052077,215,262.5,477.5,60498000
2015-04-30,79.5,72296864,34737,6412,-1364,11145,877,-167,42778967,1.625451361,0.260979,0.816408829,593.3333333,586.5,1179.833333,60623000
2015-05-31,89.151,39833667,18747,2008,-757,7025,351,-117,27690495,2.316278833,0.2601785,0.89089896,353.3333333,433.5,786.8333333,60623000
2015-06-30,93.849,66734413,36733,3946,-2179,10522,546,-222,29294461,1.160661853,0.4840455,0.853297033,570,735,1305,60623000
2015-07-31,114.31,264425834,39041,6927,-2023,10454,710,-153,28407941,1.606726922,0.3280665,0.866503335,1068.333333,1122,2190.333333,426005000
2015-08-31,115.03,468279608,46541,3620,-3279,9468,535,-215,35961581,1.327219032,0.603623,0.989588133,1048.333333,1137,2185.333333,426005000
2015-09-30,103.26,496044740,50416,2384,-4180,11870,324,-147,41464312,2.14762245,0.8089125,0.997531509,1016.666667,864,1880.666667,426005000
2015-10-31,108.38,443018020,56936,4776,-6009,10693,553,-183,44538492,2.782812558,0.393186,0.806245512,1001.666667,762,1763.666667,427388000
2015-11-30,123.33,319409654,42536,1603,-2314,7493,271,-87,51480025,2.875187169,0.4263535,0.713738486,616.6666667,543,1159.666667,427388000
2015-12-31,114.38,319472006,42436,2334,-1794,9903,316,-143,48050520,4.531284907,0.6440005,0.848226292,588.3333333,555,1143.333333,427388000
2016-01-31,91.84,486632360,94247,8371,-6519,16956,453,-271,53134071,1.842661748,0.4994825,0.908255603,1000,1022.4,2022.4,428081000
2016-02-29,93.41,388861140,30012,1884,-1492,8349,51,-83,53821222,3.359391139,0.4859295,0.907585992,665,678.6,1343.6,428081000
2016-03-31,102.23,311057669,28955,1212,-1394,8595,54,-100,49701268,4.127919037,0.6454805,0.727267594,570,563.4,1133.4,428081000
2016-04-30,90.03,336714573,49790,3404,-5809,11439,244,-465,37704337,1.722599102,0.3672935,0.827961784,796.6666667,660.6,1457.266667,428299000
2016-05-31,102.57,264767273,34738,1339,-1520,9318,68,-38,39018060,2.873827966,0.3317455,0.908235958,590,550.8,1140.8,428299000
2016-06-30,91.48,217903949,33519,1294,-1516,8321,86,-69,33979726,3.181453084,0.5265185,0.770095349,526.6666667,450,976.6666667,428299000
2016-07-31,91.25,317513643,53973,3768,-7709,12301,246,-592,33963873,1.778622888,0.29341,0.782222588,955,743.4,1698.4,428725000
2016-08-31,97.45,182322225,29961,1375,-1162,7773,81,-67,32723002,4.765376541,0.2737395,0.660070592,496.6666667,388.8,885.4666667,428725000
2016-09-30,98.55,169594194,31250,893,-1096,9078,76,-115,32871418,3.618865465,0.489817,0.713573244,354.7619048,350.2285714,704.9904762,428725000
2016-10-31,124.87,272749899,57438,9094,-3628,12932,652,-194,30711194,1.901888773,0.3103475,0.774844003,741.6666667,853.2,1594.866667,429145000
2016-11-30,117,147086573,24428,872,-856,7883,71,-73,26805298,4.527443213,0.289539,0.827363126,327.3809524,476.7428571,804.1238095,429145000
2016-12-31,123.8,128356700,37696,1088,-1139,9587,66,-55,23947413,5.006518166,0.5251215,0.652692586,296.4285714,410.4,706.8285714,429145000
2017-01-31,140.71,181047182,39389,6270,-1603,11897,1368,-253,24009788,2.384029779,0.29591,0.812288743,557.1428571,752.9142857,1310.057143,429145000
2017-02-28,142.13,90668047,28835,1254,-566,8808,32,-52,24128348,6.385061162,0.234686,0.825826112,294.047619,643.3714286,937.4190476,430412000
2017-03-31,147.81,110496123,30379,1843,-1379,10308,94,-91,25449362,5.262320756,0.4091645,0.988664367,321.4285714,626.4,947.8285714,430412000
2017-04-30,152.2,148659553,40579,4504,-3071,14785,0,0,28615451,2.570374838,0.239549,0.91456547,480.952381,660.3428571,1141.295238,431004000
