Date,Price,TV,TC,TPC,TNC,NC,NPC,NNC,SI,SIR,VMP,PCR,SVI-T,SVI-S,SVI,SHOUT
1/2/2015,49.849,5357387,0,0,0,0,0,0,35930814.5,2.889796337,0.5159935,0,41.66666667,37.5,79.16666667,60246000
1/9/2015,47.041,9017376,0,0,0,2213,98,-45,36240064,2.585949968,0.5573025,0.935988354,68.33333333,46.5,114.8333333,60246000
1/16/2015,48.191,11844043,0,0,0,2601,98,-31,38274089,2.21744113,0.548545,0.880860106,61.66666667,57,118.6666667,60246000
1/23/2015,62.494,23602891,0,0,0,3391,331,-50,40308114,1.848932293,0.305274,1.004812907,230,159,389,60416000
1/30/2015,63.114,14092325,851,40,-26,1786,65,-24,42342139,1.480423455,0.3350555,0.887768201,108.3333333,108,216.3333333,60498000
2/6/2015,63.48,9276228,5114,317,-576,2100,79,-71,41282493,2.361553909,0.317772,0.850319921,66.66666667,79.5,146.1666667,60498000
2/13/2015,66.586,8418038,7719,229,-123,2347,59,-113,40222847,3.242684362,0.304456,0.991308286,70,82.5,152.5,60498000
2/20/2015,68.314,5901401,2294,155,-44,920,27,-11,37666002.5,3.46514923,0.2773825,1.013461476,61.66666667,60,121.6666667,60498000
2/27/2015,67.844,6323820,12440,185,-71,2487,96,-40,35109158,3.687614098,0.2736925,1.027461607,58.33333333,72,130.3333333,60498000
3/6/2015,64.874,8453775,4571,129,-113,2170,89,-41,36306669,3.20941112,0.304609,0.98373275,38.33333333,72,110.3333333,60498000
3/13/2015,62.629,11149983,3735,177,-210,1776,79,-48,37504180,2.731208142,0.4056195,1.096303231,50,63,113,60498000
3/20/2015,61.185,12127360,3943,291,-375,1771,58,-67,36143873.5,2.460759371,0.4594485,1.005216247,58.33333333,54,112.3333333,60498000
3/27/2015,59.253,11140762,4842,344,-161,1798,78,-24,34783567,2.190310601,0.5121885,0.852273941,58.33333333,61.5,119.8333333,60498000
