Actual Date,Ghetto Date,Price - Close - Monthly,Trading Volume - Monthly,Twitter Publication Count,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count,News Publication Count,News Positive Sentiment Count,News Negative Sentiment Count,SI,SI Ratio,IV Midpoint
1/4/2010,,7.643,17540960,,,,,,,0,0,
1/5/2010,,7.656,21474930,,,,,,,0,0,
1/6/2010,,7.535,19642030,,,,,,,0,0,
1/7/2010,,7.521,17013540,,,,,,,0,0,
1/8/2010,,7.571,15972090,,,,,,,0,0,
1/11/2010,,7.504,16467400,,,,,,,0,0,
1/12/2010,,7.419,21186100,,,,,,,0,0,
1/13/2010,,7.523,21579390,,,,,,,0,0,
1/14/2010,,7.48,15445080,,,,,,,0,0,
1/15/2010,,7.355,21207920,,,,,,,395458224,0.72890499,
1/19/2010,,7.68,26025700,,,,,,,400726711,0.686118166,
1/20/2010,,7.562,21813630,,,,,,,405995198,0.643331343,
1/21/2010,,7.431,21675770,,,,,,,411263685,0.600544519,
1/22/2010,,7.062,31288170,,,,,,,416532172,0.557757695,
1/25/2010,,7.253,36594380,,,,,,,421800659,0.514970871,
1/26/2010,,7.355,66426150,,,,,,,427069146,0.472184048,
1/27/2010,,7.424,61461850,,,,,,,432337633,0.429397224,
1/28/2010,,7.117,41832000,,,,,,,437606120,0.3866104,
1/29/2010,,6.859,44435740,,,,,,,437606120,0.3866104,
2/1/2010,,6.955,26693820,,,,,,,452384439.1,0.442843362,
2/2/2010,,6.995,24922390,,,,,,,467162758.2,0.499076324,
2/3/2010,,7.115,21932050,,,,,,,481941077.3,0.555309286,
2/4/2010,,6.859,26996380,,,,,,,496719396.4,0.611542248,
2/5/2010,,6.981,30334570,,,,,,,511497715.6,0.66777521,
2/8/2010,,6.933,17020060,,,,,,,526276034.7,0.724008172,
2/9/2010,,7.007,22586290,,,,,,,541054353.8,0.780241134,
2/10/2010,,6.968,13187060,,,,,,,555832672.9,0.836474096,
2/11/2010,,7.095,19509930,,,,,,,570610992,0.892707058,
2/12/2010,,7.156,22983380,,,,,,,570610992,0.892707058,
