Actual Date,Ghetto Date,Price - Close - Monthly,Trading Volume - Monthly,Twitter Publication Count,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count,News Publication Count,News Positive Sentiment Count,News Negative Sentiment Count,SI,SI Ratio,IV Midpoint
1/4/2010,,6.695,7595545,,,,,,,,,
1/5/2010,,6.734,8850716,,,,,,,,,
1/6/2010,,6.613,7177363,,,,,,,,,
1/7/2010,,6.5,11013600,,,,,,,,,
1/8/2010,,6.676,9824568,,,,,,,,,
1/11/2010,,6.515,8776711,,,,,,,,,
1/12/2010,,6.367,9091645,,,,,,,,,
1/13/2010,,6.456,10722930,,,,,,,,,
1/14/2010,,6.367,9704087,,,,,,,,,
1/15/2010,,6.357,15357930,,,,,,,219914820,1.086969815,
1/19/2010,,6.38,8887799,,,,,,,215980882.5,1.028601112,
1/20/2010,,6.289,9058265,,,,,,,212046945,0.97023241,
1/21/2010,,6.331,9968673,,,,,,,208113007.5,0.911863707,
1/22/2010,,6.071,11541820,,,,,,,204179070,0.853495004,
1/25/2010,,6.016,12017660,,,,,,,200245132.5,0.795126301,
1/26/2010,,5.974,9554626,,,,,,,196311195,0.736757599,
1/27/2010,,6.137,14742240,,,,,,,192377257.5,0.678388896,
1/28/2010,,6.301,26608080,,,,,,,188443320,0.620020193,
1/29/2010,,6.271,29455530,,,,,,,188443320,0.620020193,
2/1/2010,,5.944,37665920,,,,,,,193166882.2,0.644944425,
2/2/2010,,5.906,23044030,,,,,,,197890444.4,0.669868657,
2/3/2010,,5.955,12393930,,,,,,,202614006.7,0.69479289,
2/4/2010,,5.797,12768990,,,,,,,207337568.9,0.719717122,
2/5/2010,,5.87,11024210,,,,,,,212061131.1,0.744641354,
2/8/2010,,5.841,9886656,,,,,,,216784693.3,0.769565586,
2/9/2010,,5.902,9218504,,,,,,,221508255.6,0.794489819,
2/10/2010,,5.868,6231079,,,,,,,226231817.8,0.819414051,
2/11/2010,,6.004,8342057,,,,,,,230955380,0.844338283,
2/12/2010,,5.983,7916984,,,,,,,230955380,0.844338283,
2/16/2010,,5.877,8899183,,,,,,,228102510,0.89922462,
2/17/2010,,5.815,8913604,,,,,,,225249640,0.954110957,
2/18/2010,,5.904,9795116,,,,,,,222396770,1.008997294,
2/19/2010,,5.876,7114712,,,,,,,219543900,1.063883632,
2/22/2010,,5.9,6806986,,,,,,,216691030,1.118769969,
2/23/2010,,5.862,7066220,,,,,,,213838160,1.173656306,
2/24/2010,,5.986,7387899,,,,,,,210985290,1.228542643,
2/25/2010,,5.91,9524339,,,,,,,208132420,1.28342898,
2/26/2010,,5.92,5713949,,,,,,,208132420,1.28342898,
3/1/2010,,6.227,13285570,,,,,,,210955656,1.306836129,
3/2/2010,,6.277,12096460,,,,,,,213778892,1.330243277,
3/3/2010,,6.294,6434791,,,,,,,216602128,1.353650426,
3/4/2010,,6.426,7489729,,,,,,,219425364,1.377057574,
3/5/2010,,6.445,6769021,,,,,,,222248600,1.400464723,
3/8/2010,,6.505,5605222,,,,,,,225071836,1.423871872,
3/9/2010,,6.441,6069424,,,,,,,227895072,1.44727902,
3/10/2010,,6.525,5624051,,,,,,,230718308,1.470686169,
3/11/2010,,6.679,7232975,,,,,,,233541544,1.494093317,
3/12/2010,,6.591,6146668,,,,,,,236364780,1.517500466,
3/15/2010,,6.556,6328484,,,,,,,236364780,1.517500466,
3/16/2010,,6.589,4132313,,,,,,,235277145.5,1.537525841,
3/17/2010,,6.567,4358719,,,,,,,234189510.9,1.557551217,
3/18/2010,,6.638,5019797,,,,,,,233101876.4,1.577576592,
3/19/2010,,6.517,8904925,,,,,,,232014241.8,1.597601968,
3/22/2010,,6.523,5367478,,,,,,,230926607.3,1.617627343,
3/23/2010,,6.463,4211062,,,,,,,229838972.7,1.637652719,
3/24/2010,,6.402,4696319,,,,,,,228751338.2,1.657678094,
3/25/2010,,6.736,16192160,,,,,,,227663703.6,1.67770347,
3/26/2010,,6.753,6565051,,,,,,,226576069.1,1.697728845,
3/29/2010,,6.756,4625655,,,,,,,225488434.5,1.717754221,
3/30/2010,,6.829,6191469,,,,,,,224400800,1.737779596,
3/31/2010,,6.788,4597419,,,,,,,224400800,1.737779596,
4/1/2010,,6.59,8771864,,,,,,,223519760,1.704477978,
4/5/2010,,6.575,5815109,,,,,,,222638720,1.671176359,
4/6/2010,,6.778,7922581,,,,,,,221757680,1.637874741,
4/7/2010,,6.744,5938021,,,,,,,220876640,1.604573122,
4/8/2010,,7.048,12675650,,,,,,,219995600,1.571271504,
4/9/2010,,7.003,6007831,,,,,,,219114560,1.537969885,
4/12/2010,,7.06,5443372,,,,,,,218233520,1.504668267,
4/13/2010,,7.008,4779793,,,,,,,217352480,1.471366648,
4/14/2010,,7.214,7881423,,,,,,,216471440,1.43806503,
4/15/2010,,7.291,7826582,,,,,,,216471440,1.43806503,
4/16/2010,,7.109,8396382,,,,,,,218835204,1.421880664,
4/19/2010,,7.122,6016692,,,,,,,221198968,1.405696298,
4/20/2010,,7.21,4297862,,,,,,,223562732,1.389511932,
4/21/2010,,7.321,7307923,,,,,,,225926496,1.373327566,
4/22/2010,,7.504,14717640,,,,,,,228290260,1.357143201,
4/23/2010,,7.181,18962710,,,,,,,230654024,1.340958835,
4/26/2010,,7.356,9309393,,,,,,,233017788,1.324774469,
4/27/2010,,7.101,8630222,,,,,,,235381552,1.308590103,
4/28/2010,,6.968,9229254,,,,,,,237745316,1.292405737,
4/29/2010,,7.087,6307712,,,,,,,240109080,1.276221371,
4/30/2010,,6.855,6102170,,,,,,,240109080,1.276221371,
5/3/2010,,6.874,5653152,,,,,,,238897604.4,1.287967493,
5/4/2010,,6.491,12651130,,,,,,,237686128.9,1.299713616,
5/5/2010,,6.547,9455975,,,,,,,236474653.3,1.311459738,
5/6/2010,,6.436,10187840,,,,,,,235263177.8,1.323205861,
5/7/2010,,6.249,11926940,,,,,,,234051702.2,1.334951983,
5/10/2010,,6.564,6796831,,,,,,,232840226.7,1.346698106,
5/11/2010,,6.523,6041041,,,,,,,231628751.1,1.358444228,
5/12/2010,,6.694,5895134,,,,,,,230417275.6,1.370190351,
5/13/2010,,6.574,5929741,,,,,,,229205800,1.381936473,
5/14/2010,,6.427,5273354,,,,,,,229205800,1.381936473,
5/17/2010,,6.445,5641703,,,,,,,226136895.6,1.404803279,
5/18/2010,,6.314,5239262,,,,,,,223067991.1,1.427670085,
5/19/2010,,6.229,6460003,,,,,,,219999086.7,1.450536892,
5/20/2010,,5.985,8570437,,,,,,,216930182.2,1.473403698,
5/21/2010,,6.136,7965654,,,,,,,213861277.8,1.496270504,
5/24/2010,,6.106,4534949,,,,,,,210792373.3,1.51913731,
5/25/2010,,6.243,7089564,,,,,,,207723468.9,1.542004117,
5/26/2010,,6.161,6952267,,,,,,,204654564.4,1.564870923,
5/27/2010,,6.335,4737057,,,,,,,201585660,1.587737729,
5/28/2010,,6.273,3953851,,,,,,,201585660,1.587737729,
6/1/2010,,6.162,3650661,,,,,,,204444502,1.620906178,
6/2/2010,,6.315,4747192,,,,,,,207303344,1.654074627,
6/3/2010,,6.438,5272208,,,,,,,210162186,1.687243077,
6/4/2010,,6.139,5466912,,,,,,,213021028,1.720411526,
6/7/2010,,6.101,6558899,,,,,,,215879870,1.753579975,
6/8/2010,,5.942,11507850,,,,,,,218738712,1.786748424,
6/9/2010,,5.896,7363130,,,,,,,221597554,1.819916873,
6/10/2010,,6.161,6045179,,,,,,,224456396,1.853085323,
6/11/2010,,6.152,4203517,,,,,,,227315238,1.886253772,
6/14/2010,,6.192,3918871,,,,,,,230174080,1.919422221,
6/15/2010,,6.342,4532656,,,,,,,230174080,1.919422221,
6/16/2010,,6.345,3962820,,,,,,,228951520,1.891590243,
