Actual Date,Ghetto Date,Price - Close - Monthly,Trading Volume - Monthly,Twitter Publication Count,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count,News Publication Count,News Positive Sentiment Count,News Negative Sentiment Count,SI,SI Ratio,IV Midpoint
1/4/2010,,15.684,1954407,,,,,,,0,0,
1/5/2010,,15.615,3004159,,,,,,,0,0,
1/6/2010,,15.221,3976903,,,,,,,0,0,
1/7/2010,,14.867,6410515,,,,,,,0,0,
1/8/2010,,15.065,4723523,,,,,,,0,0,
1/11/2010,,15.042,7209505,,,,,,,0,0,
1/12/2010,,14.776,4814570,,,,,,,0,0,
1/13/2010,,14.691,6491382,,,,,,,0,0,
1/14/2010,,14.761,4236755,,,,,,,0,0,
1/15/2010,,14.514,5427637,,,,,,,91802020,0.884412694,
1/19/2010,,14.705,4314830,,,,,,,92200315,0.894480439,
1/20/2010,,14.524,3246399,,,,,,,92598610,0.904548184,
1/21/2010,,14.589,6216153,,,,,,,92996905,0.914615929,
1/22/2010,,13.764,6782023,,,,,,,93395200,0.924683674,
1/25/2010,,13.513,4418592,,,,,,,93793495,0.93475142,
1/26/2010,,13.574,4355462,,,,,,,94191790,0.944819165,
1/27/2010,,13.566,3963142,,,,,,,94590085,0.95488691,
1/28/2010,,13.37,3226415,,,,,,,94988380,0.964954655,
1/29/2010,,13.261,4138574,,,,,,,94988380,0.964954655,
2/1/2010,,13.338,2244368,,,,,,,97917284.44,1.078410977,
2/2/2010,,13.291,4094110,,,,,,,100846188.9,1.1918673,
2/3/2010,,13.534,2997095,,,,,,,103775093.3,1.305323622,
2/4/2010,,13.182,3376568,,,,,,,106703997.8,1.418779945,
2/5/2010,,13.295,3155942,,,,,,,109632902.2,1.532236267,
2/8/2010,,13.35,2621439,,,,,,,112561806.7,1.64569259,
2/9/2010,,13.424,2819279,,,,,,,115490711.1,1.759148912,
2/10/2010,,13.374,2672502,,,,,,,118419615.6,1.872605235,
2/11/2010,,13.423,2407784,,,,,,,121348520,1.986061557,
2/12/2010,,13.341,2170216,,,,,,,121348520,1.986061557,
2/16/2010,,13.546,3651374,,,,,,,120912950,2.001066812,
2/17/2010,,13.468,2027333,,,,,,,120477380,2.016072068,
2/18/2010,,13.594,2329515,,,,,,,120041810,2.031077323,
2/19/2010,,13.532,2551988,,,,,,,119606240,2.046082579,
2/22/2010,,13.583,2143660,,,,,,,119170670,2.061087834,
2/23/2010,,13.39,2870848,,,,,,,118735100,2.076093089,
2/24/2010,,13.3,2325931,,,,,,,118299530,2.091098345,
2/25/2010,,13.174,3307653,,,,,,,117863960,2.1061036,
2/26/2010,,13.183,2049022,,,,,,,117863960,2.1061036,
3/1/2010,,13.33,2236897,,,,,,,115282042,2.015134932,
3/2/2010,,13.54,4354120,,,,,,,112700124,1.924166263,
3/3/2010,,13.646,3081131,,,,,,,110118206,1.833197595,
3/4/2010,,13.878,3182048,,,,,,,107536288,1.742228926,
3/5/2010,,14.119,3910047,,,,,,,104954370,1.651260258,
3/8/2010,,14.076,2386306,,,,,,,102372452,1.560291589,
3/9/2010,,14.018,3174242,,,,,,,99790534,1.469322921,
3/10/2010,,14.425,5652768,,,,,,,97208616,1.378354252,
3/11/2010,,14.543,4230825,,,,,,,94626698,1.287385583,
3/12/2010,,14.503,2748905,,,,,,,92044780,1.196416915,
3/15/2010,,14.093,4640272,,,,,,,92044780,1.196416915,
3/16/2010,,14.144,3428934,,,,,,,89759940,1.165592013,
3/17/2010,,14.153,3319071,,,,,,,87475100,1.134767112,
3/18/2010,,14.174,1764661,,,,,,,85190260,1.10394221,
3/19/2010,,14.014,4791256,,,,,,,82905420,1.073117308,
3/22/2010,,13.951,4002712,,,,,,,80620580,1.042292407,
3/23/2010,,13.738,5474260,,,,,,,78335740,1.011467505,
3/24/2010,,13.947,6562583,,,,,,,76050900,0.980642604,
3/25/2010,,14.086,3929320,,,,,,,73766060,0.949817702,
3/26/2010,,14.081,2694328,,,,,,,71481220,0.9189928,
3/29/2010,,14.075,3103000,,,,,,,69196380,0.888167899,
3/30/2010,,14.181,1976901,,,,,,,66911540,0.857342997,
3/31/2010,,14.192,3030070,,,,,,,66911540,0.857342997,
4/1/2010,,14.234,2101660,,,,,,,66889997.78,0.881250036,
4/5/2010,,14.289,1899680,,,,,,,66868455.56,0.905157076,
4/6/2010,,14.219,2058472,,,,,,,66846913.33,0.929064115,
4/7/2010,,14.102,2580785,,,,,,,66825371.11,0.952971154,
4/8/2010,,14.201,1933617,,,,,,,66803828.89,0.976878194,
4/9/2010,,14.169,2054486,,,,,,,66782286.67,1.000785233,
4/12/2010,,14.332,2351121,,,,,,,66760744.44,1.024692272,
4/13/2010,,14.683,3841046,,,,,,,66739202.22,1.048599312,
4/14/2010,,14.739,3401080,,,,,,,66717660,1.072506351,
4/15/2010,,14.897,6583711,,,,,,,66717660,1.072506351,
4/16/2010,,13.767,12229550,,,,,,,66825350,1.044667506,
4/19/2010,,13.766,3887953,,,,,,,66933040,1.016828661,
4/20/2010,,13.889,2974701,,,,,,,67040730,0.988989816,
4/21/2010,,13.871,2385760,,,,,,,67148420,0.961150971,
4/22/2010,,13.69,3277725,,,,,,,67256110,0.933312127,
4/23/2010,,13.638,2088433,,,,,,,67363800,0.905473282,
4/26/2010,,13.304,4344896,,,,,,,67471490,0.877634437,
4/27/2010,,13.239,3842791,,,,,,,67579180,0.849795592,
4/28/2010,,13.243,3402279,,,,,,,67686870,0.821956747,
4/29/2010,,13.313,3058577,,,,,,,67794560,0.794117902,
4/30/2010,,13.155,2434599,,,,,,,67794560,0.794117902,
5/3/2010,,13.278,1857769,,,,,,,69594684.44,0.811003043,
5/4/2010,,12.672,6067274,,,,,,,71394808.89,0.827888184,
5/5/2010,,12.756,4566164,,,,,,,73194933.33,0.844773325,
5/6/2010,,12.479,4984581,,,,,,,74995057.78,0.861658466,
5/7/2010,,12.34,5088664,,,,,,,76795182.22,0.878543606,
5/10/2010,,13.054,4117779,,,,,,,78595306.67,0.895428747,
5/11/2010,,12.739,3317167,,,,,,,80395431.11,0.912313888,
5/12/2010,,12.647,3849453,,,,,,,82195555.56,0.929199029,
5/13/2010,,12.784,3325142,,,,,,,83995680,0.94608417,
