Actual Date,Ghetto Date,Price - Close - Monthly,Trading Volume - Monthly,Twitter Publication Count,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count,News Publication Count,News Positive Sentiment Count,News Negative Sentiment Count,SI,SI Ratio,IV Midpoint
1/4/2010,,30.95,38397450,,,,,,,0,0,
1/5/2010,,30.96,49747250,,,,,,,0,0,
1/6/2010,,30.77,58171620,,,,,,,0,0,
1/7/2010,,30.452,50559170,,,,,,,0,0,
1/8/2010,,30.66,51196510,,,,,,,0,0,
1/11/2010,,30.27,68735300,,,,,,,0,0,
1/12/2010,,30.07,65904720,,,,,,,0,0,
1/13/2010,,30.35,51633520,,,,,,,0,0,
1/14/2010,,30.96,63198450,,,,,,,0,0,
1/15/2010,,30.86,79781890,,,,,,,54841423,0.946668213,
1/19/2010,,31.1,46573240,,,,,,,54439759.75,0.902347952,
1/20/2010,,30.585,54837790,,,,,,,54038096.5,0.858027692,
1/21/2010,,30.01,73042410,,,,,,,53636433.25,0.813707431,
1/22/2010,,28.96,101901700,,,,,,,53234770,0.76938717,
1/25/2010,,29.32,63371810,,,,,,,52833106.75,0.725066909,
1/26/2010,,29.5,66626770,,,,,,,52431443.5,0.680746649,
1/27/2010,,29.67,63930860,,,,,,,52029780.25,0.636426388,
1/28/2010,,29.16,116526500,,,,,,,51628117,0.592106127,
1/29/2010,,28.18,193844100,,,,,,,51628117,0.592106127,
2/1/2010,,28.41,85751720,,,,,,,52104807.33,0.620782707,
2/2/2010,,28.46,54134500,,,,,,,52581497.67,0.649459287,
2/3/2010,,28.63,61311770,,,,,,,53058188,0.678135867,
2/4/2010,,27.84,77791530,,,,,,,53534878.33,0.706812447,
2/5/2010,,28.02,80799810,,,,,,,54011568.67,0.735489028,
2/8/2010,,27.72,52811480,,,,,,,54488259,0.764165608,
2/9/2010,,28.01,59118140,,,,,,,54964949.33,0.792842188,
2/10/2010,,27.99,47949340,,,,,,,55441639.67,0.821518768,
2/11/2010,,28.12,65977140,,,,,,,55918330,0.850195348,
2/12/2010,,27.93,77560140,,,,,,,55918330,0.850195348,
2/16/2010,,28.35,51934420,,,,,,,55557128.38,0.890252253,
2/17/2010,,28.59,45756190,,,,,,,55195926.75,0.930309159,
2/18/2010,,28.969,42811450,,,,,,,54834725.13,0.970366065,
2/19/2010,,28.77,44451650,,,,,,,54473523.5,1.01042297,
2/22/2010,,28.73,36706850,,,,,,,54112321.88,1.050479876,
2/23/2010,,28.33,52252160,,,,,,,53751120.25,1.090536781,
2/24/2010,,28.63,43155280,,,,,,,53389918.63,1.130593687,
2/25/2010,,28.6,48693660,,,,,,,53028717,1.170650592,
2/26/2010,,28.67,40368990,,,,,,,53028717,1.170650592,
3/1/2010,,29.02,43773000,,,,,,,53014700.1,1.164136295,
3/2/2010,,28.46,93122240,,,,,,,53000683.2,1.157621997,
3/3/2010,,28.46,48412940,,,,,,,52986666.3,1.1511077,
3/4/2010,,28.63,42888060,,,,,,,52972649.4,1.144593403,
3/5/2010,,28.5875,55981520,,,,,,,52958632.5,1.138079105,
3/8/2010,,28.63,39413470,,,,,,,52944615.6,1.131564808,
3/9/2010,,28.8,49560680,,,,,,,52930598.7,1.125050511,
3/10/2010,,28.97,44891160,,,,,,,52916581.8,1.118536214,
3/11/2010,,29.18,35347730,,,,,,,52902564.9,1.112021916,
3/12/2010,,29.27,31698070,,,,,,,52888548,1.105507619,
3/15/2010,,29.29,37495690,,,,,,,52888548,1.105507619,
3/16/2010,,29.37,36720660,,,,,,,52762834.55,1.099936142,
3/17/2010,,29.63,50375230,,,,,,,52637121.09,1.094364664,
3/18/2010,,29.61,43803350,,,,,,,52511407.64,1.088793187,
3/19/2010,,29.59,81329950,,,,,,,52385694.18,1.08322171,
3/22/2010,,29.6,37698010,,,,,,,52259980.73,1.077650232,
3/23/2010,,29.88,41942960,,,,,,,52134267.27,1.072078755,
3/24/2010,,29.65,33985040,,,,,,,52008553.82,1.066507277,
3/25/2010,,30.01,73160350,,,,,,,51882840.36,1.0609358,
3/26/2010,,29.66,55593560,,,,,,,51757126.91,1.055364323,
3/29/2010,,29.59,33328320,,,,,,,51631413.45,1.049792845,
3/30/2010,,29.77,34953380,,,,,,,51505700,1.044221368,
3/31/2010,,29.2875,63758030,,,,,,,51505700,1.044221368,
4/1/2010,,29.16,74753190,,,,,,,51809611.67,1.041096244,
4/5/2010,,29.27,34326400,,,,,,,52113523.33,1.03797112,
4/6/2010,,29.32,47147120,,,,,,,52417435,1.034845995,
4/7/2010,,29.35,58316540,,,,,,,52721346.67,1.031720871,
4/8/2010,,29.92,63408820,,,,,,,53025258.33,1.028595747,
4/9/2010,,30.34,54737800,,,,,,,53329170,1.025470623,
4/12/2010,,30.32,37067510,,,,,,,53633081.67,1.022345498,
4/13/2010,,30.45,41343360,,,,,,,53936993.33,1.019220374,
4/14/2010,,30.82,68906890,,,,,,,54240905,1.01609525,
4/15/2010,,30.87,52736560,,,,,,,54240905,1.01609525,
4/16/2010,,30.67,88698990,,,,,,,55854280.1,1.012468493,
4/19/2010,,31.039,64417220,,,,,,,57467655.2,1.008841735,
4/20/2010,,31.36,52173790,,,,,,,59081030.3,1.005214978,
4/21/2010,,31.332,54169210,,,,,,,60694405.4,1.00158822,
4/22/2010,,31.39,83322790,,,,,,,62307780.5,0.997961463,
4/23/2010,,30.96,126730100,,,,,,,63921155.6,0.994334706,
4/26/2010,,31.11,63645800,,,,,,,65534530.7,0.990707948,
4/27/2010,,30.845,68723680,,,,,,,67147905.8,0.987081191,
4/28/2010,,30.91,64466680,,,,,,,68761280.9,0.983454433,
4/29/2010,,31.003,52519450,,,,,,,70374656,0.979827676,
4/30/2010,,30.535,63214470,,,,,,,70374656,0.979827676,
5/3/2010,,30.86,43984120,,,,,,,69889087.11,0.962196826,
5/4/2010,,30.13,82045510,,,,,,,69403518.22,0.944565976,
5/5/2010,,29.85,66677610,,,,,,,68917949.33,0.926935126,
5/6/2010,,28.98,128502900,,,,,,,68432380.44,0.909304276,
5/7/2010,,28.21,173679400,,,,,,,67946811.56,0.891673427,
5/10/2010,,28.94,86631120,,,,,,,67461242.67,0.874042577,
5/11/2010,,28.88,63773770,,,,,,,66975673.78,0.856411727,
5/12/2010,,29.44,47093940,,,,,,,66490104.89,0.838780877,
5/13/2010,,29.24,45277260,,,,,,,66004536,0.821150027,
5/14/2010,,28.93,63317860,,,,,,,66004536,0.821150027,
5/17/2010,,28.94,46051850,,,,,,,65001190.11,0.798559104,
5/18/2010,,28.5975,52654570,,,,,,,63997844.22,0.775968182,
5/19/2010,,28.24,61728810,,,,,,,62994498.33,0.753377259,
5/20/2010,,27.11,87903910,,,,,,,61991152.44,0.730786336,
5/21/2010,,26.84,117588700,,,,,,,60987806.56,0.708195414,
5/24/2010,,26.27,73634740,,,,,,,59984460.67,0.685604491,
5/25/2010,,26.07,98171030,,,,,,,58981114.78,0.663013568,
5/26/2010,,25.01,176407600,,,,,,,57977768.89,0.640422646,
5/27/2010,,26,136293600,,,,,,,56974423,0.617831723,
5/28/2010,,25.8,67494090,,,,,,,56974423,0.617831723,
6/1/2010,,25.89,76120800,,,,,,,59354100.9,0.662224963,
6/2/2010,,26.46,65259520,,,,,,,61733778.8,0.706618203,
6/3/2010,,26.86,67797970,,,,,,,64113456.7,0.751011443,
6/4/2010,,25.79,89508290,,,,,,,66493134.6,0.795404683,
6/7/2010,,25.29,80327890,,,,,,,68872812.5,0.839797923,
6/8/2010,,25.11,87193260,,,,,,,71252490.4,0.884191163,
6/9/2010,,24.79,87168580,,,,,,,73632168.3,0.928584403,
6/10/2010,,25,78094060,,,,,,,76011846.2,0.972977643,
6/11/2010,,25.66,67997090,,,,,,,78391524.1,1.017370883,
6/14/2010,,25.495,50917260,,,,,,,80771202,1.061764123,
6/15/2010,,26.5825,81625250,,,,,,,80771202,1.061764123,
6/16/2010,,26.32,48606380,,,,,,,81423311.3,1.069558008,
6/17/2010,,26.37,47988490,,,,,,,82075420.6,1.077351892,
6/18/2010,,26.44,52075220,,,,,,,82727529.9,1.085145777,
6/21/2010,,25.95,54612260,,,,,,,83379639.2,1.092939661,
6/22/2010,,25.77,55857450,,,,,,,84031748.5,1.100733546,
6/23/2010,,25.308,61398600,,,,,,,84683857.8,1.10852743,
6/24/2010,,25,85150560,,,,,,,85335967.1,1.116321315,
6/25/2010,,24.5325,150740500,,,,,,,85988076.4,1.124115199,
6/28/2010,,24.31,73708130,,,,,,,86640185.7,1.131909084,
6/29/2010,,23.31,119621800,,,,,,,87292295,1.139702968,
6/30/2010,,23.01,80975920,,,,,,,87292295,1.139702968,
7/1/2010,,23.16,92210420,,,,,,,87957185.44,1.170888959,
7/2/2010,,23.27,62479630,,,,,,,88622075.89,1.202074949,
7/6/2010,,23.82,73569880,,,,,,,89286966.33,1.23326094,
7/7/2010,,24.3,81893060,,,,,,,89951856.78,1.26444693,
7/8/2010,,24.4095,50756420,,,,,,,90616747.22,1.295632921,
7/9/2010,,24.27,53799310,,,,,,,91281637.67,1.326818911,
7/12/2010,,24.83,49852380,,,,,,,91946528.11,1.358004902,
7/13/2010,,25.13,61578240,,,,,,,92611418.56,1.389190892,
7/14/2010,,25.44,72735610,,,,,,,93276309,1.420376883,
7/15/2010,,25.51,56913440,,,,,,,93276309,1.420376883,
7/16/2010,,24.89,65045360,,,,,,,92467081.4,1.402197897,
7/19/2010,,25.23,37429940,,,,,,,91657853.8,1.384018911,
7/20/2010,,25.48,45486460,,,,,,,90848626.2,1.365839925,
7/21/2010,,25.12,72992780,,,,,,,90039398.6,1.347660939,
7/22/2010,,25.84,72684200,,,,,,,89230171,1.329481953,
7/23/2010,,25.81,108495900,,,,,,,88420943.4,1.311302966,
7/26/2010,,26.1,67219910,,,,,,,87611715.8,1.29312398,
7/27/2010,,26.16,60648950,,,,,,,86802488.2,1.274944994,
7/28/2010,,25.95,69962250,,,,,,,85993260.6,1.256766008,
7/29/2010,,26.03,69426590,,,,,,,85184033,1.238587022,
7/30/2010,,25.81,83513200,,,,,,,85184033,1.238587022,
8/2/2010,,26.33,54906520,,,,,,,84358065.67,1.233974967,
8/3/2010,,26.16,56692270,,,,,,,83532098.33,1.229362912,
8/4/2010,,25.73,78485950,,,,,,,82706131,1.224750857,
8/5/2010,,25.37,64885550,,,,,,,81880163.67,1.220138802,
8/6/2010,,25.55,55968350,,,,,,,81054196.33,1.215526748,
8/9/2010,,25.61,57070310,,,,,,,80228229,1.210914693,
8/10/2010,,25.07,87232800,,,,,,,79402261.67,1.206302638,
8/11/2010,,24.86,76617490,,,,,,,78576294.33,1.201690583,
8/12/2010,,24.49,70213230,,,,,,,77750327,1.197078528,
8/13/2010,,24.4,45245310,,,,,,,77750327,1.197078528,
8/16/2010,,24.5,40929560,,,,,,,78249966.64,1.231657543,
8/17/2010,,24.71,52804610,,,,,,,78749606.27,1.266236557,
8/18/2010,,24.82,45973890,,,,,,,79249245.91,1.300815572,
8/19/2010,,24.44,54022700,,,,,,,79748885.55,1.335394587,
8/20/2010,,24.23,49345890,,,,,,,80248525.18,1.369973602,
8/23/2010,,24.28,51693780,,,,,,,80748164.82,1.404552616,
8/24/2010,,24.04,66470050,,,,,,,81247804.45,1.439131631,
8/25/2010,,24.1,47351860,,,,,,,81747444.09,1.473710646,
8/26/2010,,23.82,49056480,,,,,,,82247083.73,1.508289661,
8/27/2010,,23.93,60795560,,,,,,,82746723.36,1.542868675,
8/30/2010,,23.64,45363350,,,,,,,83246363,1.57744769,
8/31/2010,,23.465,66067760,,,,,,,83246363,1.57744769,
9/1/2010,,23.9,64832480,,,,,,,83619356.11,1.548050946,
9/2/2010,,23.94,48783290,,,,,,,83992349.22,1.518654203,
9/3/2010,,24.29,64127990,,,,,,,84365342.33,1.489257459,
9/7/2010,,23.96,51845630,,,,,,,84738335.44,1.459860716,
9/8/2010,,23.93,65322440,,,,,,,85111328.56,1.430463972,
9/9/2010,,24.01,45970920,,,,,,,85484321.67,1.401067229,
9/10/2010,,23.85,58265910,,,,,,,85857314.78,1.371670485,
9/13/2010,,25.11,114501600,,,,,,,86230307.89,1.342273742,
9/14/2010,,25.03,87104950,,,,,,,86603301,1.312876998,
9/15/2010,,25.115,56067800,,,,,,,86603301,1.312876998,
9/16/2010,,25.33,44437500,,,,,,,85614411.4,1.31806435,
9/17/2010,,25.22,70284460,,,,,,,84625521.8,1.323251702,
9/20/2010,,25.43,49790700,,,,,,,83636632.2,1.328439055,
9/21/2010,,25.15,52669260,,,,,,,82647742.6,1.333626407,
9/22/2010,,24.61,94207870,,,,,,,81658853,1.338813759,
9/23/2010,,24.43,46154140,,,,,,,80669963.4,1.344001111,
9/24/2010,,24.775,51923550,,,,,,,79681073.8,1.349188463,
9/27/2010,,24.7325,43609200,,,,,,,78692184.2,1.354375816,
9/28/2010,,24.6775,56012780,,,,,,,77703294.6,1.359563168,
9/29/2010,,24.5,44276410,,,,,,,76714405,1.36475052,
9/30/2010,,24.49,60941750,,,,,,,76714405,1.36475052,
10/1/2010,,24.38,62616410,,,,,,,76755616.1,1.357376865,
10/4/2010,,23.91,98073840,,,,,,,76796827.2,1.35000321,
10/5/2010,,24.35,77953360,,,,,,,76838038.3,1.342629555,
10/6/2010,,24.43,50409160,,,,,,,76879249.4,1.3352559,
10/7/2010,,24.53,50025340,,,,,,,76920460.5,1.327882245,
10/8/2010,,24.57,41321010,,,,,,,76961671.6,1.320508591,
