Actual Date,Ghetto Date,Price - Close - Monthly,Trading Volume - Monthly,Twitter Publication Count,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count,News Publication Count,News Positive Sentiment Count,News Negative Sentiment Count,SI,SI Ratio,IV Midpoint
1/4/2010,,7.64,2462068,,,,,,,0,0,
1/5/2010,,7.359,3392826,,,,,,,0,0,
1/6/2010,,7.617,3326521,,,,,,,0,0,
1/7/2010,,7.486,1422172,,,,,,,0,0,
1/8/2010,,7.614,1168671,,,,,,,0,0,
1/11/2010,,7.604,969044,,,,,,,0,0,
1/12/2010,,7.481,903909,,,,,,,0,0,
1/13/2010,,7.709,2060222,,,,,,,0,0,
1/14/2010,,7.284,2526422,,,,,,,0,0,
1/15/2010,,7.279,1861408,,,,,,,80083948,5.517468147,
1/19/2010,,7.314,757446,,,,,,,79001978.13,5.252017411,
1/20/2010,,7.32,1383140,,,,,,,77920008.25,4.986566676,
1/21/2010,,7.313,1230673,,,,,,,76838038.38,4.72111594,
1/22/2010,,7.27,1342163,,,,,,,75756068.5,4.455665204,
1/25/2010,,7.019,1969906,,,,,,,74674098.63,4.190214468,
1/26/2010,,7.136,1620488,,,,,,,73592128.75,3.924763732,
1/27/2010,,7.281,3200744,,,,,,,72510158.88,3.659312997,
1/28/2010,,9.006,11049730,,,,,,,71428189,3.393862261,
1/29/2010,,8.893,3514632,,,,,,,71428189,3.393862261,
2/1/2010,,8.719,2701737,,,,,,,71442534.33,3.7959539,
2/2/2010,,8.836,1452256,,,,,,,71456879.67,4.198045539,
2/3/2010,,8.85,1251508,,,,,,,71471225,4.600137179,
2/4/2010,,8.62,1574898,,,,,,,71485570.33,5.002228818,
2/5/2010,,8.691,1585112,,,,,,,71499915.67,5.404320457,
2/8/2010,,8.7,1335028,,,,,,,71514261,5.806412096,
2/9/2010,,8.876,1258745,,,,,,,71528606.33,6.208503736,
2/10/2010,,8.784,829617,,,,,,,71542951.67,6.610595375,
2/11/2010,,9.051,1029016,,,,,,,71557297,7.012687014,
2/12/2010,,9.026,1201109,,,,,,,71557297,7.012687014,
2/16/2010,,9.266,1417482,,,,,,,72658042.63,6.899484811,
2/17/2010,,9.216,1161725,,,,,,,73758788.25,6.786282608,
2/18/2010,,9.443,1257959,,,,,,,74859533.88,6.673080405,
2/19/2010,,9.521,1258904,,,,,,,75960279.5,6.559878203,
2/22/2010,,9.324,5040966,,,,,,,77061025.13,6.446676,
2/23/2010,,9.193,1864126,,,,,,,78161770.75,6.333473797,
2/24/2010,,9.241,1707600,,,,,,,79262516.38,6.220271594,
2/25/2010,,9.373,1530797,,,,,,,80363262,6.107069391,
2/26/2010,,9.436,1231475,,,,,,,80363262,6.107069391,
3/1/2010,,9.957,1838023,,,,,,,80141696.6,6.214265886,
3/2/2010,,9.854,1707911,,,,,,,79920131.2,6.32146238,
3/3/2010,,9.65,3149421,,,,,,,79698565.8,6.428658875,
3/4/2010,,9.716,1008996,,,,,,,79477000.4,6.535855369,
3/5/2010,,9.664,1302488,,,,,,,79255435,6.643051864,
3/8/2010,,9.811,866296,,,,,,,79033869.6,6.750248359,
3/9/2010,,9.991,2025701,,,,,,,78812304.2,6.857444853,
3/10/2010,,10.183,1106327,,,,,,,78590738.8,6.964641348,
3/11/2010,,10.17,1208183,,,,,,,78369173.4,7.071837842,
3/12/2010,,9.997,1338410,,,,,,,78147608,7.179034337,
3/15/2010,,9.943,1001776,,,,,,,78147608,7.179034337,
3/16/2010,,10.09,1213988,,,,,,,77641980.82,7.541487142,
3/17/2010,,10.131,627183,,,,,,,77136353.64,7.903939947,
3/18/2010,,10.077,513273,,,,,,,76630726.45,8.266392751,
3/19/2010,,10.064,1415098,,,,,,,76125099.27,8.628845556,
3/22/2010,,10.413,1030828,,,,,,,75619472.09,8.991298361,
3/23/2010,,10.423,711235,,,,,,,75113844.91,9.353751166,
3/24/2010,,10.339,485620,,,,,,,74608217.73,9.716203971,
3/25/2010,,10.506,1192769,,,,,,,74102590.55,10.07865678,
3/26/2010,,10.614,775330,,,,,,,73596963.36,10.44110958,
3/29/2010,,10.557,799975,,,,,,,73091336.18,10.80356239,
3/30/2010,,10.723,1094559,,,,,,,72585709,11.16601519,
3/31/2010,,10.534,816374,,,,,,,72585709,11.16601519,
4/1/2010,,10.714,1939558,,,,,,,72855658.56,10.4136944,
4/5/2010,,11.427,2380317,,,,,,,73125608.11,9.661373611,
4/6/2010,,11.91,3916484,,,,,,,73395557.67,8.909052821,
4/7/2010,,11.39,3601694,,,,,,,73665507.22,8.156732031,
4/8/2010,,11.69,1987482,,,,,,,73935456.78,7.404411242,
4/9/2010,,11.774,1651538,,,,,,,74205406.33,6.652090452,
4/12/2010,,11.883,1347194,,,,,,,74475355.89,5.899769662,
4/13/2010,,12.34,2466094,,,,,,,74745305.44,5.147448873,
4/14/2010,,12.51,2579403,,,,,,,75015255,4.395128083,
4/15/2010,,12.404,1714080,,,,,,,75015255,4.395128083,
4/16/2010,,12.187,1566972,,,,,,,74649161.3,4.196590051,
4/19/2010,,12.114,1924343,,,,,,,74283067.6,3.998052018,
4/20/2010,,12.439,1772417,,,,,,,73916973.9,3.799513986,
4/21/2010,,12.426,3428117,,,,,,,73550880.2,3.600975954,
4/22/2010,,14.321,12918110,,,,,,,73184786.5,3.402437922,
4/23/2010,,14.247,4259424,,,,,,,72818692.8,3.203899889,
4/26/2010,,15.453,6722193,,,,,,,72452599.1,3.005361857,
4/27/2010,,14.581,4894210,,,,,,,72086505.4,2.806823825,
4/28/2010,,14.199,3251843,,,,,,,71720411.7,2.608285792,
