,AMZN,AAPL,META,GOOGL,MSFT,NFLX
1/3/2012,0.441891,0.31853,,0.305372,0.2263995,0.770437
1/4/2012,0.447451,0.311747,,0.294793,0.224985,0.7935745
1/5/2012,0.440075,0.305206,,0.294083,0.2192955,0.7765605
1/6/2012,0.442537,0.2954895,,0.2935925,0.219884,0.808943
1/9/2012,0.4477665,0.3116735,,0.3176385,0.226958,0.915619
1/10/2012,0.44332,0.2989285,,0.3199895,0.223198,0.874274
1/11/2012,0.44915,0.2991385,,0.3113345,0.225704,0.852443
1/12/2012,0.450531,0.30609,,0.3083915,0.2136625,0.8475615
1/13/2012,0.4585085,0.304937,,0.307409,0.211676,0.870878
1/17/2012,0.466168,0.311948,,0.3248475,0.2116495,0.915114
1/18/2012,0.459189,0.3040025,,0.339159,0.2158375,0.890483
1/19/2012,0.444104,0.3036345,,0.3267835,0.2236465,0.90488
1/20/2012,0.427176,0.33015,,0.215361,0.184039,0.896106
1/23/2012,0.4278635,0.3321275,,0.200224,0.185618,0.8837945
1/24/2012,0.429281,0.3343915,,0.1985165,0.1840265,0.8968425
1/25/2012,0.4259285,0.20259,,0.205419,0.1843725,0.9481105
1/26/2012,0.438869,0.1946695,,0.207328,0.188521,0.61698
1/27/2012,0.4464855,0.195182,,0.2116905,0.1819395,0.6047435
1/30/2012,0.4655845,0.2047975,,0.2286445,0.195073,0.6563005
1/31/2012,0.492251,0.203209,,0.227075,0.190697,0.6591725
2/1/2012,0.3263125,0.1996595,,0.218409,0.1855525,0.649189
2/2/2012,0.3246115,0.191107,,0.2144985,0.1851275,0.605636
2/3/2012,0.310147,0.1898415,,0.2048125,0.1805735,0.580558
2/6/2012,0.3142485,0.188818,,0.201675,0.181133,0.614189
2/7/2012,0.3001285,0.213838,,0.198858,0.181917,0.60757
2/8/2012,0.291472,0.231264,,0.1939855,0.174781,0.595476
2/9/2012,0.297807,0.260929,,0.2085545,0.1787315,0.586521
2/10/2012,0.3119495,0.2735365,,0.224176,0.1915915,0.591517
2/13/2012,0.3037765,0.2910825,,0.2126225,0.1911605,0.6064165
2/14/2012,0.3086345,0.296811,,0.219054,0.194548,0.59702
2/15/2012,0.3328945,0.3070325,,0.22619,0.193803,0.5868985
2/16/2012,0.3402795,0.304052,,0.219864,0.217047,0.5712855
2/17/2012,0.3123715,0.3098355,,0.2143985,0.2033525,0.565583
2/21/2012,0.309419,0.304315,,0.2087315,0.194176,0.6006745
2/22/2012,0.300147,0.304827,,0.2105285,0.1931245,0.6354145
2/23/2012,0.2992935,0.2794405,,0.2151995,0.191582,0.598738
2/24/2012,0.2815995,0.2542235,,0.2178595,0.1884705,0.5626455
2/27/2012,0.297277,0.272312,,0.2508915,0.199302,0.589084
2/28/2012,0.2997805,0.2858845,,0.2632155,0.204099,0.5825255
