Actual Date,Ghetto Date,Price - Close - Monthly,Trading Volume - Monthly,Twitter Publication Count,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count,News Publication Count,News Positive Sentiment Count,News Negative Sentiment Count,SI,SI Ratio,IV Midpoint
30-Jun-10,10-Jun,8.983,593330520,,,,,,,356283620,0.451514515,
31-Jul-10,10-Jul,9.188,557828850,,,,,,,288253588,0.378142482,
31-Aug-10,10-Aug,8.682,341689380,,,,,,,316671908,0.687933729,
30-Sep-10,10-Sep,10.134,422117380,,,,,,,329056756,0.478433885,
31-Oct-10,10-Oct,10.749,433652110,,,,,,,252120764,0.39578728,
30-Nov-10,10-Nov,11.113,338290871,,,,,,,245495460,0.522397717,
31-Dec-10,10-Dec,11.52,248360544,,,,,,,189777672,0.724749115,
31-Jan-11,11-Jan,12.119,385183450,,,,,,,280717332,0.36514859,
28-Feb-11,11-Feb,12.615,330994227,,,,,,,283906700,0.468110358,
31-Mar-11,11-Mar,12.447,402790460,,,,,,,325665088,0.640828519,
30-Apr-11,11-Apr,12.505,322633071,,,,,,,373778132,0.675001937,
31-May-11,11-May,12.422,246545242,,,,,,,304417176,0.869733163,
30-Jun-11,11-Jun,11.988,330175689,,,,,,,324933672,0.693257611,
31-Jul-11,11-Jul,13.946,378999570,,,,,,,329553308,0.505301545,
31-Aug-11,11-Aug,13.744,574316660,,,,,,,424593120,0.677109232,
30-Sep-11,11-Sep,13.619,426923720,,,,,,,327406744,0.465713435,
31-Oct-11,11-Oct,14.456,467524060,,,,,,,299136320,0.496459635,
30-Nov-11,11-Nov,13.65,319772319,,,,,,,325349864,0.81490875,
31-Dec-11,11-Dec,14.464,224724735,,,,,,,278952520,1.031689059,
31-Jan-12,12-Jan,16.303,243223461,,,,,,,296503312,0.71772551,
29-Feb-12,12-Feb,19.373,404864263,,,,,,,274319304,0.422687661,
31-Mar-12,12-Mar,21.413,555032350,,,,,,,270964008,0.387194852,
30-Apr-12,12-Apr,20.856,555260610,,,,,,,318528504,0.359771693,
31-May-12,12-May,20.633,395835840,,,,,,,410275320,0.702802232,
30-Jun-12,12-Jun,20.857,280150210,,,,,,,348463332,1.024269987,
31-Jul-12,12-Jul,21.813,317207355,,,,,,,321057044,0.697361274,
31-Aug-12,12-Aug,23.759,294746313,,,,,,,380558808,0.85409595,
