Actual Date,Ghetto Date,Price - Close - Monthly,Trading Volume - Monthly,Twitter Publication Count,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count,News Publication Count,News Positive Sentiment Count,News Negative Sentiment Count,SI,SI Ratio,IV Midpoint
6/30/2010,10-Jun,5.463,133103876,,,,,,,217948480,1.641102437,
7/31/2010,10-Jul,5.894,173963891,,,,,,,286136780,1.293359747,
8/31/2010,10-Aug,6.241,113301387,,,,,,,287570320,2.821427401,
9/30/2010,10-Sep,7.853,133867933,,,,,,,320077100,2.087253436,
10/31/2010,10-Oct,8.262,142525596,,,,,,,239227360,1.511612048,
11/30/2010,10-Nov,8.77,130883011,,,,,,,189281160,1.383744667,
12/31/2010,10-Dec,9,93500281,,,,,,,178521340,2.28787864,
1/31/2011,11-Jan,8.482,113083326,,,,,,,133684520,0.844787224,
2/28/2011,11-Feb,8.665,95711347,,,,,,,155812520,1.503055356,
3/31/2011,11-Mar,9.007,118898588,,,,,,,145553660,1.328027137,
4/30/2011,11-Apr,9.79,115219970,,,,,,,154357860,0.996908739,
5/31/2011,11-May,9.835,106201130,,,,,,,160529760,1.619247416,
6/30/2011,11-Jun,10.224,95423231,,,,,,,177172200,1.832126098,
7/31/2011,11-Jul,11.126,92492249,,,,,,,137538320,1.170010945,
8/31/2011,11-Aug,10.762,155022944,,,,,,,203577600,1.644927958,
9/30/2011,11-Sep,10.811,143474467,,,,,,,208454940,1.194021727,
10/31/2011,11-Oct,10.675,158245507,,,,,,,220822120,1.202263252,
11/30/2011,11-Nov,9.615,136428283,,,,,,,190776960,1.17380085,
12/31/2011,11-Dec,8.655,125403212,,,,,,,146818240,1.373109403,
1/31/2012,12-Jan,9.722,110103735,,,,,,,140988960,1.084712193,
2/29/2012,12-Feb,8.984,146493817,,,,,,,217447000,1.678915312,
3/31/2012,12-Mar,10.125,112867132,,,,,,,211145540,1.67263176,
4/30/2012,12-Apr,11.595,109859164,,,,,,,206451840,1.517071142,
5/31/2012,12-May,10.646,92729471,,,,,,,182530820,2.178122692,
6/30/2012,12-Jun,11.417,65711796,,,,,,,163039780,2.65851013,
7/31/2012,12-Jul,11.665,77161468,,,,,,,151074480,1.566073227,
8/31/2012,12-Aug,12.413,60163110,,,,,,,174274080,2.848781266,
9/30/2012,12-Sep,12.716,63540699,,,,,,,170889220,2.54277942,
10/31/2012,12-Oct,11.645,81406120,,,,,,,170600940,1.620530931,
11/30/2012,12-Nov,12.602,67185713,,,,,,,173906560,2.61501827,
12/31/2012,12-Dec,12.543,60803583,,,,,,,146609080,2.248988401,
1/31/2013,13-Jan,13.275,83809715,,,,,,,148128540,1.433422838,
2/28/2013,13-Feb,13.214,68622092,,,,,,,146914780,2.21883552,
3/31/2013,13-Mar,13.325,58483322,,,,,,,142648860,2.375180242,
4/30/2013,13-Apr,12.691,76597079,,,,,,,123361540,1.305369748,
5/31/2013,13-May,13.46,59015887,,,,,,,145735720,2.903551985,
6/30/2013,13-Jun,13.884,58532189,,,,,,,143076060,2.244319087,
7/31/2013,13-Jul,15.061,67465206,,,,,,,150324720,2.163611817,
8/31/2013,13-Aug,14.049,43772994,,,,,,,124981160,3.155031848,
9/30/2013,13-Sep,15.632,43423107,,,,,,,161441340,3.21160489,
10/31/2013,13-Oct,18.201,76995400,,,,,,,139950500,1.560450487,
