Actual Date,Ghetto Date,Price - Close - Monthly,Trading Volume - Monthly,Twitter Publication Count,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count,News Publication Count,News Positive Sentiment Count,News Negative Sentiment Count,SI,SI Ratio,IV Midpoint
6/30/2010,10-Jun,11.135,59719360,,,,,,,83120680,1.540794956,
7/31/2010,10-Jul,12.133,69112032,,,,,,,91156480,1.293359747,
8/31/2010,10-Aug,11.261,52740201,,,,,,,79098680,2.821427401,
9/30/2010,10-Sep,13.158,59654099,,,,,,,108357420,2.087253436,
10/31/2010,10-Oct,15.357,79190286,,,,,,,98794380,1.511612048,
11/30/2010,10-Nov,13.906,58355473,,,,,,,75611740,1.383744667,
12/31/2010,10-Dec,14.864,42254639,,,,,,,62725920,2.28787864,
1/31/2011,11-Jan,15.024,59743172,,,,,,,69567920,0.844787224,
2/28/2011,11-Feb,15.35,41811013,,,,,,,78221620,1.503055356,
3/31/2011,11-Mar,14.683,60095090,,,,,,,68713680,1.328027137,
4/30/2011,11-Apr,13.616,69314670,,,,,,,79394040,0.996908739,
5/31/2011,11-May,13.238,45238244,,,,,,,76035880,1.619247416,
6/30/2011,11-Jun,12.672,59056184,,,,,,,73389220,1.832126098,
7/31/2011,11-Jul,15.107,80729105,,,,,,,84771040,1.170010945,
8/31/2011,11-Aug,13.537,106675909,,,,,,,108279100,1.644927958,
9/30/2011,11-Sep,12.888,58573963,,,,,,,111533540,1.194021727,
10/31/2011,11-Oct,14.83,77039430,,,,,,,91198140,1.202263252,
11/30/2011,11-Nov,14.999,60248473,,,,,,,84743460,1.17380085,
12/31/2011,11-Dec,16.163,55003817,,,,,,,79766920,1.373109403,
1/31/2012,12-Jan,14.517,73497749,,,,,,,60137840,1.084712193,
2/29/2012,12-Feb,15.471,47351328,,,,,,,71505820,1.678915312,
3/31/2012,12-Mar,16.047,47321039,,,,,,,67137340,1.67263176,
4/30/2012,12-Apr,15.136,58786237,,,,,,,70830280,1.517071142,
5/31/2012,12-May,14.536,58645514,,,,,,,87946220,2.178122692,
6/30/2012,12-Jun,14.516,46462056,,,,,,,77795180,2.65851013,
7/31/2012,12-Jul,15.84,51211718,,,,,,,78060080,1.566073227,
8/31/2012,12-Aug,17.144,47037442,,,,,,,82368040,2.848781266,
9/30/2012,12-Sep,18.881,60136167,,,,,,,95761000,2.54277942,
10/31/2012,12-Oct,17.024,71726936,,,,,,,99940700,1.620530931,
11/30/2012,12-Nov,17.476,46668472,,,,,,,87099560,2.61501827,
12/31/2012,12-Dec,17.702,41687564,,,,,,,75440160,2.248988401,
1/31/2013,13-Jan,18.911,52333752,,,,,,,65574340,1.433422838,
2/28/2013,13-Feb,20.049,46318716,,,,,,,87838440,2.21883552,
3/31/2013,13-Mar,19.874,42498328,,,,,,,94470860,2.375180242,
4/30/2013,13-Apr,20.634,53506179,,,,,,,82499080,1.305369748,
5/31/2013,13-May,21.802,49394721,,,,,,,75146440,2.903551985,
6/30/2013,13-Jun,22.031,48556528,,,,,,,82659940,2.244319087,
7/31/2013,13-Jul,22.215,51048143,,,,,,,81240620,2.163611817,
8/31/2013,13-Aug,21.193,33376896,,,,,,,75118180,3.155031848,
9/30/2013,13-Sep,21.919,33091220,,,,,,,107851300,3.21160489,
10/31/2013,13-Oct,25.789,55097680,,,,,,,99350520,1.560450487,
11/30/2013,13-Nov,26.515,26251705,,,,,,,94253340,2.785044993,
12/31/2013,13-Dec,28.045,33834475,,,,,,,98135860,2.481781235,
1/31/2014,14-Jan,29.553,54495245,,,,,,,54607580,1.079301148,
2/28/2014,14-Feb,30.421,40597425,,,,,,,49190400,1.482623431,
3/31/2014,14-Mar,27.89,43608619,,,,,,,47971940,1.580886791,
4/30/2014,14-Apr,26.744,66699121,,,,,,,60869500,0.951516875,
5/31/2014,14-May,28.583,41432539,,,,,,,78992640,2.025426847,
6/30/2014,14-Jun,29.233,39408724,,,,,,,66570380,2.094141555,
7/31/2014,14-Jul,28.978,38473854,,,,,,,58461840,1.473445552,
8/31/2014,14-Aug,29.118,29028697,,,,,,,63730260,3.506352657,
9/30/2014,14-Sep,29.42,35385877,,,,,,,50808880,2.145864119,
10/31/2014,14-Oct,28.393,55403082,,,,,,,58751900,1.288163465,
11/30/2014,14-Nov,27.454,29719872,,,,,,,47495440,2.410517355,
12/31/2014,14-Dec,26.533,54361213,,,,,,,60215340,1.766353646,
1/31/2015,15-Jan,26.878,52770146,4599,815,-706,30318,391,-357,56369900,1.08144447,
2/28/2015,15-Feb,28.132,40228379,35134,1482,-1400,27732,212,-88,56193120,2.586463005,
3/31/2015,15-Mar,27.735,43160839,44450,1429,-2079,32077,298,-150,77037680,2.353972657,
4/30/2015,15-Apr,27.438,43636109,60242,3503,-4987,36395,695,-489,78803580,1.148104145,
