Actual Date,Ghetto Date,Price - Close - Monthly,Trading Volume - Monthly,Twitter Publication Count,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count,News Publication Count,News Positive Sentiment Count,News Negative Sentiment Count,SI,SI Ratio,IV Midpoint
6/30/2010,10-Jun,,,,,,,,,,,
7/31/2010,10-Jul,,,,,,,,,,,
8/31/2010,10-Aug,,,,,,,,,,,
9/30/2010,10-Sep,,,,,,,,,,,
10/31/2010,10-Oct,,,,,,,,,,,
11/30/2010,10-Nov,,,,,,,,,,,
12/31/2010,10-Dec,,,,,,,,,,,
1/31/2011,11-Jan,,,,,,,,,,,
2/28/2011,11-Feb,,,,,,,,,,,
3/31/2011,11-Mar,,,,,,,,,,,
4/30/2011,11-Apr,,,,,,,,,,,
5/31/2011,11-May,,,,,,,,,,,
6/30/2011,11-Jun,,,,,,,,,,,
7/31/2011,11-Jul,,,,,,,,,,,
8/31/2011,11-Aug,,,,,,,,,,,
9/30/2011,11-Sep,,,,,,,,,,,
10/31/2011,11-Oct,,,,,,,,,,,
11/30/2011,11-Nov,,,,,,,,,,,
12/31/2011,11-Dec,,,,,,,,,,,
1/31/2012,12-Jan,,,,,,,,,,,
2/29/2012,12-Feb,,,,,,,,,,,
3/31/2012,12-Mar,,,,,,,,,,,
4/30/2012,12-Apr,,,,,,,,,,,
5/31/2012,12-May,29.6,1255959560,,,,,,,34010296,0.313921302,
6/30/2012,12-Jun,31.095,665883760,,,,,,,60154699,1.996767481,
7/31/2012,12-Jul,21.71,515452211,,,,,,,61325822,1.794441435,
8/31/2012,12-Aug,18.058,1149188780,,,,,,,85350481,1.422610231,
9/30/2012,12-Sep,21.66,1053208690,,,,,,,77992874,1.467496397,
10/31/2012,12-Oct,21.11,1092760280,,,,,,,87988874,1.188077105,
11/30/2012,12-Nov,28,1524623140,,,,,,,56892233,0.691144604,
12/31/2012,12-Dec,26.62,1190297520,,,,,,,26392950,0.53710965,
1/31/2013,13-Jan,30.981,1668633630,,,,,,,20540598,0.290355357,
2/28/2013,13-Feb,27.25,954955300,,,,,,,28492068,0.615482941,
3/31/2013,13-Mar,25.58,725714930,,,,,,,38990404,1.230547483,
4/30/2013,13-Apr,27.769,736918070,,,,,,,29629840,1.092526185,
5/31/2013,13-May,24.348,979004390,,,,,,,33867105,0.769222479,
6/30/2013,13-Jun,24.88,787413450,,,,,,,36117437,0.865973492,
7/31/2013,13-Jul,36.8,1428878760,,,,,,,36541970,0.361102656,
8/31/2013,13-Aug,41.294,1341646010,,,,,,,23511417,0.389185574,
9/30/2013,13-Sep,50.23,1579326630,,,,,,,40012513,0.4399778,
10/31/2013,13-Oct,50.205,2011194390,,,,,,,31899951,0.359008247,
11/30/2013,13-Nov,47.01,1354586050,,,,,,,41052399,0.70521234,
12/31/2013,13-Dec,54.649,1495628250,,,,,,,41708837,0.489711998,
1/31/2014,14-Jan,62.57,1291298300,,,,,,,34175129,0.503990409,
2/28/2014,14-Feb,68.46,1108776280,,,,,,,37701633,0.562423626,
3/31/2014,14-Mar,60.24,1253411180,,,,,,,41167893,0.623406205,
4/30/2014,14-Apr,59.78,1877884200,,,,,,,46560111,0.531983051,
5/31/2014,14-May,63.3,1117719800,,,,,,,44556753,0.912621025,
6/30/2014,14-Jun,67.29,861224780,,,,,,,41081656,1.043573668,
7/31/2014,14-Jul,72.65,1021068730,,,,,,,37776463,0.73861827,
8/31/2014,14-Aug,74.82,589127220,,,,,,,36071346,1.485572977,
9/30/2014,14-Sep,79.04,719045050,,,,,,,42885436,1.173671995,
10/31/2014,14-Oct,74.99,1068067440,,,,,,,43824108,0.815550385,
11/30/2014,14-Nov,77.7,490093420,,,,,,,34210393,1.398576698,
12/31/2014,14-Dec,78.02,533102561,,,,,,,31905982,1.368411716,
1/31/2015,15-Jan,75.91,542679970,3991,303,-151,23579,1321,-1030,32511856,1.073352648,
2/28/2015,15-Feb,78.97,474233620,50729,1568,-910,28220,657,-567,28854444,0.994337286,
3/31/2015,15-Mar,82.215,574128940,33877,2204,-817,15570,685,-456,34019087,1.141091078,
