Actual Date,Ghetto Date,Price - Close - Monthly,Trading Volume - Monthly,Twitter Publication Count,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count,News Publication Count,News Positive Sentiment Count,News Negative Sentiment Count,SI,SI Ratio,IV Midpoint
6/30/2010,10-Jun,23.01,1662745280,,,,,,,87292295,1.139702968,
7/31/2010,10-Jul,25.81,1408693930,,,,,,,68775170,1.238587022,
8/31/2010,10-Aug,23.465,1277193270,,,,,,,52772820,1.57744769,
9/30/2010,10-Sep,24.49,1271130630,,,,,,,56211303,1.36475052,
10/31/2010,10-Oct,26.665,1278736480,,,,,,,62422449,1.127725908,
11/30/2010,10-Nov,25.2575,1359823200,,,,,,,57022952,1.327907173,
12/31/2010,10-Dec,27.91,1032537930,,,,,,,37647656,2.263380036,
1/31/2011,11-Jan,27.725,1359248490,,,,,,,74542652,1.023072952,
2/28/2011,11-Feb,26.58,1107030820,,,,,,,61024234,1.413000465,
3/31/2011,11-Mar,25.39,1304175840,,,,,,,55233520,1.498626957,
4/30/2011,11-Apr,25.92,1258341760,,,,,,,84753250,0.774658636,
5/31/2011,11-May,25.01,1354668890,,,,,,,57947249,0.898691757,
6/30/2011,11-Jun,26,1295414490,,,,,,,67524963,0.926676317,
7/31/2011,11-Jul,27.4,1256009070,,,,,,,78432183,0.948798301,
8/31/2011,11-Aug,26.6,1717141940,,,,,,,60463448,1.478512489,
9/30/2011,11-Sep,24.89,1277869800,,,,,,,64721542,1.237993279,
10/31/2011,11-Oct,26.63,1216838610,,,,,,,58410750,1.038064688,
11/30/2011,11-Nov,25.58,1043781860,,,,,,,52949609,1.267697274,
12/31/2011,11-Dec,25.96,1006042170,,,,,,,43989950,1.541436896,
1/31/2012,12-Jan,29.53,1353448730,,,,,,,69371513,0.963560186,
2/29/2012,12-Feb,31.74,984044570,,,,,,,52873021,1.162974818,
3/31/2012,12-Mar,32.255,942053690,,,,,,,40126187,1.699173734,
4/30/2012,12-Apr,32.015,939872160,,,,,,,50790170,1.370350109,
5/31/2012,12-May,29.19,1014025820,,,,,,,46064881,1.862189311,
6/30/2012,12-Jun,30.59,972506090,,,,,,,47650271,1.975689015,
7/31/2012,12-Jul,29.47,846051580,,,,,,,42929131,1.935595039,
8/31/2012,12-Aug,30.82,671104530,,,,,,,28877812,3.040565089,
9/30/2012,12-Sep,29.76,892653490,,,,,,,52389503,1.944542841,
10/31/2012,12-Oct,28.54,1104142400,,,,,,,61975168,1.600096913,
11/30/2012,12-Nov,26.615,1310046480,,,,,,,62003931,1.738845864,
12/31/2012,12-Dec,26.7097,946644910,,,,,,,45843008,1.905234949,
1/31/2013,13-Jan,27.45,1133539660,,,,,,,57464358,1.393785814,
2/28/2013,13-Feb,27.8,780188720,,,,,,,41297496,2.370263224,
3/31/2013,13-Mar,28.605,843912050,,,,,,,39519769,2.732413466,
4/30/2013,13-Apr,33.1,1464580490,,,,,,,76012510,1.307981239,
5/31/2013,13-May,34.9,1071504350,,,,,,,51347973,2.002086334,
6/30/2013,13-Jun,34.545,942700730,,,,,,,48963023,1.595978051,
7/31/2013,13-Jul,31.84,1109226320,,,,,,,65408458,0.978090937,
8/31/2013,13-Aug,33.4,1049963220,,,,,,,57969805,1.097613577,
9/30/2013,13-Sep,33.28,1243406350,,,,,,,52568655,1.271505501,
10/31/2013,13-Oct,35.405,962960920,,,,,,,45517977,1.422635105,
11/30/2013,13-Nov,38.13,800341150,,,,,,,32520167,2.248062533,
12/31/2013,13-Dec,37.41,826164980,,,,,,,30875521,2.356628962,
1/31/2014,14-Jan,37.84,930464440,,,,,,,47173403,1.583300085,
2/28/2014,14-Feb,38.31,716740490,,,,,,,34155218,2.326369839,
3/31/2014,14-Mar,40.99,777252710,,,,,,,47044379,1.933329846,
4/30/2014,14-Apr,40.4,744715810,,,,,,,35616841,2.207280034,
5/31/2014,14-May,40.94,573220810,,,,,,,24274737,3.182500844,
6/30/2014,14-Jun,41.7,550675760,,,,,,,30587666,3.015069342,
7/31/2014,14-Jul,43.16,730747430,,,,,,,41699425,2.143953568,
8/31/2014,14-Aug,45.43,512242310,,,,,,,21272864,3.808147084,
9/30/2014,14-Sep,46.36,859822690,,,,,,,47486687,2.113092034,
10/31/2014,14-Oct,46.95,850785450,,,,,,,38039095,2.221228581,
11/30/2014,14-Nov,47.81,520066850,,,,,,,28558831,2.349519453,
12/31/2014,14-Dec,46.45,625788010,,,,,,,28725883,2.158719507,
1/31/2015,15-Jan,40.4,914964080,3336,217,-52,36978,1746,-692,61085439,0.898581412,
2/28/2015,15-Feb,43.85,649690680,32506,1924,-1059,32467,1018,-221,29832772,2.250397851,
3/31/2015,15-Mar,40.655,823090350,42929,795,-1792,36871,1443,-369,37832432,2.107636432,
4/30/2015,15-Apr,48.64,870751400,48329,3451,-1520,37577,1865,-418,51985297,1.682538026,
5/31/2015,15-May,46.86,629408870,38466,1613,-812,30766,1269,-287,26513285,2.578603481,
6/30/2015,15-Jun,44.15,663592650,51700,1079,-1308,35245,1600,-287,33987278,1.98067777,
7/31/2015,15-Jul,46.7,723654900,62830,2271,-13111,42640,2043,-648,36729643,1.539022337,
8/31/2015,15-Aug,43.52,773965590,59454,2261,-2132,30380,1172,-350,47197220,1.546769238,
9/30/2015,15-Sep,44.26,668549750,78696,2515,-2490,35676,1563,-441,31214514,2.288423328,
10/31/2015,15-Oct,52.64,854429450,114728,4453,-3212,39169,2498,-406,49392700,1.170179298,
11/30/2015,15-Nov,54.35,657151072,69473,1567,-2541,29296,1301,-225,29868261,1.59353874,
12/31/2015,15-Dec,55.48,791186242,66430,1871,-2539,28593,1230,-298,33210421,1.531667214,
1/31/2016,16-Jan,55.09,923756060,86981,4757,-4236,26660,245,-185,47907726,1.129807643,
2/29/2016,16-Feb,50.88,810642430,71606,2075,-1464,23944,50,-61,32030274,1.721806907,
3/31/2016,16-Mar,55.23,639846030,91812,1010,-870,30424,41,-55,27731407,1.761774547,
4/30/2016,16-Apr,49.87,697343370,90746,1692,-6288,30657,130,-425,45783043,0.933507543,
5/31/2016,16-May,53,529906640,85612,3098,-4893,28998,48,-75,25954211,1.657013615,
6/30/2016,16-Jun,51.17,822656670,167846,32915,-2172,36936,236,-312,44280247,1.027889682,
7/31/2016,16-Jul,56.68,643258940,88182,5739,-3741,27984,393,-155,39377741,1.163220968,
8/31/2016,16-Aug,57.46,464516610,68702,2259,-1024,27519,67,-37,18064823,2.462932684,
9/30/2016,16-Sep,57.6,525743490,76553,2451,-1253,26792,186,-49,25646524,1.857346204,
10/31/2016,16-Oct,59.92,613271080,91539,7086,-2573,29531,272,-138,36633162,1.385150673,
11/30/2016,16-Nov,60.26,609039566,75497,1642,-5324,27319,57,-103,23802462,2.159723981,
12/31/2016,16-Dec,62.14,512465880,61268,1965,-567,25259,57,-38,21674361,2.332070551,
1/31/2017,17-Jan,64.65,492999940,59410,4142,-1638,25545,1413,-390,27888924,1.462452442,
2/28/2017,17-Feb,63.98,440434110,53955,1527,-1297,25242,40,-123,20365948,1.947921648,
3/31/2017,17-Mar,65.86,486657240,65336,1045,-2149,30494,36,-88,21853172,1.900836043,
4/30/2017,17-Apr,68.46,432025560,69105,2908,-3637,25281,0,0,27442591,1.523949324,
5/31/2017,17-May,69.84,515294860,112864,2190,-11705,38049,0,0,23028535,1.750741417,
6/30/2017,17-Jun,68.93,627307240,75845,1330,-1587,38725,54,-203,26181763,1.615166099,
7/31/2017,17-Jul,72.7,462961460,99409,3814,-4617,33856,327,-132,27134827,1.689953689,
8/31/2017,17-Aug,74.77,441135360,66820,1663,-997,30667,64,-90,17228579,2.704629442,
9/30/2017,17-Sep,74.49,374389250,68593,1129,-1182,29383,65,-28,18398246,2.469529704,
10/31/2017,17-Oct,83.18,448437310,70561,2808,-2396,33272,245,-209,25175056,2.118477194,
