Actual Date,Ghetto Date,Price - Close - Monthly,Trading Volume - Monthly,Twitter Publication Count,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count,News Publication Count,News Positive Sentiment Count,News Negative Sentiment Count,SI,SI Ratio,IV Midpoint
6/30/2010,10-Jun,15.521,72689347,,,,,,,54093564,2.552576425,
7/31/2010,10-Jul,14.65,77147415,,,,,,,58883328,1.726015862,
8/31/2010,10-Aug,17.931,123197710,,,,,,,75777296,2.163076867,
9/30/2010,10-Sep,23.166,121751292,,,,,,,84460698,1.678173725,
10/31/2010,10-Oct,24.796,124048161,,,,,,,77113183,1.485611729,
11/30/2010,10-Nov,29.414,106931501,,,,,,,77904680,1.92974553,
12/31/2010,10-Dec,25.1,140628823,,,,,,,75729374,2.18940926,
1/31/2011,11-Jan,30.583,108133361,,,,,,,79055193,1.714197701,
2/28/2011,11-Feb,29.524,105187414,,,,,,,72012955,1.594074682,
3/31/2011,11-Mar,33.969,140983606,,,,,,,73435215,1.789997067,
4/30/2011,11-Apr,33.239,111550917,,,,,,,72893968,1.508227274,
5/31/2011,11-May,38.686,96706982,,,,,,,78836940,2.235013791,
6/30/2011,11-Jun,37.527,87604666,,,,,,,69570998,2.62445154,
7/31/2011,11-Jul,37.999,102096602,,,,,,,63001064,1.69953005,
8/31/2011,11-Aug,33.573,91463908,,,,,,,59819025,2.038397777,
9/30/2011,11-Sep,16.181,239586137,,,,,,,56710668,0.47984267,
10/31/2011,11-Oct,11.726,240223419,,,,,,,64996218,0.715841913,
11/30/2011,11-Nov,9.219,150153494,,,,,,,76114591,1.288023721,
12/31/2011,11-Dec,9.899,120207855,,,,,,,63962885,2.400221646,
1/31/2012,12-Jan,17.171,260646914,,,,,,,75883080,0.912932204,
2/29/2012,12-Feb,15.819,143066589,,,,,,,75740952,1.537869271,
3/31/2012,12-Mar,16.434,116299583,,,,,,,64415778,1.802153594,
4/30/2012,12-Apr,11.449,119504193,,,,,,,81476325,1.56566948,
5/31/2012,12-May,9.063,112642098,,,,,,,92724219,2.69707334,
6/30/2012,12-Jun,9.784,71310680,,,,,,,88921245,4.15033394,
7/31/2012,12-Jul,8.121,140850090,,,,,,,107981699,2.278336688,
8/31/2012,12-Aug,8.531,85828805,,,,,,,108141362,4.791114301,
9/30/2012,12-Sep,7.777,91258024,,,,,,,108973592,3.481401107,
10/31/2012,12-Oct,11.32,158825639,,,,,,,120447488,2.132365192,
11/30/2012,12-Nov,11.673,71105718,,,,,,,101519488,6.648737166,
12/31/2012,12-Dec,13.227,85382434,,,,,,,92137402,4.652121988,
1/31/2013,13-Jan,23.606,140729243,,,,,,,68008024,0.991506894,
2/28/2013,13-Feb,26.869,107817871,,,,,,,58937480,1.586928578,
3/31/2013,13-Mar,27.04,74300139,,,,,,,52447864,2.228370973,
4/30/2013,13-Apr,30.867,121624196,,,,,,,72597252,1.725330529,
5/31/2013,13-May,32.321,76628770,,,,,,,60035290,2.551901086,
6/30/2013,13-Jun,30.156,58921527,,,,,,,50446354,2.238111254,
7/31/2013,13-Jul,34.926,77146760,,,,,,,47782294,1.690316842,
8/31/2013,13-Aug,40.559,59493847,,,,,,,54670091,2.502331073,
9/30/2013,13-Sep,44.173,55226140,,,,,,,48697544,2.644840221,
10/31/2013,13-Oct,46.069,119344350,,,,,,,41176821,0.891208502,
11/30/2013,13-Nov,52.257,49072437,,,,,,,45900141,2.816757249,
12/31/2013,13-Dec,52.596,44739452,,,,,,,38950513,2.723480328,
1/31/2014,14-Jan,58.476,85763357,,,,,,,36558312,1.043885595,
2/28/2014,14-Feb,63.661,45346761,,,,,,,33733434,2.12221867,
3/31/2014,14-Mar,50.29,53814172,,,,,,,27364302,1.190667729,
4/30/2014,14-Apr,46.006,92410133,,,,,,,38081435,1.061137762,
5/31/2014,14-May,59.69,74786134,,,,,,,36722504,1.3643082,
6/30/2014,14-Jun,62.943,50350489,,,,,,,37385838,2.306319495,
7/31/2014,14-Jul,60.389,61230648,,,,,,,40369966,2.122050882,
8/31/2014,14-Aug,68.234,39146601,,,,,,,47022864,4.139097237,
9/30/2014,14-Sep,64.454,38291999,,,,,,,41637799,3.247528153,
10/31/2014,14-Oct,56.11,82856363,,,,,,,43562715,1.444890946,
11/30/2014,14-Nov,49.513,36625186,,,,,,,42016464,2.74608653,
12/31/2014,14-Dec,48.801,37989756,,,,,,,35621565,3.193642707,
1/31/2015,15-Jan,63.114,60459802,851,40,-26,10087,595,-150,42342139,1.480423455,
2/28/2015,15-Feb,67.844,29919487,27567,886,-814,7854,261,-235,35109158,3.687614098,
3/31/2015,15-Mar,59.527,46801117,17982,999,-888,8007,327,-186,34783567,2.190310601,
4/30/2015,15-Apr,79.5,72296864,34737,6412,-1364,11145,877,-167,42778967,1.625451361,
5/31/2015,15-May,89.151,39833667,18747,2008,-757,7025,351,-117,27690495,2.316278833,
6/30/2015,15-Jun,93.849,66734413,36733,3946,-2179,10522,546,-222,29294461,1.160661853,
7/31/2015,15-Jul,114.31,264425834,39041,6927,-2023,10454,710,-153,28407941,1.606726922,
8/31/2015,15-Aug,115.03,468279608,46541,3620,-3279,9468,535,-215,35961581,1.327219032,
9/30/2015,15-Sep,103.26,496044740,50416,2384,-4180,11870,324,-147,41464312,2.14762245,
10/31/2015,15-Oct,108.38,443018020,56936,4776,-6009,10693,553,-183,44538492,2.782812558,
11/30/2015,15-Nov,123.33,319409654,42536,1603,-2314,7493,271,-87,51480025,2.875187169,
12/31/2015,15-Dec,114.38,319472006,42436,2334,-1794,9903,316,-143,48050520,4.531284907,
1/31/2016,16-Jan,91.84,486632360,94247,8371,-6519,16956,453,-271,53134071,1.842661748,
2/29/2016,16-Feb,93.41,388861140,30012,1884,-1492,8349,51,-83,53821222,3.359391139,
3/31/2016,16-Mar,102.23,311057669,28955,1212,-1394,8595,54,-100,49701268,4.127919037,
4/30/2016,16-Apr,90.03,336714573,49790,3404,-5809,11439,244,-465,37704337,1.722599102,
5/31/2016,16-May,102.57,264767273,34738,1339,-1520,9318,68,-38,39018060,2.873827966,
6/30/2016,16-Jun,91.48,217903949,33519,1294,-1516,8321,86,-69,33979726,3.181453084,
7/31/2016,16-Jul,91.25,317513643,53973,3768,-7709,12301,246,-592,33963873,1.778622888,
8/31/2016,16-Aug,97.45,182322225,29961,1375,-1162,7773,81,-67,32723002,4.765376541,
9/30/2016,16-Sep,98.55,169594194,31250,893,-1096,9078,76,-115,32871418,3.618865465,
10/31/2016,16-Oct,124.87,272749899,57438,9094,-3628,12932,652,-194,30711194,1.901888773,
11/30/2016,16-Nov,117,147086573,24428,872,-856,7883,71,-73,26805298,4.527443213,
12/31/2016,16-Dec,123.8,128356700,37696,1088,-1139,9587,66,-55,23947413,5.006518166,
1/31/2017,17-Jan,140.71,181047182,39389,6270,-1603,11897,1368,-253,24009788,2.384029779,
2/28/2017,17-Feb,142.13,90668047,28835,1254,-566,8808,32,-52,24128348,6.385061162,
3/31/2017,17-Mar,147.81,110496123,30379,1843,-1379,10308,94,-91,25449362,5.262320756,
4/30/2017,17-Apr,152.2,148659553,40579,4504,-3071,14785,0,0,28615451,2.570374838,
5/31/2017,17-May,163.07,115826925,33122,1669,-1807,15846,0,0,27480853,5.377954554,
6/30/2017,17-Jun,149.41,135122660,37889,2339,-875,13054,73,-106,26009173,4.364533722,
7/31/2017,17-Jul,181.66,183577708,41201,6800,-1915,13774,635,-111,27853704,2.273586899,
8/31/2017,17-Aug,174.71,135989284,61708,2542,-3544,17328,121,-364,28425659,4.992079418,
9/30/2017,17-Sep,181.35,110566324,25255,1192,-1138,11826,69,-114,26579419,4.699009986,
10/31/2017,17-Oct,196.43,207965898,58065,10611,-3493,17518,710,-382,27004896,2.845910804,
11/30/2017,17-Nov,187.58,110606041,45412,1923,-3152,18487,71,-911,26279018,4.590075564,
12/31/2017,17-Dec,191.96,113269709,42311,1440,-1437,17085,73,-427,21904173,3.97928857,
1/31/2018,18-Jan,270.3,235714750,19513,2396,-1180,19417,782,-292,23547077,1.63856979,
2/28/2018,18-Feb,291.38,183386091,17037,1128,-1051,13760,138,-202,21074916,2.444003794,
3/31/2018,18-Mar,295.35,261990590,71320,3108,-3856,18216,171,-238,19625428,1.812598323,
4/30/2018,18-Apr,312.46,260562981,54021,4660,-3199,19373,757,-209,18941243,1.454943383,
5/31/2018,18-May,351.6,141177894,36321,1699,-1509,17851,176,-161,19691045,2.718407029,
6/30/2018,18-Jun,391.43,243173711,42352,2828,-2811,17243,239,-182,17027495,1.178329077,
7/31/2018,18-Jul,337.45,303721409,52291,3656,-5866,22477,370,-936,16848037,0.933675958,
8/31/2018,18-Aug,367.68,212267632,24981,1651,-1760,17654,112,-226,17214411,1.535205203,
9/30/2018,18-Sep,374.13,170054253,17065,1313,-953,14063,100,-142,16396960,1.774111371,
10/31/2018,18-Oct,301.78,361626212,36745,3174,-3369,23540,653,-472,16851244,0.850429223,
11/30/2018,18-Nov,286.13,255340303,18394,1048,-1167,17840,74,-242,17074625,1.413693698,
12/31/2018,18-Dec,267.66,233675500,16307,657,-1143,13857,72,-248,13853134,1.042810208,
1/31/2019,19-Jan,339.5,305113262,39437,3834,-3659,26836,762,-701,16203456,1.198107394,
2/28/2019,19-Feb,358.1,147856866,18280,1193,-1009,16740,100,-128,14918660,2.24430389,
3/31/2019,19-Mar,356.56,144047330,19802,1042,-1030,21766,123,-145,15305888,2.016073649,
4/30/2019,19-Apr,370.54,164166411,27684,2506,-2121,21541,455,-380,15994873,1.713662093,
5/31/2019,19-May,343.28,125088160,15166,930,-829,15470,86,-85,17911947,3.588003909,
