Date,Type,Ticker Symbol,Volume,Total OI
1/4/2010,,AMZN,59642,655745
1/4/2010,C,AMZN,36423,326895
1/4/2010,P,AMZN,23219,328850
1/5/2010,,AMZN,70298,661449
1/5/2010,C,AMZN,37958,328232
1/5/2010,P,AMZN,32340,333217
1/6/2010,,AMZN,82152,669270
1/6/2010,C,AMZN,44489,332226
1/6/2010,P,AMZN,37663,337044
1/7/2010,,AMZN,121089,684586
1/7/2010,C,AMZN,69878,336936
1/7/2010,P,AMZN,51211,347650
1/8/2010,,AMZN,86581,694697
1/8/2010,C,AMZN,58512,342411
1/8/2010,P,AMZN,28069,352286
1/11/2010,,AMZN,99478,706184
1/11/2010,C,AMZN,58061,352459
1/11/2010,P,AMZN,41417,353725
1/12/2010,,AMZN,81203,713137
1/12/2010,C,AMZN,42324,356600
1/12/2010,P,AMZN,38879,356537
1/13/2010,,AMZN,97847,716346
1/13/2010,C,AMZN,53718,360934
1/13/2010,P,AMZN,44129,355412
1/14/2010,,AMZN,76904,723199
1/14/2010,C,AMZN,44063,365454
1/14/2010,P,AMZN,32841,357745
1/15/2010,,AMZN,111925,728620
1/15/2010,C,AMZN,68113,368800
1/15/2010,P,AMZN,43812,359820
1/19/2010,,AMZN,82932,358891
1/19/2010,C,AMZN,45708,176634
1/19/2010,P,AMZN,37224,182257
1/20/2010,,AMZN,55929,383654
1/20/2010,C,AMZN,26340,189628
1/20/2010,P,AMZN,29589,194026
1/21/2010,,AMZN,51977,401038
1/21/2010,C,AMZN,26270,197034
1/21/2010,P,AMZN,25707,204004
1/22/2010,,AMZN,82196,408826
1/22/2010,C,AMZN,40558,200273
1/22/2010,P,AMZN,41638,208553
1/25/2010,,AMZN,97282,422648
1/25/2010,C,AMZN,51624,207043
1/25/2010,P,AMZN,45658,215605
1/26/2010,,AMZN,60504,438613
1/26/2010,C,AMZN,35081,213333
1/26/2010,P,AMZN,25423,225280
1/27/2010,,AMZN,115049,446652
1/27/2010,C,AMZN,55829,220284
1/27/2010,P,AMZN,59220,226368
1/28/2010,,AMZN,199031,467130
1/28/2010,C,AMZN,113370,226939
1/28/2010,P,AMZN,85661,240191
1/29/2010,,AMZN,236248,503931
1/29/2010,C,AMZN,100636,247184
1/29/2010,P,AMZN,135612,256747
2/1/2010,,AMZN,261249,493697
2/1/2010,C,AMZN,124527,238931
2/1/2010,P,AMZN,136722,254766
2/2/2010,,AMZN,154221,522314
2/2/2010,C,AMZN,69725,255239
2/2/2010,P,AMZN,84496,267075
2/3/2010,,AMZN,87609,528082
2/3/2010,C,AMZN,43820,256838
2/3/2010,P,AMZN,43789,271244
2/4/2010,,AMZN,105541,530883
2/4/2010,C,AMZN,49208,258419
2/4/2010,P,AMZN,56333,272464
2/5/2010,,AMZN,84908,539390
2/5/2010,C,AMZN,39660,262890
2/5/2010,P,AMZN,45248,276500
2/8/2010,,AMZN,67856,539232
2/8/2010,C,AMZN,39551,265096
2/8/2010,P,AMZN,28305,274136
2/9/2010,,AMZN,66752,542923
2/9/2010,C,AMZN,35109,267949
2/9/2010,P,AMZN,31643,274974
2/10/2010,,AMZN,80576,543669
2/10/2010,C,AMZN,37243,269413
2/10/2010,P,AMZN,43333,274256
2/11/2010,,AMZN,78936,548378
2/11/2010,C,AMZN,38881,273777
2/11/2010,P,AMZN,40055,274601
2/12/2010,,AMZN,71068,551021
2/12/2010,C,AMZN,30072,271037
2/12/2010,P,AMZN,40996,279984
2/16/2010,,AMZN,58263,550291
2/16/2010,C,AMZN,33083,272318
2/16/2010,P,AMZN,25180,277973
2/17/2010,,AMZN,75156,556315
2/17/2010,C,AMZN,32315,276484
2/17/2010,P,AMZN,42841,279831
2/18/2010,,AMZN,63810,562411
2/18/2010,C,AMZN,30157,280761
2/18/2010,P,AMZN,33653,281650
2/19/2010,,AMZN,45981,562503
2/19/2010,C,AMZN,23925,281793
2/19/2010,P,AMZN,22056,280710
2/22/2010,,AMZN,35678,389498
2/22/2010,C,AMZN,18759,178850
2/22/2010,P,AMZN,16919,210648
2/23/2010,,AMZN,44363,395863
2/23/2010,C,AMZN,23849,181447
2/23/2010,P,AMZN,20514,214416
2/24/2010,,AMZN,44730,403154
2/24/2010,C,AMZN,23319,185441
2/24/2010,P,AMZN,21411,217713
2/25/2010,,AMZN,53145,414402
2/25/2010,C,AMZN,27300,190960
2/25/2010,P,AMZN,25845,223442
2/26/2010,,AMZN,35621,413646
2/26/2010,C,AMZN,18939,190204
2/26/2010,P,AMZN,16682,223442
3/1/2010,,AMZN,95422,423249
3/1/2010,C,AMZN,55490,195914
3/1/2010,P,AMZN,39932,227335
3/2/2010,,AMZN,77786,435521
3/2/2010,C,AMZN,42515,203040
3/2/2010,P,AMZN,35271,232481
3/3/2010,,AMZN,49012,443247
3/3/2010,C,AMZN,24555,207454
3/3/2010,P,AMZN,24457,235793
3/4/2010,,AMZN,58533,446983
3/4/2010,C,AMZN,29141,206025
3/4/2010,P,AMZN,29392,240958
3/5/2010,,AMZN,68380,451848
3/5/2010,C,AMZN,38951,208516
3/5/2010,P,AMZN,29429,243332
3/8/2010,,AMZN,46363,457736
3/8/2010,C,AMZN,27210,209483
3/8/2010,P,AMZN,19153,248253
3/9/2010,,AMZN,54814,461150
3/9/2010,C,AMZN,31910,213819
3/9/2010,P,AMZN,22904,247331
3/10/2010,,AMZN,50295,464644
3/10/2010,C,AMZN,27896,215219
3/10/2010,P,AMZN,22399,249425
3/11/2010,,AMZN,70923,467158
3/11/2010,C,AMZN,39510,216491
3/11/2010,P,AMZN,31413,250667
3/12/2010,,AMZN,55109,469056
3/12/2010,C,AMZN,34006,217363
3/12/2010,P,AMZN,21103,251693
3/15/2010,,AMZN,49518,472202
3/15/2010,C,AMZN,25626,219227
3/15/2010,P,AMZN,23892,252975
3/16/2010,,AMZN,46794,477518
3/16/2010,C,AMZN,26970,221069
3/16/2010,P,AMZN,19824,256449
3/17/2010,,AMZN,32998,493480
