Actual Date,Ghetto Date,Price - Close - Monthly,Trading Volume - Monthly,Twitter Publication Count,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count,News Publication Count,News Positive Sentiment Count,News Negative Sentiment Count,SI,SI Ratio,IV Midpoint
1/1/2010,1/0/1900,7.526,0,,,,,,,0,0,
1/8/2010,1/0/1900,7.571,91643550,,,,,,,0,0,
1/15/2010,1/15/2010,7.355,95885890,,,,,,,395458224,0.72890499,
1/22/2010,1/0/1900,7.062,100803270,,,,,,,416532172,0.557757695,
1/29/2010,1/29/2010,6.859,250750120,,,,,,,437606120,0.3866104,
2/5/2010,1/0/1900,6.981,130879210,,,,,,,504108556,0.639658729,
2/12/2010,2/12/2010,7.156,95286720,,,,,,,570610992,0.892707058,
2/19/2010,1/0/1900,7.202,64775990,,,,,,,527413362,0.928459423,
2/26/2010,2/26/2010,7.308,92762350,,,,,,,484215732,0.964211788,
3/5/2010,1/0/1900,7.82,97983420,,,,,,,460446042,0.871432236,
3/12/2010,3/15/2010,8.093,98741940,,,,,,,436676352,0.778652684,
3/19/2010,1/0/1900,7.937,81701970,,,,,,,359761892,0.658959454,
3/26/2010,3/31/2010,8.246,101297500,,,,,,,282847432,0.539266224,
4/2/2010,1/0/1900,8.427,74317140,,,,,,,303023406,0.605614057,
4/9/2010,4/15/2010,8.635,95006770,,,,,,,323199380,0.671961889,
4/16/2010,1/0/1900,8.836,77376950,,,,,,,322794836,0.597590439,
4/23/2010,1/0/1900,9.672,137313300,,,,,,,322390292,0.523218989,
4/30/2010,4/30/2010,9.325,108664910,,,,,,,321985748,0.448847539,
5/7/2010,1/0/1900,8.424,178923490,,,,,,,321792562,0.39990927,
5/14/2010,5/14/2010,9.065,137152130,,,,,,,321599376,0.350971,
5/21/2010,1/0/1900,8.654,180943070,,,,,,,327965470,0.351916523,
5/28/2010,5/28/2010,9.174,147208900,,,,,,,334331564,0.352862045,
6/4/2010,1/0/1900,9.142,105919570,,,,,,,351451842,0.415155567,
6/11/2010,6/15/2010,9.054,144837130,,,,,,,368572120,0.477449089,
6/18/2010,1/0/1900,9.788,129384170,,,,,,,362427870,0.464481802,
6/25/2010,6/30/2010,9.525,125545770,,,,,,,356283620,0.451514515,
7/2/2010,1/0/1900,8.819,148925880,,,,,,,362946234,0.463134247,
7/9/2010,7/15/2010,9.272,87034590,,,,,,,369608848,0.474753979,
7/16/2010,1/0/1900,8.925,157831970,,,,,,,342490428,0.442550147,
7/23/2010,1/0/1900,9.284,158540430,,,,,,,315372008,0.410346314,
7/30/2010,7/30/2010,9.188,93139860,,,,,,,288253588,0.378142482,
8/6/2010,1/0/1900,9.289,71303680,,,,,,,285078528,0.507428022,
8/13/2010,8/13/2010,8.896,80713500,,,,,,,281903468,0.636713563,
8/20/2010,1/0/1900,8.916,67390110,,,,,,,299287688,0.662323646,
8/27/2010,8/31/2010,8.629,93636390,,,,,,,316671908,0.687933729,
9/3/2010,1/0/1900,9.242,86878390,,,,,,,330892884,0.709557026,
9/10/2010,9/15/2010,9.408,60451080,,,,,,,345113860,0.731180323,
9/17/2010,1/0/1900,9.835,89248360,,,,,,,337085308,0.604807104,
9/24/2010,9/30/2010,10.44,119307930,,,,,,,329056756,0.478433885,
10/1/2010,1/0/1900,10.09,110877320,,,,,,,327741894.7,0.507834561,
10/8/2010,1/0/1900,10.502,95255390,,,,,,,326427033.3,0.537235238,
10/15/2010,10/15/2010,11.241,105508410,,,,,,,325112172,0.566635914,
10/22/2010,1/0/1900,10.981,140470590,,,,,,,288616468,0.481211597,
10/29/2010,10/29/2010,10.749,76417720,,,,,,,252120764,0.39578728,
11/5/2010,1/0/1900,11.326,84195330,,,,,,,252871570,0.467656759,
11/12/2010,11/15/2010,11.001,78505110,,,,,,,253622376,0.539526238,
11/19/2010,1/0/1900,10.955,86201030,,,,,,,249558918,0.530961978,
11/26/2010,11/30/2010,11.277,55725581,,,,,,,245495460,0.522397717,
12/3/2010,1/0/1900,11.337,78811350,,,,,,,237064324,0.55067803,
12/10/2010,12/15/2010,11.449,61103302,,,,,,,228633188,0.578958343,
12/17/2010,1/0/1900,11.45,68286430,,,,,,,215681349.3,0.627555267,
12/24/2010,1/0/1900,11.557,40302279,,,,,,,202729510.7,0.676152191,
12/31/2010,12/31/2010,11.52,33521003,,,,,,,189777672,0.724749115,
1/7/2011,1/0/1900,12.004,57688080,,,,,,,188184948,0.624315229,
1/14/2011,1/14/2011,12.446,64134090,,,,,,,186592224,0.523881343,
1/21/2011,1/0/1900,11.669,160665430,,,,,,,233654778,0.444514966,
1/28/2011,1/31/2011,12.004,89238340,,,,,,,280717332,0.36514859,
2/4/2011,1/0/1900,12.375,63404897,,,,,,,293188070,0.530228793,
2/11/2011,2/15/2011,12.745,94257810,,,,,,,305658808,0.695308996,
2/18/2011,1/0/1900,12.52,86092320,,,,,,,294782754,0.581709677,
2/25/2011,2/28/2011,12.434,86339970,,,,,,,283906700,0.468110358,
3/4/2011,1/0/1900,12.857,86033830,,,,,,,301429996,0.535978567,
3/11/2011,3/15/2011,12.571,83253720,,,,,,,318953292,0.603846776,
3/18/2011,1/0/1900,11.81,132718200,,,,,,,322309190,0.622337647,
3/25/2011,3/31/2011,12.555,70046420,,,,,,,325665088,0.640828519,
4/1/2011,1/0/1900,12.306,60023030,,,,,,,324879949.3,0.682645313,
4/8/2011,1/0/1900,11.966,74761070,,,,,,,324094810.7,0.724462107,
4/15/2011,4/15/2011,11.695,68720250,,,,,,,323309672,0.766278901,
4/22/2011,1/0/1900,12.525,87373060,,,,,,,348543902,0.720640419,
4/29/2011,4/29/2011,12.505,76850691,,,,,,,373778132,0.675001937,
5/6/2011,1/0/1900,12.381,62865948,,,,,,,350223160,0.821511399,
5/13/2011,5/13/2011,12.161,52462844,,,,,,,326668188,0.968020861,
5/20/2011,1/0/1900,11.972,65500173,,,,,,,315542682,0.918877012,
5/27/2011,5/31/2011,12.05,50847077,,,,,,,304417176,0.869733163,
6/3/2011,1/0/1900,12.266,57857910,,,,,,,314028946,0.830132587,
6/10/2011,6/15/2011,11.639,72576329,,,,,,,323640716,0.790532011,
6/17/2011,1/0/1900,11.438,77906220,,,,,,,324287194,0.741894811,
6/24/2011,6/30/2011,11.655,89991490,,,,,,,324933672,0.693257611,
7/1/2011,1/0/1900,12.259,62416720,,,,,,,318035601.3,0.688518134,
7/8/2011,1/0/1900,12.847,60228460,,,,,,,311137530.7,0.683778657,
7/15/2011,7/15/2011,13.033,78358350,,,,,,,304239460,0.679039179,
7/22/2011,1/0/1900,14.046,119485980,,,,,,,316896384,0.592170362,
7/29/2011,7/29/2011,13.946,105223000,,,,,,,329553308,0.505301545,
8/5/2011,1/0/1900,13.344,144995060,,,,,,,340304944,0.46199077,
8/12/2011,8/15/2011,13.464,155966970,,,,,,,351056580,0.418679994,
8/19/2011,1/0/1900,12.715,107976940,,,,,,,387824850,0.547894613,
8/26/2011,8/31/2011,13.699,117384870,,,,,,,424593120,0.677109232,
9/2/2011,1/0/1900,13.359,75916010,,,,,,,412962060,0.768726533,
9/9/2011,9/15/2011,13.481,65644310,,,,,,,401331000,0.860343835,
9/16/2011,1/0/1900,14.304,91118370,,,,,,,376689581.3,0.728800368,
9/23/2011,1/0/1900,14.439,132583460,,,,,,,352048162.7,0.597256902,
9/30/2011,9/30/2011,13.619,109654390,,,,,,,327406744,0.465713435,
10/7/2011,1/0/1900,13.207,143991190,,,,,,,331860648,0.475320541,
10/14/2011,10/14/2011,15.071,95051890,,,,,,,336314552,0.484927647,
10/21/2011,1/0/1900,14.031,136035160,,,,,,,317725436,0.490693641,
10/28/2011,10/31/2011,14.462,78683570,,,,,,,299136320,0.496459635,
11/4/2011,1/0/1900,14.294,70918480,,,,,,,281729770,0.525141848,
11/11/2011,11/15/2011,13.736,93732286,,,,,,,264323220,0.553824062,
11/18/2011,1/0/1900,13.391,73683230,,,,,,,294836542,0.684366406,
11/25/2011,11/30/2011,12.985,54962943,,,,,,,325349864,0.81490875,
12/2/2011,1/0/1900,13.918,67463610,,,,,,,310876230,0.835117959,
12/9/2011,12/15/2011,14.058,57768530,,,,,,,296402596,0.855327167,
12/16/2011,1/0/1900,13.608,61451477,,,,,,,290585904,0.914114464,
12/23/2011,1/0/1900,14.405,46562901,,,,,,,284769212,0.972901762,
12/30/2011,12/30/2011,14.464,31715847,,,,,,,278952520,1.031689059,
1/6/2012,1/0/1900,15.086,41046358,,,,,,,300896988,1.088190126,
1/13/2012,1/13/2012,14.993,46589160,,,,,,,322841456,1.144691193,
1/20/2012,1/0/1900,15.011,42523183,,,,,,,309672384,0.931208352,
1/27/2012,1/31/2012,15.974,85564590,,,,,,,296503312,0.71772551,
2/3/2012,1/0/1900,16.417,54000656,,,,,,,294502614,0.629627191,
2/10/2012,2/15/2012,17.622,88695377,,,,,,,292501916,0.541528872,
2/17/2012,1/0/1900,17.933,141132000,,,,,,,283410610,0.482108266,
2/24/2012,2/29/2012,18.657,73773430,,,,,,,274319304,0.422687661,
3/2/2012,1/0/1900,19.471,114492690,,,,,,,275293046,0.392085332,
3/9/2012,3/15/2012,19.47,119457460,,,,,,,276266788,0.361483004,
3/16/2012,1/0/1900,20.913,160335240,,,,,,,274499194.7,0.37005362,
3/23/2012,1/0/1900,21.288,121664380,,,,,,,272731601.3,0.378624236,
3/30/2012,3/30/2012,21.413,113845550,,,,,,,270964008,0.387194852,
4/6/2012,1/0/1900,22.631,94312410,,,,,,,248790542,0.349433888,
4/13/2012,4/13/2012,21.615,130376370,,,,,,,226617076,0.311672924,
4/20/2012,1/0/1900,20.464,174535100,,,,,,,272572790,0.335722308,
4/27/2012,4/30/2012,21.536,137990780,,,,,,,318528504,0.359771693,
5/4/2012,1/0/1900,20.188,87892740,,,,,,,323436274,0.528081999,
5/11/2012,5/15/2012,20.24,77391790,,,,,,,328344044,0.696392305,
5/18/2012,1/0/1900,18.942,101160860,,,,,,,369309682,0.699597268,
5/25/2012,5/31/2012,20.082,97439430,,,,,,,410275320,0.702802232,
6/1/2012,1/0/1900,20.035,68579920,,,,,,,415264574.7,0.793677425,
6/8/2012,1/0/1900,20.726,73939550,,,,,,,420253829.3,0.884552618,
6/15/2012,6/15/2012,20.505,71384710,,,,,,,425243084,0.975427811,
6/22/2012,1/0/1900,20.789,63167430,,,,,,,386853208,0.999848899,
6/29/2012,6/29/2012,20.857,53075570,,,,,,,348463332,1.024269987,
7/6/2012,1/0/1900,21.639,55129525,,,,,,,352677150,0.932967891,
7/13/2012,7/13/2012,21.606,74890720,,,,,,,356890968,0.841665795,
7/20/2012,1/0/1900,21.582,59933870,,,,,,,338974006,0.769513535,
7/27/2012,7/31/2012,20.899,97253260,,,,,,,321057044,0.697361274,
8/3/2012,1/0/1900,21.989,67872740,,,,,,,346489430,0.959816,
8/10/2012,8/15/2012,22.204,44689459,,,,,,,371921816,1.222270726,
8/17/2012,1/0/1900,23.147,56123868,,,,,,,374800813.3,1.099545801,
8/24/2012,1/0/1900,23.687,101230640,,,,,,,377679810.7,0.976820875,
8/31/2012,8/31/2012,23.759,54829586,,,,,,,380558808,0.85409595,
9/7/2012,1/0/1900,24.301,50817420,,,,,,,393497090,0.830282737,
9/14/2012,9/14/2012,24.689,103434570,,,,,,,406435372,0.806469524,
9/21/2012,1/0/1900,25.003,71452270,,,,,,,414942906,0.818935219,
9/28/2012,9/28/2012,23.825,102072540,,,,,,,423450440,0.831400913,
10/5/2012,1/0/1900,23.307,91220490,,,,,,,437332182,0.811325621,
10/12/2012,10/15/2012,22.49,106732500,,,,,,,451213924,0.791250328,
10/19/2012,1/0/1900,21.78,92428010,,,,,,,461867126,0.762534461,
10/26/2012,10/31/2012,21.571,123685770,,,,,,,472520328,0.733818594,
11/2/2012,1/0/1900,20.6,52481600,,,,,,,539264320,0.842713225,
11/9/2012,11/15/2012,19.538,131388510,,,,,,,606008312,0.951607855,
11/16/2012,1/0/1900,18.846,127768840,,,,,,,596431154.7,0.957386258,
11/23/2012,1/0/1900,20.411,75345227,,,,,,,586853997.3,0.963164661,
11/30/2012,11/30/2012,20.903,92352540,,,,,,,577276840,0.968943063,
12/7/2012,1/0/1900,19.045,140013710,,,,,,,556509772,0.845135965,
12/14/2012,12/14/2012,18.207,119287980,,,,,,,535742704,0.721328867,
12/21/2012,1/0/1900,18.548,103735730,,,,,,,517956306,0.851412689,
12/28/2012,12/31/2012,18.2,45872091,,,,,,,500169908,0.981496512,
1/4/2013,1/0/1900,18.821,77264960,,,,,,,497943642,0.929799768,
1/11/2013,1/15/2013,18.582,82084870,,,,,,,495717376,0.878103024,
1/18/2013,1/0/1900,17.857,114729340,,,,,,,511854728,0.803231522,
1/25/2013,1/31/2013,15.71,138844610,,,,,,,527992080,0.728360021,
2/1/2013,1/0/1900,16.201,93792770,,,,,,,527261588,0.801389559,
2/8/2013,1/0/1900,16.964,106254110,,,,,,,526531096,0.874419096,
2/15/2013,2/15/2013,16.434,83613170,,,,,,,525800604,0.947448634,
2/22/2013,2/28/2013,16.1,60252410,,,,,,,544113976,1.201413184,
3/1/2013,1/0/1900,15.374,83248720,,,,,,,554056281.3,1.175355377,
3/8/2013,1/0/1900,15.419,90408050,,,,,,,563998586.7,1.149297571,
3/15/2013,3/15/2013,15.845,81723830,,,,,,,573940892,1.123239764,
3/22/2013,3/28/2013,16.497,78879410,,,,,,,560170268,1.276193305,
3/29/2013,1/0/1900,15.809,55823200,,,,,,,560811748,1.353216692,
4/5/2013,1/0/1900,15.114,72181940,,,,,,,561453228,1.430240078,
4/12/2013,4/15/2013,15.35,55331919,,,,,,,562094708,1.507263464,
4/19/2013,1/0/1900,13.948,101420770,,,,,,,863300214,1.620704672,
4/26/2013,4/30/2013,14.9,112429610,,,,,,,1164505720,1.73414588,
5/3/2013,1/0/1900,16.071,93574260,,,,,,,945817250,1.64153836,
5/10/2013,5/15/2013,16.177,77926910,,,,,,,727128780,1.54893084,
5/17/2013,1/0/1900,15.474,90529480,,,,,,,709390808,1.563196337,
5/24/2013,1/0/1900,15.898,70625560,,,,,,,691652836,1.577461834,
5/31/2013,5/31/2013,16.062,51843960,,,,,,,673914864,1.591727331,
6/7/2013,1/0/1900,15.779,63321380,,,,,,,664318942,1.733214141,
6/14/2013,6/14/2013,15.359,55668568,,,,,,,654723020,1.874700952,
6/21/2013,1/0/1900,14.768,57197814,,,,,,,715601278,1.953852973,
6/28/2013,6/28/2013,14.162,74187810,,,,,,,776479536,2.033004995,
7/5/2013,1/0/1900,14.908,49125534,,,,,,,752829448,2.130264161,
7/12/2013,7/15/2013,15.233,54872409,,,,,,,729179360,2.227523327,
7/19/2013,1/0/1900,15.177,40862204,,,,,,,659005914,2.113309793,
7/26/2013,7/31/2013,15.75,56545244,,,,,,,588832468,1.99909626,
8/2/2013,1/0/1900,16.519,48524108,,,,,,,580517966,1.678686525,
8/9/2013,8/15/2013,16.23,52640953,,,,,,,572203464,1.358276791,
8/16/2013,1/0/1900,17.94,101651910,,,,,,,545486741.3,1.385443289,
8/23/2013,1/0/1900,17.894,59588505,,,,,,,518770018.7,1.412609788,
8/30/2013,8/30/2013,17.401,56115110,,,,,,,492053296,1.439776286,
9/6/2013,1/0/1900,17.794,45320612,,,,,,,496212150,1.26552554,
9/13/2013,9/13/2013,16.604,95625160,,,,,,,500371004,1.091274793,
9/20/2013,1/0/1900,16.693,89306070,,,,,,,495093956,1.098486557,
9/27/2013,9/30/2013,17.241,67896342,,,,,,,489816908,1.105698321,
10/4/2013,1/0/1900,17.251,52599828,,,,,,,500827880,1.361743719,
10/11/2013,10/15/2013,17.6,51633936,,,,,,,511838852,1.617789118,
10/18/2013,1/0/1900,18.175,48956325,,,,,,,504921690,1.434508702,
10/25/2013,10/31/2013,18.784,70065550,,,,,,,498004528,1.251228285,
11/1/2013,1/0/1900,18.573,72590003,,,,,,,512960224,1.51915395,
11/8/2013,1/0/1900,18.591,45447446,,,,,,,527915920,1.787079615,
11/15/2013,11/15/2013,18.75,43815847,,,,,,,542871616,2.055005279,
11/22/2013,1/0/1900,18.564,40396956,,,,,,,509972064,1.865841446,
11/29/2013,11/29/2013,19.86,46772172,,,,,,,477072512,1.676677612,
12/6/2013,1/0/1900,20.001,74579360,,,,,,,462994868,1.438981439,
12/13/2013,12/13/2013,19.801,55324426,,,,,,,448917224,1.201285267,
12/20/2013,1/0/1900,19.608,65368673,,,,,,,422671312,1.242929726,
12/27/2013,12/31/2013,20.003,39179060,,,,,,,396425400,1.284574186,
1/3/2014,1/0/1900,19.321,39390693,,,,,,,411449626,1.283876432,
1/10/2014,1/15/2014,19.034,56208851,,,,,,,426473852,1.283178678,
1/17/2014,1/0/1900,19.31,62793904,,,,,,,438678688,1.158497263,
1/24/2014,1/0/1900,19.503,55083630,,,,,,,450883524,1.033815849,
1/31/2014,1/31/2014,17.879,116243190,,,,,,,463088360,0.909134435,
2/7/2014,1/0/1900,18.56,62063920,,,,,,,601192704,1.582387305,
2/14/2014,2/14/2014,19.428,54144538,,,,,,,739297048,2.255640176,
2/21/2014,1/0/1900,18.759,41372765,,,,,,,691374082,2.227073756,
2/28/2014,2/28/2014,18.794,52509934,,,,,,,643451116,2.198507337,
3/7/2014,1/0/1900,18.944,39424651,,,,,,,610421994,2.371313835,
3/14/2014,3/14/2014,18.739,41104206,,,,,,,577392872,2.544120332,
3/21/2014,1/0/1900,19.031,43361567,,,,,,,598930514,2.510255292,
3/28/2014,3/31/2014,19.174,48341017,,,,,,,620468156,2.476390253,
4/4/2014,1/0/1900,18.994,35107055,,,,,,,588190330,2.440074328,
4/11/2014,4/15/2014,18.558,44572578,,,,,,,555912504,2.403758403,
