Actual Date,Ghetto Date,Price - Close - Monthly,Trading Volume - Monthly,Twitter Publication Count,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count,News Publication Count,News Positive Sentiment Count,News Negative Sentiment Count,SI,SI Ratio,IV Midpoint
1/1/2010,1/0/1900,6.726,0,,,,,,,0,0,
1/8/2010,1/0/1900,6.676,44461792,,,,,,,0,0,
1/15/2010,1/15/2010,6.357,53653303,,,,,,,219914820,1.086969815,
1/22/2010,1/0/1900,6.071,39456557,,,,,,,204179070,0.853495004,
1/29/2010,1/29/2010,6.271,92378136,,,,,,,188443320,0.620020193,
2/5/2010,1/0/1900,5.87,96897080,,,,,,,209699350,0.732179238,
2/12/2010,2/12/2010,5.983,41595280,,,,,,,230955380,0.844338283,
2/19/2010,1/0/1900,5.876,34722615,,,,,,,219543900,1.063883632,
2/26/2010,2/26/2010,5.92,36499393,,,,,,,208132420,1.28342898,
3/5/2010,1/0/1900,6.445,46075571,,,,,,,222248600,1.400464723,
3/12/2010,3/15/2010,6.591,30678340,,,,,,,236364780,1.517500466,
3/19/2010,1/0/1900,6.517,28744238,,,,,,,230382790,1.627640031,
3/26/2010,3/31/2010,6.753,37032070,,,,,,,224400800,1.737779596,
4/2/2010,1/0/1900,6.59,24186407,,,,,,,220436120,1.587922313,
4/9/2010,4/15/2010,7.003,38359192,,,,,,,216471440,1.43806503,
4/16/2010,1/0/1900,7.109,34327552,,,,,,,224350653.3,1.384117144,
4/23/2010,1/0/1900,7.181,51302827,,,,,,,232229866.7,1.330169257,
4/30/2010,4/30/2010,6.855,39578751,,,,,,,240109080,1.276221371,
5/7/2010,1/0/1900,6.249,49875037,,,,,,,234657440,1.329078922,
5/14/2010,5/14/2010,6.427,29936101,,,,,,,229205800,1.381936473,
5/21/2010,1/0/1900,6.136,33877059,,,,,,,215395730,1.484837101,
5/28/2010,5/28/2010,6.273,27267688,,,,,,,201585660,1.587737729,
6/4/2010,1/0/1900,6.139,19136973,,,,,,,215879870,1.753579975,
6/11/2010,6/15/2010,6.152,35678575,,,,,,,230174080,1.919422221,
6/18/2010,1/0/1900,6.292,19721426,,,,,,,224061280,1.780262329,
6/25/2010,6/30/2010,6.05,30395057,,,,,,,217948480,1.641102437,
7/2/2010,1/0/1900,5.457,41173420,,,,,,,229480400,1.83305062,
7/9/2010,7/15/2010,5.863,20983688,,,,,,,241012320,2.024998803,
7/16/2010,1/0/1900,5.924,29364018,,,,,,,256053806.7,1.781119118,
7/23/2010,1/0/1900,5.944,73033825,,,,,,,271095293.3,1.537239433,
7/30/2010,7/30/2010,5.894,37580785,,,,,,,286136780,1.293359747,
8/6/2010,1/0/1900,6.416,30011338,,,,,,,290779270,1.942464594,
8/13/2010,8/13/2010,6.234,24644012,,,,,,,295421760,2.59156944,
8/20/2010,1/0/1900,6.388,26702213,,,,,,,291496040,2.706498421,
