Actual Date,Ghetto Date,Price - Close - Monthly,Trading Volume - Monthly,Twitter Publication Count,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count,News Publication Count,News Positive Sentiment Count,News Negative Sentiment Count,SI,SI Ratio,IV Midpoint
1/1/2010,1/0/1900,15.515,0,,,,,,,0,0,
1/8/2010,1/0/1900,15.065,20069507,,,,,,,0,0,
1/15/2010,1/15/2010,14.514,28179849,,,,,,,91802020,0.884412694,
1/22/2010,1/0/1900,13.764,20559405,,,,,,,93395200,0.924683675,
1/29/2010,1/29/2010,13.261,20102185,,,,,,,94988380,0.964954655,
2/5/2010,1/0/1900,13.295,15868083,,,,,,,108168450,1.475508106,
2/12/2010,2/12/2010,13.341,12691220,,,,,,,121348520,1.986061557,
2/19/2010,1/0/1900,13.532,10560210,,,,,,,119606240,2.046082578,
2/26/2010,2/26/2010,13.183,12697114,,,,,,,117863960,2.1061036,
3/5/2010,1/0/1900,14.119,16764243,,,,,,,104954370,1.651260257,
3/12/2010,3/15/2010,14.503,18193046,,,,,,,92044780,1.196416915,
3/19/2010,1/0/1900,14.014,17944194,,,,,,,79478160,1.026879956,
3/26/2010,3/31/2010,14.081,22663203,,,,,,,66911540,0.857342997,
4/2/2010,1/0/1900,14.234,10211631,,,,,,,66814600,0.964924674,
4/9/2010,4/15/2010,14.169,10527040,,,,,,,66717660,1.072506351,
4/16/2010,1/0/1900,13.767,28406508,,,,,,,66358693.33,1.165302501,
4/23/2010,1/0/1900,13.638,14614572,,,,,,,66358693.33,1.165302501,
4/30/2010,4/30/2010,13.155,17083142,,,,,,,67794560,0.794117902,
5/7/2010,1/0/1900,12.34,22564452,,,,,,,75895120,0.870101036,
5/14/2010,5/14/2010,12.701,18723171,,,,,,,83995680,0.94608417,
5/21/2010,1/0/1900,11.813,23652484,,,,,,,89897480,1.027835466,
5/28/2010,5/28/2010,12.153,16523503,,,,,,,95799280,1.109586763,
6/4/2010,1/0/1900,12.48,12733945,,,,,,,99471970,1.344229256,
6/11/2010,6/15/2010,12.224,13381629,,,,,,,103144660,1.57887175,
6/18/2010,1/0/1900,12.513,13423803,,,,,,,93132670,1.559833353,
6/25/2010,6/30/2010,11.828,11326369,,,,,,,83120680,1.540794956,
7/2/2010,1/0/1900,10.924,14296457,,,,,,,83780310,1.35174342,
7/9/2010,7/15/2010,11.699,12668271,,,,,,,84439940,1.162691884,
7/16/2010,1/0/1900,11.501,23025117,,,,,,,82201093.33,1.119058384,
7/23/2010,1/0/1900,12.263,16270038,,,,,,,82201093.33,1.119058384,
7/30/2010,7/30/2010,12.133,11705763,,,,,,,91156480,1.293592383,
8/6/2010,1/0/1900,12.518,13194501,,,,,,,87161710,1.461092738,
8/13/2010,8/13/2010,12.171,10292842,,,,,,,83166940,1.628593092,
8/20/2010,1/0/1900,11.562,13677220,,,,,,,81132810,1.557429451,
8/27/2010,8/31/2010,11.482,12399617,,,,,,,79098680,1.48626581,
9/3/2010,1/0/1900,11.769,10621871,,,,,,,81609940,1.597382462,
9/10/2010,9/15/2010,11.915,8514692,,,,,,,84121200,1.708499113,
9/17/2010,1/0/1900,12.266,14466907,,,,,,,96239310,1.607913846,
9/24/2010,9/30/2010,13.195,17068871,,,,,,,108357420,1.507328579,
10/1/2010,1/0/1900,13.153,14381893,,,,,,,108090220,1.61078485,
10/8/2010,1/0/1900,13.422,13449347,,,,,,,108090220,1.61078485,
10/15/2010,10/15/2010,15.051,30783799,,,,,,,109159020,1.196959765,
10/22/2010,1/0/1900,15.328,20364822,,,,,,,103976700,1.302265467,
10/29/2010,10/29/2010,15.357,12368204,,,,,,,98794380,1.407571169,
11/5/2010,1/0/1900,15.642,13790309,,,,,,,95699660,1.49202624,
