Actual Date,Ghetto Date,Price - Close - Monthly,Trading Volume - Monthly,Twitter Publication Count,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count,News Publication Count,News Positive Sentiment Count,News Negative Sentiment Count,SI,SI Ratio,IV Midpoint
1/1/2010,1/0/1900,,,,,,,,,,,
1/8/2010,1/0/1900,,,,,,,,,,,
1/15/2010,1/15/2010,,,,,,,,,,,
1/22/2010,1/0/1900,,,,,,,,,,,
1/29/2010,1/29/2010,,,,,,,,,,,
2/5/2010,1/0/1900,,,,,,,,,,,
2/12/2010,2/12/2010,,,,,,,,,,,
2/19/2010,1/0/1900,,,,,,,,,,,
2/26/2010,2/26/2010,,,,,,,,,,,
3/5/2010,1/0/1900,,,,,,,,,,,
3/12/2010,3/15/2010,,,,,,,,,,,
3/19/2010,1/0/1900,,,,,,,,,,,
3/26/2010,3/31/2010,,,,,,,,,,,
4/2/2010,1/0/1900,,,,,,,,,,,
4/9/2010,4/15/2010,,,,,,,,,,,
4/16/2010,1/0/1900,,,,,,,,,,,
4/23/2010,1/0/1900,,,,,,,,,,,
4/30/2010,4/30/2010,,,,,,,,,,,
5/7/2010,1/0/1900,,,,,,,,,,,
5/14/2010,5/14/2010,,,,,,,,,,,
5/21/2010,1/0/1900,,,,,,,,,,,
5/28/2010,5/28/2010,,,,,,,,,,,
6/4/2010,1/0/1900,,,,,,,,,,,
6/11/2010,6/15/2010,,,,,,,,,,,
6/18/2010,1/0/1900,,,,,,,,,,,
6/25/2010,6/30/2010,,,,,,,,,,,
7/2/2010,1/0/1900,,,,,,,,,,,
7/9/2010,7/15/2010,,,,,,,,,,,
7/16/2010,1/0/1900,,,,,,,,,,,
7/23/2010,1/0/1900,,,,,,,,,,,
7/30/2010,7/30/2010,,,,,,,,,,,
8/6/2010,1/0/1900,,,,,,,,,,,
8/13/2010,8/13/2010,,,,,,,,,,,
8/20/2010,1/0/1900,,,,,,,,,,,
8/27/2010,8/31/2010,,,,,,,,,,,
9/3/2010,1/0/1900,,,,,,,,,,,
9/10/2010,9/15/2010,,,,,,,,,,,
9/17/2010,1/0/1900,,,,,,,,,,,
9/24/2010,9/30/2010,,,,,,,,,,,
10/1/2010,1/0/1900,,,,,,,,,,,
10/8/2010,1/0/1900,,,,,,,,,,,
10/15/2010,10/15/2010,,,,,,,,,,,
10/22/2010,1/0/1900,,,,,,,,,,,
10/29/2010,10/29/2010,,,,,,,,,,,
11/5/2010,1/0/1900,,,,,,,,,,,
11/12/2010,11/15/2010,,,,,,,,,,,
11/19/2010,1/0/1900,,,,,,,,,,,
