Actual Date,Ghetto Date,Price - Close - Monthly,Trading Volume - Monthly,Twitter Publication Count,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count,News Publication Count,News Positive Sentiment Count,News Negative Sentiment Count,SI,SI Ratio,IV Midpoint
1/1/2010,1/0/1900,30.48,0,,,,,,,0,0,
1/8/2010,1/0/1900,30.66,248072000,,,,,,,0,0,
1/15/2010,1/15/2010,30.86,329253880,,,,,,,54841423,0.946668213,
1/22/2010,1/0/1900,28.96,276355140,,,,,,,53234770,0.76938717,
1/29/2010,1/29/2010,28.18,504300040,,,,,,,51628117,0.592106127,
2/5/2010,1/0/1900,28.02,359789330,,,,,,,53773223.5,0.721150737,
2/12/2010,2/12/2010,27.93,303416240,,,,,,,55918330,0.850195348,
2/19/2010,1/0/1900,28.77,184953710,,,,,,,54473523.5,1.01042297,
2/26/2010,2/26/2010,28.67,221176940,,,,,,,53028717,1.170650592,
3/5/2010,1/0/1900,28.5875,284177760,,,,,,,52958632.5,1.138079105,
3/12/2010,3/15/2010,29.27,200911110,,,,,,,52888548,1.105507619,
3/19/2010,1/0/1900,29.59,249724880,,,,,,,52197124,1.074864494,
3/26/2010,3/31/2010,29.66,242379920,,,,,,,51505700,1.044221368,
4/2/2010,1/0/1900,29.16,206792920,,,,,,,52873302.5,1.030158309,
4/9/2010,4/15/2010,30.34,257936680,,,,,,,54240905,1.01609525,
4/16/2010,1/0/1900,30.67,288753310,,,,,,,59618822,1.004006058,
4/23/2010,1/0/1900,30.96,380813110,,,,,,,64996739,0.991916867,
4/30/2010,4/30/2010,30.535,312570080,,,,,,,70374656,0.979827676,
5/7/2010,1/0/1900,28.21,494889540,,,,,,,68189596,0.900488852,
5/14/2010,5/14/2010,28.93,306093950,,,,,,,66004536,0.821150027,
5/21/2010,1/0/1900,26.84,365927840,,,,,,,61489479.5,0.719490875,
5/28/2010,5/28/2010,25.8,552001060,,,,,,,56974423,0.617831723,
6/4/2010,1/0/1900,25.79,298686580,,,,,,,68872812.5,0.839797923,
6/11/2010,6/15/2010,25.66,400780880,,,,,,,80771202,1.061764123,
6/18/2010,1/0/1900,26.44,281212600,,,,,,,84031748.5,1.100733546,
6/25/2010,6/30/2010,24.5325,407759370,,,,,,,87292295,1.139702968,
7/2/2010,1/0/1900,23.27,428995900,,,,,,,90284302,1.280039926,
7/9/2010,7/15/2010,24.27,260018670,,,,,,,93276309,1.420376883,
7/16/2010,1/0/1900,24.89,306125030,,,,,,,90578883.67,1.359780263,
7/23/2010,1/0/1900,25.81,337089280,,,,,,,87881458.33,1.299183642,
