Actual Date,Ghetto Date,Price - Close - Monthly,Trading Volume - Monthly,Twitter Publication Count,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count,News Publication Count,News Positive Sentiment Count,News Negative Sentiment Count,SI,SI Ratio,IV Midpoint
1/1/2010,1/0/1900,7.87,0,,,,,,,0,0,
1/8/2010,1/0/1900,7.614,11772258,,,,,,,0,0,
1/15/2010,1/15/2010,7.279,8321005,,,,,,,80083948,5.517468147,
1/22/2010,1/0/1900,7.27,4713422,,,,,,,75756068.5,4.455665204,
1/29/2010,1/29/2010,8.893,21355500,,,,,,,71428189,3.393862261,
2/5/2010,1/0/1900,8.691,8565511,,,,,,,71492743,5.203274638,
2/12/2010,2/12/2010,9.026,5653515,,,,,,,71557297,7.012687014,
2/19/2010,1/0/1900,9.521,5096070,,,,,,,75960279.5,6.559878202,
2/26/2010,2/26/2010,9.436,11374964,,,,,,,80363262,6.107069391,
3/5/2010,1/0/1900,9.664,9006839,,,,,,,79255435,6.643051864,
3/12/2010,3/15/2010,9.997,6544917,,,,,,,78147608,7.179034337,
3/19/2010,1/0/1900,10.064,4771318,,,,,,,75366658.5,9.172524762,
3/26/2010,3/31/2010,10.614,4195782,,,,,,,72585709,11.16601519,
4/2/2010,1/0/1900,10.714,4650466,,,,,,,73800482,7.780571635,
4/9/2010,4/15/2010,11.774,13537515,,,,,,,75015255,4.395128083,
4/16/2010,1/0/1900,12.187,9673743,,,,,,,73794942.67,3.733334642,
4/23/2010,1/0/1900,14.247,24302411,,,,,,,72574630.33,3.071541201,
4/30/2010,4/30/2010,14.129,19315901,,,,,,,71354318,2.40974776,
5/7/2010,1/0/1900,13.013,13491506,,,,,,,68752439,2.394329826,
5/14/2010,5/14/2010,14.366,25056808,,,,,,,66150560,2.378911892,
5/21/2010,1/0/1900,14.21,20126304,,,,,,,64906051,2.358665659,
5/28/2010,5/28/2010,15.879,17555498,,,,,,,63661542,2.338419425,
6/4/2010,1/0/1900,15.683,10599252,,,,,,,66365663,2.465152579,
6/11/2010,6/15/2010,17.241,20469626,,,,,,,69069784,2.591885732,
6/18/2010,1/0/1900,18.06,19021200,,,,,,,61581674,2.572231079,
6/25/2010,6/30/2010,16.854,14316825,,,,,,,54093564,2.552576425,
7/2/2010,1/0/1900,15.297,13134134,,,,,,,56603018.5,2.886628814,
7/9/2010,7/15/2010,16.791,11890745,,,,,,,59112473,3.220681204,
7/16/2010,1/0/1900,16.913,10619712,,,,,,,59036091.33,2.722459423,
7/23/2010,1/0/1900,15.386,27487087,,,,,,,58959709.67,2.224237643,
7/30/2010,7/30/2010,14.65,22298181,,,,,,,58883328,1.726015862,
8/6/2010,1/0/1900,16.903,21661120,,,,,,,65843330,1.641816734,
8/13/2010,8/13/2010,18.894,43264220,,,,,,,72803332,1.557617607,
8/20/2010,1/0/1900,18.566,33184926,,,,,,,74290314,1.860347237,
8/27/2010,8/31/2010,18.014,19002871,,,,,,,75777296,2.163076867,
9/3/2010,1/0/1900,19.783,24614724,,,,,,,82209816.5,2.440807039,
9/10/2010,9/15/2010,20.88,16828375,,,,,,,88642337,2.718537212,
9/17/2010,1/0/1900,20.066,17089694,,,,,,,86551517.5,2.198355468,
9/24/2010,9/30/2010,23.173,39823421,,,,,,,84460698,1.678173725,
10/1/2010,1/0/1900,22.094,37895664,,,,,,,83607351.33,1.90267986,
10/8/2010,1/0/1900,21.377,27006824,,,,,,,82754004.67,2.127185995,
10/15/2010,10/15/2010,22.246,17546968,,,,,,,81900658,2.351692129,
10/22/2010,1/0/1900,24.014,37969647,,,,,,,79506920.5,1.918651929,
10/29/2010,10/29/2010,24.796,33108709,,,,,,,77113183,1.485611729,
11/5/2010,1/0/1900,24.014,23253213,,,,,,,75233245.5,1.821249635,
11/12/2010,11/15/2010,24.714,23714570,,,,,,,73353308,2.156887541,
11/19/2010,1/0/1900,24.72,16925341,,,,,,,75628994,2.043316536,
11/26/2010,11/30/2010,27.313,24126701,,,,,,,77904680,1.92974553,
12/3/2010,1/0/1900,26.493,47086260,,,,,,,74743396,1.57503949,
12/10/2010,12/15/2010,27.804,37408050,,,,,,,71582112,1.220333449,
12/17/2010,1/0/1900,25.717,41853556,,,,,,,72964532.67,1.543358719,
12/24/2010,1/0/1900,26.369,17616918,,,,,,,74346953.33,1.86638399,
12/31/2010,12/31/2010,25.1,15575715,,,,,,,75729374,2.18940926,
1/7/2011,1/0/1900,25.614,24275229,,,,,,,77155032.5,2.2942879,
1/14/2011,1/14/2011,27.354,20950006,,,,,,,78580691,2.39916654,
1/21/2011,1/0/1900,26.013,14763485,,,,,,,78817942,2.05668212,
1/28/2011,1/31/2011,31.14,42298284,,,,,,,79055193,1.714197701,
2/4/2011,1/0/1900,31.439,24056684,,,,,,,83062791,2.013900217,
2/11/2011,2/15/2011,33.01,19954069,,,,,,,87070389,2.313602733,
2/18/2011,1/0/1900,33.644,34766840,,,,,,,79541672,1.953838707,
2/25/2011,2/28/2011,30.349,26467373,,,,,,,72012955,1.594074682,
3/4/2011,1/0/1900,30.103,27516169,,,,,,,77633384.5,1.631541054,
3/11/2011,3/15/2011,29.22,37258825,,,,,,,83253814,1.669007427,
3/18/2011,1/0/1900,29.914,33275038,,,,,,,78344514.5,1.729502247,
3/25/2011,3/31/2011,32.859,30172559,,,,,,,73435215,1.789997067,
4/1/2011,1/0/1900,34.584,23942343,,,,,,,73086465.67,1.878000833,
4/8/2011,1/0/1900,33.551,24432690,,,,,,,72737716.33,1.966004599,
4/15/2011,4/15/2011,33.641,22864588,,,,,,,72388967,2.054008366,
4/22/2011,1/0/1900,36.031,17748429,,,,,,,72641467.5,1.78111782,
