Date,AAPL,apple stock
1/1/2014,10,6
1/2/2014,28,10
1/3/2014,29,10
1/4/2014,11,5
1/5/2014,7,6
1/6/2014,31,10
1/7/2014,29,11
1/8/2014,26,9
1/9/2014,27,9
1/10/2014,27,11
1/11/2014,8,5
1/12/2014,6,5
1/13/2014,24,9
1/14/2014,28,9
1/15/2014,35,11
1/16/2014,32,10
1/17/2014,33,11
1/18/2014,11,5
1/19/2014,6,5
1/20/2014,17,6
1/21/2014,32,9
1/22/2014,29,10
1/23/2014,33,11
1/24/2014,34,11
1/25/2014,10,6
1/26/2014,7,5
1/27/2014,65,15
1/28/2014,100,29
1/29/2014,59,21
1/30/2014,41,14
1/31/2014,39,15
2/1/2014,12,7
2/2/2014,8,5
2/3/2014,33,11
2/4/2014,35,11
2/5/2014,30,11
2/6/2014,30,8
2/7/2014,42,13
2/8/2014,13,6
2/9/2014,9,5
2/10/2014,34,11
2/11/2014,34,12
2/12/2014,32,11
2/13/2014,33,10
2/14/2014,30,11
2/15/2014,10,5
2/16/2014,6,4
2/17/2014,16,7
2/18/2014,28,11
2/19/2014,30,11
2/20/2014,29,13
2/21/2014,25,10
2/22/2014,10,4
2/23/2014,6,4
2/24/2014,27,8
2/25/2014,25,10
2/26/2014,28,11
2/27/2014,31,11
2/28/2014,29,10
3/1/2014,10,6
3/2/2014,7,4
3/3/2014,28,8
3/4/2014,28,11
3/5/2014,25,10
3/6/2014,22,10
3/7/2014,22,9
3/8/2014,6,4
3/9/2014,5,4
3/10/2014,22,7
3/11/2014,23,9
3/12/2014,22,7
3/13/2014,22,7
3/14/2014,22,8
3/15/2014,6,4
3/16/2014,4,3
3/17/2014,22,6
3/18/2014,23,9
3/19/2014,21,9
3/20/2014,21,8
3/21/2014,19,7
3/22/2014,7,3
3/23/2014,4,2
3/24/2014,24,9
3/25/2014,25,9
3/26/2014,25,10
3/27/2014,22,9
3/28/2014,21,8
3/29/2014,6,3
3/30/2014,5,3
3/31/2014,19,8
4/1/2014,22,7
4/2/2014,19,8
4/3/2014,18,9
4/4/2014,18,7
4/5/2014,8,3
4/6/2014,4,3
4/7/2014,21,7
4/8/2014,21,8
4/9/2014,19,9
4/10/2014,20,10
4/11/2014,21,9
4/12/2014,6,4
4/13/2014,4,3
4/14/2014,20,8
4/15/2014,20,6
4/16/2014,19,7
4/17/2014,21,8
4/18/2014,14,5
4/19/2014,5,4
4/20/2014,6,4
4/21/2014,22,9
4/22/2014,23,8
4/23/2014,62,27
4/24/2014,98,57
4/25/2014,49,29
4/26/2014,15,11
4/27/2014,9,8
4/28/2014,39,19
4/29/2014,39,22
4/30/2014,41,19
5/1/2014,38,18
5/2/2014,31,15
5/3/2014,11,8
5/4/2014,5,5
5/5/2014,32,13
5/6/2014,35,18
5/7/2014,30,12
5/8/2014,30,13
5/9/2014,41,18
5/10/2014,11,8
5/11/2014,8,5
5/12/2014,29,13
5/13/2014,31,13
5/14/2014,24,11
5/15/2014,27,11
5/16/2014,25,10
5/17/2014,10,6
5/18/2014,7,5
5/19/2014,30,12
5/20/2014,30,13
5/21/2014,30,12
5/22/2014,27,12
5/23/2014,30,13
5/24/2014,10,6
5/25/2014,7,5
5/26/2014,10,6
5/27/2014,36,15
5/28/2014,38,16
