Date,AMZN,amazon stock
1/1/2014,4,14
1/2/2014,17,17
1/3/2014,13,19
1/4/2014,5,12
1/5/2014,7,10
1/6/2014,14,16
1/7/2014,16,16
1/8/2014,14,15
1/9/2014,8,16
1/10/2014,12,15
1/11/2014,5,13
1/12/2014,4,12
1/13/2014,15,14
1/14/2014,13,15
1/15/2014,14,13
1/16/2014,14,17
1/17/2014,17,12
1/18/2014,6,10
1/19/2014,5,11
1/20/2014,7,15
1/21/2014,14,14
1/22/2014,14,15
1/23/2014,18,14
1/24/2014,19,16
1/25/2014,7,15
1/26/2014,3,9
1/27/2014,16,15
1/28/2014,21,15
1/29/2014,20,13
1/30/2014,58,24
1/31/2014,85,35
2/1/2014,32,16
2/2/2014,11,13
2/3/2014,40,20
2/4/2014,34,23
2/5/2014,23,17
2/6/2014,20,15
2/7/2014,23,17
2/8/2014,5,9
2/9/2014,3,9
2/10/2014,22,16
2/11/2014,18,18
2/12/2014,29,15
2/13/2014,23,17
2/14/2014,12,15
2/15/2014,6,5
2/16/2014,8,9
2/17/2014,10,10
2/18/2014,20,11
2/19/2014,19,14
2/20/2014,19,13
2/21/2014,18,13
2/22/2014,6,10
2/23/2014,3,12
2/24/2014,17,14
2/25/2014,16,20
2/26/2014,21,17
2/27/2014,17,14
2/28/2014,19,9
3/1/2014,6,13
3/2/2014,2,7
3/3/2014,15,11
3/4/2014,17,21
3/5/2014,14,14
3/6/2014,16,13
3/7/2014,11,14
3/8/2014,5,9
3/9/2014,3,10
3/10/2014,15,13
3/11/2014,13,13
3/12/2014,13,12
3/13/2014,20,19
3/14/2014,17,18
3/15/2014,6,9
3/16/2014,2,11
3/17/2014,14,15
3/18/2014,10,16
3/19/2014,12,12
3/20/2014,16,14
3/21/2014,11,13
3/22/2014,5,8
3/23/2014,3,8
3/24/2014,12,11
3/25/2014,13,15
3/26/2014,15,10
3/27/2014,15,17
3/28/2014,15,12
3/29/2014,6,9
3/30/2014,4,9
3/31/2014,14,14
4/1/2014,15,13
4/2/2014,24,15
4/3/2014,24,19
4/4/2014,20,14
4/5/2014,6,13
4/6/2014,5,12
4/7/2014,16,15
4/8/2014,21,16
4/9/2014,21,12
4/10/2014,22,12
4/11/2014,22,15
4/12/2014,7,11
4/13/2014,6,8
4/14/2014,21,17
4/15/2014,17,15
4/16/2014,19,14
4/17/2014,21,14
