Date,GOOGL,google stock
1/1/2014,86,9
1/2/2014,83,11
1/3/2014,80,12
1/4/2014,89,9
1/5/2014,85,8
1/6/2014,79,12
1/7/2014,80,12
1/8/2014,78,13
1/9/2014,82,13
1/10/2014,88,13
1/11/2014,89,9
1/12/2014,88,8
1/13/2014,87,11
1/14/2014,91,16
1/15/2014,86,15
1/16/2014,90,14
1/17/2014,87,15
1/18/2014,85,9
1/19/2014,87,8
1/20/2014,84,10
1/21/2014,87,12
1/22/2014,87,14
1/23/2014,87,12
1/24/2014,88,13
1/25/2014,84,10
1/26/2014,86,6
1/27/2014,88,12
1/28/2014,86,14
1/29/2014,86,15
1/30/2014,87,18
1/31/2014,89,20
2/1/2014,85,10
2/2/2014,89,7
2/3/2014,86,14
2/4/2014,85,16
2/5/2014,90,16
2/6/2014,82,12
2/7/2014,93,15
2/8/2014,81,7
2/9/2014,83,7
2/10/2014,84,11
2/11/2014,88,13
2/12/2014,88,13
2/13/2014,87,14
2/14/2014,91,12
2/15/2014,84,7
2/16/2014,85,8
2/17/2014,86,11
2/18/2014,88,13
2/19/2014,83,13
2/20/2014,86,13
2/21/2014,83,13
2/22/2014,89,8
2/23/2014,87,9
2/24/2014,88,13
2/25/2014,86,14
2/26/2014,90,17
2/27/2014,93,14
2/28/2014,86,14
3/1/2014,85,9
3/2/2014,89,9
3/3/2014,81,12
3/4/2014,87,15
3/5/2014,88,13
3/6/2014,86,12
3/7/2014,89,14
3/8/2014,86,8
3/9/2014,84,8
3/10/2014,89,14
3/11/2014,88,13
3/12/2014,90,13
3/13/2014,88,15
3/14/2014,87,11
3/15/2014,86,8
3/16/2014,86,7
3/17/2014,85,11
3/18/2014,91,13
3/19/2014,88,10
3/20/2014,89,14
3/21/2014,85,11
3/22/2014,81,9
3/23/2014,83,7
3/24/2014,81,13
3/25/2014,85,14
3/26/2014,86,14
3/27/2014,81,15
3/28/2014,82,13
3/29/2014,82,9
3/30/2014,85,8
3/31/2014,91,15
4/1/2014,87,14
4/2/2014,87,15
4/3/2014,100,28
4/4/2014,94,26
4/5/2014,85,13
4/6/2014,85,10
4/7/2014,89,16
4/8/2014,87,17
4/9/2014,86,15
4/10/2014,90,17
4/11/2014,90,17
4/12/2014,90,10
4/13/2014,89,9
4/14/2014,89,15
4/15/2014,87,16
4/16/2014,92,17
4/17/2014,95,22
4/18/2014,86,13
4/19/2014,87,8
4/20/2014,89,8
4/21/2014,86,14
4/22/2014,92,14
4/23/2014,93,14
4/24/2014,88,17
4/25/2014,86,15
4/26/2014,86,8
4/27/2014,87,8
4/28/2014,88,15
4/29/2014,87,13
4/30/2014,97,13
5/1/2014,92,12
5/2/2014,89,12
5/3/2014,83,5
5/4/2014,86,6
5/5/2014,84,12
5/6/2014,88,12
5/7/2014,86,13
5/8/2014,93,13
5/9/2014,89,12
5/10/2014,83,7
5/11/2014,92,6
5/12/2014,89,11
5/13/2014,86,11
5/14/2014,89,11
5/15/2014,88,11
5/16/2014,84,10
5/17/2014,87,7
5/18/2014,82,6
5/19/2014,92,11
5/20/2014,86,13
5/21/2014,96,12
5/22/2014,94,12
5/23/2014,90,11
5/24/2014,89,7
5/25/2014,90,6
5/26/2014,88,8
5/27/2014,90,11
5/28/2014,87,12
5/29/2014,92,12
5/30/2014,93,12
5/31/2014,86,6
6/1/2014,90,6
6/2/2014,92,11
6/3/2014,94,10
6/4/2014,92,10
6/5/2014,90,12
6/6/2014,92,12
6/7/2014,90,7
6/8/2014,90,8
6/9/2014,87,13
6/10/2014,87,12
6/11/2014,89,13
6/12/2014,85,11
6/13/2014,87,11
6/14/2014,93,7
6/15/2014,93,6
6/16/2014,90,9
6/17/2014,85,10
6/18/2014,87,10
6/19/2014,89,11
6/20/2014,82,9
6/21/2014,82,8
6/22/2014,85,6
6/23/2014,84,12
6/24/2014,87,11
6/25/2014,86,12
6/26/2014,83,11
6/27/2014,83,9
6/28/2014,80,7
6/29/2014,81,7
6/30/2014,78,10
7/1/2014,79,10
