Date,MSFT,microsoft stock
1/1/2014,13,8
1/2/2014,28,11
1/3/2014,24,10
1/4/2014,17,3
1/5/2014,8,4
1/6/2014,27,12
1/7/2014,29,13
1/8/2014,29,15
1/9/2014,20,13
1/10/2014,12,13
1/11/2014,10,7
1/12/2014,7,8
1/13/2014,28,9
1/14/2014,33,12
1/15/2014,29,10
1/16/2014,33,14
1/17/2014,26,11
1/18/2014,12,8
1/19/2014,9,7
1/20/2014,16,6
1/21/2014,24,11
1/22/2014,30,10
1/23/2014,55,14
1/24/2014,83,20
1/25/2014,14,6
1/26/2014,10,5
1/27/2014,33,13
1/28/2014,31,10
1/29/2014,22,14
1/30/2014,31,16
1/31/2014,48,23
2/1/2014,19,10
2/2/2014,12,8
2/3/2014,27,9
2/4/2014,100,37
2/5/2014,41,17
2/6/2014,35,11
2/7/2014,30,13
2/8/2014,9,5
2/9/2014,12,7
2/10/2014,30,12
2/11/2014,28,17
2/12/2014,28,10
2/13/2014,27,14
2/14/2014,26,13
2/15/2014,18,7
2/16/2014,11,7
2/17/2014,17,10
2/18/2014,31,10
2/19/2014,26,10
2/20/2014,31,17
2/21/2014,28,18
2/22/2014,11,2
2/23/2014,11,4
2/24/2014,26,14
2/25/2014,23,10
2/26/2014,30,13
2/27/2014,21,12
2/28/2014,24,8
3/1/2014,13,8
3/2/2014,14,2
3/3/2014,24,15
3/4/2014,33,13
3/5/2014,19,16
3/6/2014,30,12
3/7/2014,21,9
3/8/2014,10,3
3/9/2014,11,4
3/10/2014,17,9
3/11/2014,31,9
3/12/2014,28,12
3/13/2014,26,15
3/14/2014,23,10
3/15/2014,8,6
3/16/2014,9,6
3/17/2014,19,10
3/18/2014,39,19
3/19/2014,40,12
3/20/2014,40,10
3/21/2014,32,13
3/22/2014,18,7
3/23/2014,11,8
3/24/2014,27,14
3/25/2014,31,11
3/26/2014,29,10
3/27/2014,45,16
3/28/2014,42,19
3/29/2014,12,11
3/30/2014,9,7
3/31/2014,30,4
4/1/2014,37,12
4/2/2014,42,13
4/3/2014,36,24
4/4/2014,38,14
4/5/2014,11,7
4/6/2014,7,7
4/7/2014,30,12
4/8/2014,30,11
4/9/2014,30,15
4/10/2014,25,13
4/11/2014,28,16
4/12/2014,12,7
4/13/2014,7,8
4/14/2014,23,14
4/15/2014,27,11
4/16/2014,26,12
4/17/2014,32,12
4/18/2014,18,7
4/19/2014,7,6
4/20/2014,8,11
4/21/2014,23,15
4/22/2014,27,15
4/23/2014,33,7
4/24/2014,54,18
4/25/2014,61,14
4/26/2014,13,9
4/27/2014,16,3
4/28/2014,32,18
4/29/2014,27,16
4/30/2014,28,10
5/1/2014,31,17
5/2/2014,24,13
5/3/2014,14,8
5/4/2014,8,4
5/5/2014,20,10
5/6/2014,21,14
5/7/2014,28,10
5/8/2014,29,7
5/9/2014,20,13
5/10/2014,10,4
5/11/2014,4,6
5/12/2014,23,9
5/13/2014,27,14
5/14/2014,25,12
5/15/2014,32,5
5/16/2014,19,11
5/17/2014,5,2
5/18/2014,7,5
5/19/2014,23,9
5/20/2014,29,9
5/21/2014,26,8
5/22/2014,29,9
5/23/2014,20,10
5/24/2014,11,4
5/25/2014,5,7
5/26/2014,8,4
5/27/2014,25,8
5/28/2014,26,8
5/29/2014,21,9
5/30/2014,20,9
5/31/2014,9,5
6/1/2014,6,6
6/2/2014,27,7
6/3/2014,21,7
6/4/2014,25,5
6/5/2014,23,11
6/6/2014,32,5
6/7/2014,12,7
6/8/2014,13,2
6/9/2014,14,13
6/10/2014,26,13
6/11/2014,24,8
6/12/2014,20,10
6/13/2014,22,5
6/14/2014,5,3
6/15/2014,6,2
6/16/2014,18,6
6/17/2014,26,13
6/18/2014,21,10
6/19/2014,23,7
6/20/2014,22,10
6/21/2014,10,0
6/22/2014,7,4
6/23/2014,16,5
6/24/2014,18,5
6/25/2014,24,6
6/26/2014,20,6
6/27/2014,23,11
6/28/2014,14,3
6/29/2014,10,4
6/30/2014,26,10
7/1/2014,29,8
7/2/2014,23,9
