Date,NFLX,netflix stock
1/1/2014,5,17
1/2/2014,5,8
1/3/2014,13,11
1/4/2014,3,7
1/5/2014,0,6
1/6/2014,12,8
1/7/2014,23,14
1/8/2014,16,12
1/9/2014,15,14
1/10/2014,18,11
1/11/2014,3,6
1/12/2014,3,11
1/13/2014,15,11
1/14/2014,12,11
1/15/2014,23,10
1/16/2014,14,10
1/17/2014,15,8
1/18/2014,7,4
1/19/2014,4,6
1/20/2014,3,5
1/21/2014,16,10
1/22/2014,57,25
1/23/2014,100,61
1/24/2014,36,27
1/25/2014,8,13
1/26/2014,3,6
1/27/2014,11,10
1/28/2014,19,17
1/29/2014,19,19
1/30/2014,12,14
1/31/2014,14,16
2/1/2014,3,8
2/2/2014,0,9
2/3/2014,15,13
2/4/2014,15,13
2/5/2014,13,12
2/6/2014,14,12
2/7/2014,19,20
2/8/2014,6,5
2/9/2014,4,4
2/10/2014,8,13
2/11/2014,14,8
2/12/2014,13,11
2/13/2014,20,14
2/14/2014,13,17
2/15/2014,6,9
2/16/2014,5,6
2/17/2014,5,7
2/18/2014,9,13
2/19/2014,12,15
2/20/2014,10,13
2/21/2014,13,7
2/22/2014,5,13
2/23/2014,8,6
2/24/2014,24,20
2/25/2014,23,14
2/26/2014,20,13
2/27/2014,14,18
2/28/2014,18,18
3/1/2014,0,6
3/2/2014,3,5
3/3/2014,17,12
3/4/2014,10,11
3/5/2014,10,8
3/6/2014,13,10
3/7/2014,10,11
3/8/2014,6,2
3/9/2014,6,2
3/10/2014,13,7
3/11/2014,10,10
3/12/2014,8,7
3/13/2014,8,10
3/14/2014,8,13
3/15/2014,4,5
3/16/2014,3,6
3/17/2014,7,13
3/18/2014,14,15
3/19/2014,5,6
3/20/2014,9,5
3/21/2014,12,11
3/22/2014,7,1
3/23/2014,2,7
3/24/2014,26,14
3/25/2014,17,12
3/26/2014,17,15
3/27/2014,13,12
3/28/2014,14,13
3/29/2014,6,5
3/30/2014,0,8
3/31/2014,12,10
4/1/2014,11,6
4/2/2014,13,9
4/3/2014,14,8
4/4/2014,17,10
4/5/2014,7,2
4/6/2014,4,5
4/7/2014,18,7
4/8/2014,15,11
4/9/2014,15,12
4/10/2014,19,11
4/11/2014,18,8
4/12/2014,5,0
4/13/2014,5,0
4/14/2014,14,7
4/15/2014,15,9
4/16/2014,8,7
4/17/2014,13,11
4/18/2014,11,8
4/19/2014,3,3
4/20/2014,3,5
4/21/2014,68,24
4/22/2014,59,31
4/23/2014,24,16
4/24/2014,19,13
4/25/2014,19,14
4/26/2014,2,7
4/27/2014,5,5
4/28/2014,17,14
4/29/2014,21,10
4/30/2014,17,8
5/1/2014,15,8
5/2/2014,17,11
5/3/2014,3,3
5/4/2014,0,4
5/5/2014,11,11
5/6/2014,14,10
5/7/2014,18,8
5/8/2014,11,9
5/9/2014,16,10
5/10/2014,0,4
5/11/2014,2,0
5/12/2014,14,10
5/13/2014,11,7
5/14/2014,12,9
5/15/2014,13,5
5/16/2014,9,7
5/17/2014,2,4
5/18/2014,6,4
5/19/2014,14,10
5/20/2014,15,6
5/21/2014,16,13
5/22/2014,16,7
5/23/2014,14,8
5/24/2014,5,4
5/25/2014,4,7
5/26/2014,4,0
5/27/2014,13,6
5/28/2014,11,6
5/29/2014,14,12
5/30/2014,16,10
5/31/2014,0,0
6/1/2014,3,2
6/2/2014,10,8
6/3/2014,11,6
6/4/2014,10,7
6/5/2014,12,7
6/6/2014,14,10
6/7/2014,4,4
6/8/2014,0,7
6/9/2014,14,10
6/10/2014,14,10
6/11/2014,11,4
6/12/2014,8,4
6/13/2014,11,4
6/14/2014,3,4
6/15/2014,2,3
6/16/2014,6,8
6/17/2014,8,6
6/18/2014,9,7
6/19/2014,9,10
6/20/2014,7,6
6/21/2014,6,4
6/22/2014,0,0
6/23/2014,3,7
6/24/2014,15,7
6/25/2014,9,5
6/26/2014,9,0
6/27/2014,0,7
6/28/2014,2,0
6/29/2014,0,5
6/30/2014,3,4
7/1/2014,24,6
7/2/2014,16,4
7/3/2014,13,12
7/4/2014,3,7
7/5/2014,2,4
7/6/2014,4,8
7/7/2014,11,10
7/8/2014,14,10
7/9/2014,14,4
7/10/2014,8,4
7/11/2014,10,5
7/12/2014,6,5
7/13/2014,0,6
7/14/2014,11,7
7/15/2014,11,6
7/16/2014,9,7
7/17/2014,13,6
7/18/2014,5,5
7/19/2014,0,2
7/20/2014,0,7
7/21/2014,50,16
7/22/2014,54,30
7/23/2014,18,12
7/24/2014,22,9
7/25/2014,12,9
7/26/2014,4,7
7/27/2014,4,4
7/28/2014,9,4
7/29/2014,3,10
7/30/2014,10,6
7/31/2014,8,11
8/1/2014,11,7
8/2/2014,0,2
8/3/2014,0,0
8/4/2014,5,4
8/5/2014,7,8
8/6/2014,8,5
8/7/2014,13,4
8/8/2014,17,6
8/9/2014,5,2
8/10/2014,0,6
8/11/2014,8,6
8/12/2014,9,5
8/13/2014,8,5
8/14/2014,15,6
8/15/2014,0,5
8/16/2014,7,5
8/17/2014,0,4
8/18/2014,7,10
8/19/2014,6,7
8/20/2014,10,9
8/21/2014,9,3
8/22/2014,13,4
8/23/2014,3,5
8/24/2014,4,3
8/25/2014,10,5
8/26/2014,11,3
8/27/2014,10,7
8/28/2014,6,5
8/29/2014,6,8
8/30/2014,4,3
8/31/2014,1,7
9/1/2014,5,6
9/1/2014,3,4
9/2/2014,6,4
9/3/2014,4,5
9/4/2014,4,4
9/5/2014,1,6
9/6/2014,2,3
9/7/2014,2,0
9/8/2014,3,0
9/9/2014,7,5
9/10/2014,7,5
9/11/2014,6,4
9/12/2014,7,4
9/13/2014,5,4
9/14/2014,3,3
9/15/2014,7,5
9/16/2014,7,5
9/17/2014,6,8
9/18/2014,5,7
9/19/2014,7,5
9/20/2014,0,1
9/21/2014,0,4
9/22/2014,8,4
9/23/2014,7,6
9/24/2014,7,6
9/25/2014,5,5
9/26/2014,7,4
9/27/2014,4,4
9/28/2014,0,0
9/29/2014,5,6
9/30/2014,3,5
10/1/2014,8,6
10/2/2014,5,9
10/3/2014,9,4
10/4/2014,0,7
10/5/2014,2,4
10/6/2014,4,4
10/7/2014,5,5
10/8/2014,9,4
10/9/2014,7,2
10/10/2014,4,6
10/11/2014,0,4
10/12/2014,0,2
10/13/2014,8,6
10/14/2014,9,5
10/15/2014,58,31
10/16/2014,100,70
10/17/2014,39,44
10/18/2014,11,15
10/19/2014,5,9
10/20/2014,17,13
10/21/2014,18,8
10/22/2014,15,12
10/23/2014,17,16
10/24/2014,11,13
10/25/2014,0,4
10/26/2014,3,5
10/27/2014,14,8
10/28/2014,7,13
10/29/2014,9,11
10/30/2014,10,10
10/31/2014,11,4
11/1/2014,4,3
11/2/2014,7,3
11/3/2014,9,6
11/4/2014,8,11
11/5/2014,7,8
11/6/2014,6,8
11/7/2014,8,8
11/8/2014,2,3
11/9/2014,0,5
11/10/2014,4,5
11/11/2014,8,7
11/12/2014,8,6
11/13/2014,5,5
11/14/2014,10,6
11/15/2014,2,7
11/16/2014,2,4
11/17/2014,5,5
11/18/2014,7,8
11/19/2014,8,8
11/20/2014,8,5
11/21/2014,7,2
11/22/2014,2,5
11/23/2014,0,7
11/24/2014,7,5
11/25/2014,5,6
11/26/2014,6,6
11/27/2014,1,4
11/28/2014,5,7
11/29/2014,0,4
11/30/2014,2,2
12/1/2014,5,5
12/2/2014,7,7
12/3/2014,8,6
12/4/2014,4,6
12/5/2014,6,6
12/6/2014,2,4
12/7/2014,0,3
12/8/2014,5,6
12/9/2014,6,4
12/10/2014,8,6
12/11/2014,5,5
12/12/2014,5,7
12/13/2014,3,4
12/14/2014,0,2
12/15/2014,7,5
12/16/2014,7,7
12/17/2014,10,4
12/18/2014,6,5
12/19/2014,7,5
12/20/2014,2,5
12/21/2014,0,0
12/22/2014,4,3
12/23/2014,5,5
12/24/2014,5,2
12/25/2014,3,4
12/26/2014,6,4
12/27/2014,2,2
12/28/2014,2,0
12/29/2014,5,2
12/30/2014,6,7
12/31/2014,6,4
1/1/2015,0,5
1/2/2015,4,5
1/3/2015,3,5
1/4/2015,2,2
1/5/2015,6,6
1/6/2015,8,3
1/7/2015,9,3
1/8/2015,7,7
1/9/2015,6,5
1/10/2015,1,3
1/11/2015,3,3
1/12/2015,6,5
1/13/2015,5,5
1/14/2015,7,9
1/15/2015,5,7
1/16/2015,10,6
1/17/2015,5,3
1/18/2015,4,3
1/19/2015,3,2
1/20/2015,34,14
1/21/2015,48,38
1/22/2015,26,22
1/23/2015,18,24
1/24/2015,4,14
1/25/2015,3,7
1/26/2015,15,11
1/27/2015,11,10
1/28/2015,10,10
1/29/2015,14,9
1/30/2015,8,11
1/31/2015,0,4
2/1/2015,3,3
2/2/2015,7,9
2/3/2015,8,8
2/4/2015,8,10
2/5/2015,9,10
2/6/2015,5,9
2/7/2015,2,6
2/8/2015,0,7
2/9/2015,6,7
2/10/2015,7,7
2/11/2015,10,12
2/12/2015,9,7
2/13/2015,8,9
2/14/2015,0,3
2/15/2015,2,0
2/16/2015,2,7
2/17/2015,8,7
2/18/2015,8,12
2/19/2015,8,5
2/20/2015,9,6
2/21/2015,2,4
2/22/2015,0,4
2/23/2015,5,8
2/24/2015,8,7
2/25/2015,8,7
2/26/2015,6,7
2/27/2015,6,11
2/28/2015,5,8
3/1/2015,1,2
3/2/2015,2,6
3/3/2015,5,11
3/4/2015,3,6
3/5/2015,3,6
3/6/2015,4,9
3/7/2015,0,5
3/8/2015,2,3
3/9/2015,6,8
3/10/2015,6,4
3/11/2015,3,6
3/12/2015,6,9
3/13/2015,7,7
3/14/2015,3,3
3/15/2015,1,2
3/16/2015,9,9
3/17/2015,5,5
3/18/2015,6,5
3/19/2015,5,4
3/20/2015,6,8
3/21/2015,1,6
3/22/2015,1,4
3/23/2015,5,3
3/24/2015,4,7
3/25/2015,8,4
3/26/2015,11,9
3/27/2015,5,8
3/28/2015,3,2
3/29/2015,0,3
3/30/2015,4,7
3/31/2015,4,4
4/1/2015,7,5
4/2/2015,4,7
4/3/2015,4,3
4/4/2015,0,5
4/5/2015,0,3
4/6/2015,8,7
4/7/2015,5,2
4/8/2015,6,5
4/9/2015,7,6
4/10/2015,9,12
4/11/2015,2,7
4/12/2015,3,3
4/13/2015,15,12
4/14/2015,16,15
4/15/2015,41,19
4/16/2015,59,68
4/17/2015,50,44
4/18/2015,10,17
4/19/2015,6,15
4/20/2015,21,18
4/21/2015,13,18
4/22/2015,12,19
4/23/2015,13,15
4/24/2015,9,12
4/25/2015,1,6
4/26/2015,3,7
4/27/2015,12,15
4/28/2015,9,11
4/29/2015,6,7
4/30/2015,5,8
5/1/2015,8,10
5/1/2015,8,10
5/2/2015,4,4
5/3/2015,2,9
5/4/2015,5,10
5/5/2015,11,10
5/6/2015,7,10
5/7/2015,6,8
5/8/2015,7,10
5/9/2015,2,7
5/10/2015,1,8
5/11/2015,9,12
5/12/2015,10,9
5/13/2015,6,8
5/14/2015,7,7
5/15/2015,24,20
5/16/2015,7,14
5/17/2015,2,10
5/18/2015,11,15
5/19/2015,15,13
5/20/2015,12,10
5/21/2015,9,10
5/22/2015,8,10
5/23/2015,3,7
5/24/2015,3,3
5/25/2015,1,5
5/26/2015,5,11
5/27/2015,9,9
5/28/2015,8,9
5/29/2015,8,8
5/30/2015,2,8
5/31/2015,0,5
6/1/2015,5,11
6/2/2015,6,8
6/3/2015,7,9
6/4/2015,8,10
6/5/2015,7,9
6/6/2015,3,6
6/7/2015,1,6
6/8/2015,5,10
6/9/2015,15,16
6/10/2015,25,25
6/11/2015,19,20
6/12/2015,12,15
6/13/2015,5,8
6/14/2015,2,8
6/15/2015,12,11
6/16/2015,12,13
6/17/2015,6,12
6/18/2015,7,11
6/19/2015,7,11
6/20/2015,4,6
6/21/2015,2,7
6/22/2015,12,14
6/23/2015,20,31
6/24/2015,50,71
6/25/2015,29,43
6/26/2015,18,24
6/27/2015,6,21
6/28/2015,4,12
6/29/2015,18,20
6/30/2015,15,22
7/1/2015,16,19
7/2/2015,11,14
7/3/2015,5,8
7/4/2015,3,7
7/5/2015,3,6
7/6/2015,10,15
7/7/2015,14,13
7/8/2015,16,17
7/9/2015,8,12
7/10/2015,16,20
7/11/2015,5,10
7/12/2015,2,7
7/13/2015,26,30
7/14/2015,28,29
7/15/2015,82,72
7/16/2015,100,100
7/17/2015,62,72
7/18/2015,12,25
7/19/2015,4,12
7/20/2015,31,30
7/21/2015,29,34
7/22/2015,21,29
7/23/2015,22,17
7/24/2015,21,24
7/25/2015,6,13
7/26/2015,2,13
7/27/2015,15,21
7/28/2015,14,22
7/29/2015,17,19
7/30/2015,20,20
7/31/2015,20,18
8/1/2015,6,10
8/2/2015,5,11
8/3/2015,14,15
8/4/2015,25,26
8/5/2015,32,36
8/6/2015,29,32
8/7/2015,21,31
8/8/2015,6,11
8/9/2015,0,10
8/10/2015,20,22
8/11/2015,22,22
8/12/2015,20,20
8/13/2015,13,19
8/14/2015,19,18
8/15/2015,4,12
8/16/2015,5,9
8/17/2015,16,13
8/18/2015,14,16
8/19/2015,14,15
8/20/2015,24,23
8/21/2015,36,41
8/22/2015,9,20
8/23/2015,6,15
8/24/2015,53,77
8/25/2015,59,69
8/26/2015,43,42
8/27/2015,42,40
8/28/2015,35,29
8/29/2015,8,18
8/30/2015,2,11
8/31/2015,27,25
9/1/2015,36,32
9/2/2015,39,38
9/3/2015,41,33
9/4/2015,37,29
9/5/2015,7,15
9/6/2015,4,11
9/7/2015,5,7
9/8/2015,39,32
9/9/2015,39,33
9/10/2015,31,30
9/11/2015,18,22
9/12/2015,7,10
9/13/2015,4,6
9/14/2015,25,16
9/15/2015,26,23
9/16/2015,28,27
9/17/2015,24,21
9/18/2015,29,21
9/19/2015,4,9
9/20/2015,2,6
9/21/2015,19,17
9/22/2015,17,16
9/23/2015,16,14
9/24/2015,25,19
9/25/2015,23,24
9/26/2015,7,8
9/27/2015,6,6
9/28/2015,19,17
9/29/2015,14,16
9/30/2015,19,18
10/1/2015,16,14
10/2/2015,18,23
10/3/2015,5,9
10/4/2015,4,8
10/5/2015,24,14
10/6/2015,18,19
10/7/2015,22,15
10/8/2015,24,18
10/9/2015,27,23
10/10/2015,4,12
10/11/2015,3,6
10/12/2015,23,15
10/13/2015,27,18
10/14/2015,68,29
10/15/2015,64,48
10/16/2015,32,28
10/17/2015,4,8
10/18/2015,5,8
10/19/2015,23,16
10/20/2015,21,18
10/21/2015,23,14
10/22/2015,20,15
10/23/2015,27,24
10/24/2015,6,9
10/25/2015,3,8
10/26/2015,19,17
10/27/2015,19,18
10/28/2015,15,19
10/29/2015,15,16
10/30/2015,18,15
10/31/2015,4,4
11/1/2015,1,7
11/2/2015,17,13
11/3/2015,20,18
11/4/2015,19,15
11/5/2015,21,16
11/6/2015,21,17
11/7/2015,4,9
11/8/2015,1,8
11/9/2015,14,12
11/10/2015,11,13
11/11/2015,14,13
11/12/2015,14,14
11/13/2015,17,14
11/14/2015,5,5
11/15/2015,3,4
11/16/2015,16,12
11/17/2015,17,18
11/18/2015,24,17
11/19/2015,23,17
11/20/2015,19,20
11/21/2015,5,10
11/22/2015,5,5
11/23/2015,16,18
11/24/2015,14,14
11/25/2015,16,12
11/26/2015,4,6
11/27/2015,9,10
11/28/2015,1,6
11/29/2015,3,7
11/30/2015,16,12
12/1/2015,17,15
12/2/2015,17,22
12/3/2015,21,18
12/4/2015,17,13
12/5/2015,7,9
12/6/2015,4,6
12/7/2015,12,15
12/8/2015,18,17
12/9/2015,15,17
12/10/2015,15,13
12/11/2015,14,16
12/12/2015,5,13
12/13/2015,2,6
12/14/2015,17,13
12/15/2015,16,14
12/16/2015,16,18
12/17/2015,17,14
12/18/2015,13,15
12/19/2015,4,7
12/20/2015,3,4
12/21/2015,13,12
12/22/2015,13,12
12/23/2015,10,12
12/24/2015,8,9
12/25/2015,3,5
12/26/2015,5,5
12/27/2015,1,5
12/28/2015,11,11
12/29/2015,13,10
12/30/2015,15,12
12/31/2015,11,12
1/1/2016,2,6
1/1/2016,2,5
1/2/2016,2,6
1/3/2016,2,3
1/4/2016,24,15
1/5/2016,20,17
1/6/2016,32,38
1/7/2016,39,45
1/8/2016,23,24
1/9/2016,7,13
1/10/2016,4,6
