date,amazon stock,apple stock,facebook stock,google stock,microsoft stock,netflix stock,AMZN,AAPL,META,FB,GOOGL,MSFT,NFLX
1/1/2010 0:00,0,7,47,33,40,38,17,13,63,46,82,13,0
1/2/2010 0:00,93,6,28,35,0,0,0,5,75,45,82,22,0
1/3/2010 0:00,44,5,38,27,46,63,0,8,68,40,87,6,27
1/4/2010 0:00,50,17,39,64,31,0,20,24,79,32,74,45,0
1/5/2010 0:00,72,17,47,86,48,73,35,28,79,34,81,47,0
1/6/2010 0:00,47,11,38,100,56,25,26,22,82,33,81,24,0
1/7/2010 0:00,24,6,67,83,0,35,29,20,84,34,81,26,0
1/8/2010 0:00,25,9,61,69,41,0,7,22,79,37,76,46,0
1/9/2010 0:00,55,3,20,36,42,42,9,9,72,47,86,15,0
1/10/2010 0:00,41,7,32,32,59,0,10,5,70,41,83,10,0
1/11/2010 0:00,37,11,49,59,94,0,33,20,82,37,80,23,0
1/12/2010 0:00,45,12,56,51,35,0,37,17,82,33,81,28,0
1/13/2010 0:00,30,7,32,89,63,0,27,18,86,34,76,38,0
1/14/2010 0:00,42,10,30,78,43,0,14,17,85,34,75,36,28
1/15/2010 0:00,80,5,60,71,38,0,18,19,83,38,74,31,0
1/16/2010 0:00,0,4,17,36,53,81,30,7,62,44,86,11,0
1/17/2010 0:00,36,5,23,32,0,0,0,7,69,44,87,0,40
1/18/2010 0:00,45,8,32,38,25,0,0,13,86,35,68,17,32
1/19/2010 0:00,17,14,41,50,48,61,20,25,85,36,72,23,39
1/20/2010 0:00,64,17,33,69,48,43,20,26,84,37,72,52,0
1/21/2010 0:00,51,20,43,62,33,0,55,21,93,38,71,33,0
1/22/2010 0:00,46,13,30,87,36,32,33,30,88,39,81,43,0
1/23/2010 0:00,54,12,34,51,0,0,19,16,72,51,76,25,0
1/24/2010 0:00,29,11,71,51,55,0,0,8,76,46,84,20,0
1/25/2010 0:00,19,19,47,71,42,0,30,54,84,37,77,34,0
1/26/2010 0:00,62,33,54,97,22,0,23,68,81,38,72,45,30
1/27/2010 0:00,54,100,46,82,43,0,60,100,81,35,78,36,0
1/28/2010 0:00,80,72,30,67,67,88,77,64,96,36,79,77,0
1/29/2010 0:00,46,31,46,57,41,37,100,49,78,39,70,100,0
1/30/2010 0:00,0,18,45,60,42,55,34,19,74,49,81,28,0
1/31/2010 0:00,32,9,52,31,33,0,30,7,73,50,86,17,93
2/1/2010 0:00,52,13,37,46,54,0,52,29,82,39,82,19,61
2/2/2010 0:00,0,17,45,59,0,39,39,25,88,36,74,36,0
2/3/2010 0:00,56,13,42,79,57,24,40,26,85,37,80,48,19
2/4/2010 0:00,34,15,54,85,12,22,33,26,96,38,74,40,0
2/5/2010 0:00,51,19,49,67,48,0,32,25,89,42,79,36,0
2/6/2010 0:00,34,8,44,37,22,0,0,6,76,52,87,0,0
2/7/2010 0:00,56,4,42,36,0,45,0,6,77,54,84,8,0
2/8/2010 0:00,100,7,13,48,43,66,21,22,88,35,74,33,0
2/9/2010 0:00,61,14,45,64,18,30,28,24,91,38,79,40,25
2/10/2010 0:00,42,9,55,73,58,51,19,19,85,40,80,32,0
2/11/2010 0:00,41,11,100,57,34,67,0,21,91,43,81,27,0
2/12/2010 0:00,24,5,25,44,29,0,14,23,86,45,84,29,22
2/13/2010 0:00,0,12,41,36,0,0,18,9,79,52,87,12,0
2/14/2010 0:00,23,3,31,22,88,0,0,5,77,57,89,7,48
2/15/2010 0:00,34,2,56,37,0,0,19,10,82,44,83,34,32
2/16/2010 0:00,42,14,70,60,25,0,9,15,89,41,75,25,0
2/17/2010 0:00,15,11,54,65,17,24,17,20,90,43,82,43,30
2/18/2010 0:00,40,9,47,52,59,0,47,20,98,43,77,39,0
2/19/2010 0:00,0,9,67,66,28,71,31,15,100,47,76,46,0
2/20/2010 0:00,0,0,42,30,22,0,0,10,83,59,89,6,0
2/21/2010 0:00,0,0,28,35,0,0,0,4,78,54,83,11,0
2/22/2010 0:00,37,5,19,56,31,0,10,15,80,46,77,29,0
2/23/2010 0:00,49,4,42,63,0,0,11,18,90,42,71,35,88
2/24/2010 0:00,70,8,34,60,24,0,21,14,90,42,84,31,0
2/25/2010 0:00,29,12,15,50,37,27,19,20,97,48,89,23,0
2/26/2010 0:00,0,14,35,43,22,0,36,21,84,47,93,39,0
2/27/2010 0:00,18,11,42,25,42,45,9,9,78,59,87,0,0
2/28/2010 0:00,26,7,13,37,25,0,0,7,77,57,87,9,0
3/1/2010 0:00,15,11,51,46,23,0,23,18,96,42,79,24,0
3/2/2010 0:00,38,13,50,55,42,0,34,18,85,46,80,31,0
3/3/2010 0:00,28,10,29,66,59,0,17,18,91,44,85,27,0
3/4/2010 0:00,35,6,44,69,35,49,37,19,99,46,82,39,0
3/5/2010 0:00,0,18,56,70,51,26,29,30,96,50,83,38,0
3/6/2010 0:00,19,6,41,39,0,0,15,9,82,64,86,7,0
3/7/2010 0:00,43,7,58,38,27,0,0,10,84,59,78,22,0
3/8/2010 0:00,21,8,36,79,51,0,9,22,85,46,74,40,0
3/9/2010 0:00,22,14,52,67,25,38,19,29,95,49,76,24,0
3/10/2010 0:00,35,8,9,58,45,0,10,26,93,55,76,33,0
3/11/2010 0:00,23,15,59,88,56,0,21,23,92,55,80,32,0
3/12/2010 0:00,20,15,56,77,37,23,21,25,85,62,83,29,22
3/13/2010 0:00,38,8,29,38,63,0,16,13,77,78,81,6,46
3/14/2010 0:00,0,7,26,50,22,0,33,4,73,72,76,11,27
3/15/2010 0:00,29,9,42,75,24,0,25,23,98,59,77,29,0
3/16/2010 0:00,49,10,75,66,27,24,0,18,85,57,81,33,22
3/17/2010 0:00,42,7,51,59,30,100,12,20,79,59,85,31,0
3/18/2010 0:00,18,10,35,59,49,0,0,22,96,61,82,16,0
3/19/2010 0:00,0,13,19,62,0,0,16,20,89,66,78,33,88
3/20/2010 0:00,0,12,39,33,0,37,0,8,65,84,96,0,0
3/21/2010 0:00,24,8,34,47,23,50,8,2,64,77,90,0,48
3/22/2010 0:00,33,6,56,66,39,68,7,14,81,61,80,24,29
3/23/2010 0:00,26,11,51,55,57,0,33,20,89,61,76,30,0
3/24/2010 0:00,21,11,43,68,0,0,23,20,85,62,76,26,0
3/25/2010 0:00,0,11,28,83,67,31,27,22,100,65,75,33,0
3/26/2010 0:00,0,10,70,87,45,0,31,26,81,72,94,39,0
3/27/2010 0:00,20,9,51,49,29,0,0,9,77,89,100,0,0
3/28/2010 0:00,23,9,31,19,39,44,14,7,65,100,87,13,100
3/29/2010 0:00,0,9,56,52,17,0,10,28,82,69,77,22,0
3/30/2010 0:00,20,22,48,74,100,0,8,29,86,67,66,41,0
3/31/2010 0:00,37,17,71,53,70,42,9,29,77,71,80,33,24
4/1/2010 0:00,62,25.5,56.96511628,72,39.11764706,59.5,32.72727273,32.81578947,87.45679012,78.88888889,92.8,28.6,0
4/2/2010 0:00,0,17.89473684,37.15116279,50,0,28,43.36363636,25.18421053,71.2962963,82.83333333,89.6,22,0
4/3/2010 0:00,87,9.842105263,58.61627907,55,51.47058824,0,23.72727273,14.5,72.24691358,98.61111111,92.8,16.5,0
4/4/2010 0:00,21,18.34210526,30.54651163,40,25.73529412,84,13.09090909,16.78947368,62.74074074,94.66666667,93.86666667,12.1,0
4/5/2010 0:00,19,25.94736842,47.88372093,54,40.14705882,33.83333333,26.18181818,54.94736842,71.2962963,76.25925926,71.46666667,35.2,0
4/6/2010 0:00,63,20.13157895,39.62790698,59,20.58823529,0,33.54545455,32.81578947,78.90123457,71,82.13333333,25.3,0
4/7/2010 0:00,17,20.57894737,46.23255814,57,45.29411765,24.5,22.90909091,33.57894737,80.80246914,67.05555556,78.93333333,26.4,0
4/8/2010 0:00,54,20.13157895,37.97674419,71,74.11764706,39.66666667,27.81818182,30.52631579,92.20987654,71,81.06666667,25.3,0
