date,amazon stock,apple stock,facebook stock,google stock,microsoft stock,netflix stock,AMZN,AAPL,META,GOOGL,MSFT,NFLX
1/31/2010,2,8,4,22,6,1,7,31,10,44,16,5
2/28/2010,2,4,4,19,5,1,5,23,11,48,13,3
3/31/2010,1,5,5,22,7,1,4,25,15,47,11,4
4/30/2010,2,9,5,24,7,2,6,36,18,46,16,8
5/31/2010,2,7,5,21,6,2,4,31,20,49,14,8
6/30/2010,1,8,5,19,6,1,3,31,23,46,13,8
7/31/2010,2,8,5,18,5,2,5,36,24,51,15,10
8/31/2010,2,4,5,18,5,2,4,22,27,53,12,11
9/30/2010,2,5,6,19,6,3,4,27,30,57,12,12
10/31/2010,2,8,8,22,7,3,5,37,33,61,17,18
11/30/2010,2,5,7,22,6,3,5,27,36,64,14,14
12/31/2010,3,5,6,18,6,4,5,23,40,69,14,21
1/31/2011,3,10,9,24,6,4,6,42,37,68,14,18
2/28/2011,2,7,8,22,7,4,5,30,38,70,11,19
3/31/2011,2,9,7,22,5,4,4,32,38,65,11,19
4/30/2011,2,7,7,22,5,4,6,29,37,74,13,19
5/31/2011,2,5,6,18,6,3,5,19,37,71,14,13
6/30/2011,2,6,6,18,5,2,4,23,42,75,11,11
7/31/2011,3,7,6,21,4,7,6,36,43,76,13,22
8/31/2011,3,15,8,30,6,4,7,55,46,74,13,14
9/30/2011,3,8,7,22,5,11,7,32,46,80,11,35
10/31/2011,4,24,7,23,6,12,10,62,49,81,12,48
11/30/2011,4,7,7,20,5,6,9,28,49,83,9,23
12/31/2011,4,5,7,19,4,5,6,21,53,84,8,14
1/31/2012,3,9,9,20,5,6,8,35,47,81,12,27
2/29/2012,3,11,26,23,5,4,9,44,48,82,12,17
3/31/2012,3,17,10,21,5,3,6,62,51,83,11,12
4/30/2012,3,15,9,22,5,2,8,68,59,82,12,14
5/31/2012,3,11,100,26,6,2,7,49,56,90,10,10
6/30/2012,2,8,40,19,6,2,4,38,57,88,14,7
7/31/2012,3,8,20,18,5,3,5,43,56,85,13,12
8/31/2012,3,11,29,21,5,2,5,53,58,77,11,9
9/30/2012,4,20,22,23,6,2,6,64,57,81,11,7
10/31/2012,4,16,16,28,8,3,7,69,70,82,16,14
11/30/2012,4,16,15,27,7,3,5,66,79,84,17,10
12/31/2012,4,13,13,23,6,3,5,61,83,86,13,10
1/31/2013,5,22,15,29,7,6,9,93,75,87,17,23
2/28/2013,4,14,13,27,7,5,7,64,79,89,13,21
3/31/2013,4,11,11,25,6,3,5,59,81,87,11,14
4/30/2013,4,14,11,26,7,5,7,73,87,87,18,27
5/31/2013,4,10,11,30,10,4,6,57,87,90,22,17
6/30/2013,3,9,10,25,10,3,5,44,85,89,15,13
7/31/2013,4,9,12,25,7,4,9,51,87,86,22,20
8/31/2013,4,11,14,26,7,3,7,61,90,87,19,14
9/30/2013,4,17,14,28,9,4,6,67,84,89,20,14
10/31/2013,5,14,17,42,9,8,11,63,90,100,19,32
11/30/2013,7,8,14,38,11,4,9,38,86,90,16,15
12/31/2013,9,9,12,34,9,4,10,46,93,92,15,12
1/31/2014,7,10,13,41,8,7,12,49,92,96,17,23
2/28/2014,6,9,16,39,9,6,14,41,91,97,17,16
3/31/2014,6,7,14,37,8,4,9,28,89,92,15,13
4/30/2014,6,12,15,48,8,5,16,39,90,95,17,22
5/31/2014,5,12,10,32,6,4,12,42,99,95,13,14
6/30/2014,5,21,10,28,5,3,13,54,99,96,12,10
7/31/2014,6,14,13,29,7,4,15,48,101,94,18,16
8/31/2014,5,12,11,26,6,3,11,42,98,89,11,9
9/30/2014,6,29,12,33,8,3,8,68,95,87,14,8
10/31/2014,7,18,12,38,8,8,13,50,96,90,15,25
11/30/2014,6,14,10,33,8,4,9,40,97,80,13,10
12/31/2014,7,13,10,31,7,3,9,36,94,82,11,9
1/31/2015,7,14,9,34,8,6,11,42,89,83,16,17
2/28/2015,6,17,10,34,10,5,11,41,89,79,15,10
3/31/2015,5,16,10,33,8,4,6,41,89,80,13,8
4/30/2015,7,16,10,34,9,10,12,44,87,82,18,23
5/31/2015,6,13,9,29,8,7,7,35,87,75,13,14
6/30/2015,5,11,10,26,7,13,6,31,94,71,10,23
7/31/2015,10,15,13,37,8,19,18,44,92,71,16,38
8/31/2015,8,22,15,40,8,18,12,50,86,70,14,42
9/30/2015,7,18,13,37,8,15,9,41,83,72,12,38
10/31/2015,9,15,12,39,11,13,15,36,82,73,17,39
11/30/2015,10,13,13,35,9,10,15,28,80,72,12,25
12/31/2015,11,11,18,34,8,9,13,26,79,72,10,23
1/31/2016,12,19,14,37,9,17,26,50,84,66,14,45
2/29/2016,11,14,14,41,9,12,20,35,85,69,12,32
3/31/2016,8,12,11,33,8,9,15,33,84,68,11,25
4/30/2016,9,16,14,32,8,11,19,39,80,65,14,39
5/31/2016,11,17,12,31,7,9,21,42,87,62,11,26
6/30/2016,9,13,12,30,11,8,16,32,90,59,15,25
7/31/2016,10,12,13,28,8,12,21,35,87,58,16,42
8/31/2016,9,12,10,22,6,6,15,31,78,57,11,22
9/30/2016,9,19,11,28,7,6,16,37,72,62,11,18
10/31/2016,12,14,11,32,9,13,23,33,78,60,15,40
11/30/2016,16,12,16,37,9,7,26,27,72,58,14,16
12/31/2016,13,10,10,31,9,6,19,21,73,53,12,15
1/31/2017,13,11,12,35,9,11,21,26,72,55,16,29
2/28/2017,17,18,14,39,10,11,29,35,71,51,13,16
3/31/2017,16,15,16,39,11,9,17,28,69,52,12,16
4/30/2017,20,12,13,37,10,11,34,21,73,51,15,25
5/31/2017,22,18,17,42,12,10,34,37,68,50,16,19
6/30/2017,34,16,15,35,12,10,42,29,68,48,17,19
7/31/2017,31,12,16,36,13,14,44,23,66,44,22,37
8/31/2017,26,18,16,36,11,13,36,36,60,45,15,25
9/30/2017,20,21,14,36,11,9,24,33,60,46,14,17
10/31/2017,27,17,15,43,15,15,39,27,57,48,20,35
11/30/2017,31,21,17,46,15,12,37,35,55,51,18,19
12/31/2017,27,17,14,41,14,12,29,25,57,44,17,18
1/31/2018,37,18,21,45,18,25,45,31,53,43,24,44
2/28/2018,53,24,22,54,21,22,75,41,54,45,30,41
3/31/2018,45,16,52,46,17,25,61,27,52,42,23,49
4/30/2018,49,15,36,42,18,24,78,28,48,43,30,56
5/31/2018,31,18,19,38,15,20,48,37,46,40,23,34
6/30/2018,33,12,18,32,17,26,47,25,47,37,27,54
7/31/2018,45,13,57,36,18,44,71,27,43,36,35,100
8/31/2018,44,25,30,35,19,28,66,43,39,34,30,55
9/30/2018,44,23,22,35,20,19,61,33,39,38,27,42
10/31/2018,60,21,25,44,23,35,100,35,37,39,40,82
