date,amazon stock,apple stock,facebook stock,google stock,microsoft stock,netflix stock,AMZN,AAPL,META,GOOGL,MSFT,NFLX
1/31/2010,2,8,1,7,6,1,4,20,30,42,16,2
2/28/2010,2,4,1,6,5,1,3,15,32,45,13,1
3/31/2010,1,5,2,7,6,1,2,16,33,43,12,1
4/30/2010,2,9,2,8,6,2,4,23,29,46,17,3
5/31/2010,2,7,2,7,6,2,2,20,30,47,14,3
6/30/2010,1,8,1,6,5,1,2,20,29,45,13,3
7/31/2010,2,8,2,6,4,2,3,23,28,49,16,4
8/31/2010,2,4,2,6,4,2,2,14,29,52,12,4
9/30/2010,2,5,2,6,5,3,2,17,29,55,14,5
10/31/2010,2,8,3,7,6,3,3,24,29,60,17,7
11/30/2010,2,5,2,7,5,3,3,17,29,62,15,6
12/31/2010,3,5,2,6,5,4,3,15,26,66,14,8
1/31/2011,3,10,3,8,5,4,3,27,27,66,14,7
2/28/2011,2,7,2,7,6,4,3,19,30,71,12,7
3/31/2011,2,9,2,7,5,4,2,21,28,68,11,7
4/30/2011,2,7,2,7,5,4,3,19,27,67,14,8
5/31/2011,2,5,2,6,5,3,3,12,29,69,14,5
6/30/2011,2,6,2,6,4,2,2,15,28,72,12,4
7/31/2011,3,7,2,7,4,7,3,23,27,71,14,9
8/31/2011,3,15,3,10,5,4,4,36,29,73,14,5
9/30/2011,3,8,2,7,4,11,4,21,29,76,12,14
10/31/2011,4,24,2,8,5,12,6,40,29,80,12,19
11/30/2011,4,7,2,7,4,6,5,18,29,84,9,9
12/31/2011,4,5,2,6,3,5,4,14,27,83,9,6
1/31/2012,3,9,3,6,4,6,4,23,27,75,13,11
2/29/2012,3,11,8,7,5,4,5,28,28,79,13,7
3/31/2012,3,17,3,7,5,3,3,40,27,81,12,5
4/30/2012,3,15,3,7,5,2,5,44,29,80,13,6
5/31/2012,3,11,32,8,6,2,4,31,29,86,10,4
6/30/2012,2,8,13,6,6,2,2,25,27,84,14,3
7/31/2012,3,8,7,6,5,3,3,28,25,80,13,5
8/31/2012,3,11,9,7,5,2,3,34,26,70,11,3
9/30/2012,4,20,7,7,5,2,4,41,27,80,11,3
10/31/2012,4,16,5,9,7,3,4,45,27,79,17,5
11/30/2012,4,16,5,9,6,3,3,43,26,83,17,4
12/31/2012,4,13,4,7,5,3,3,39,24,80,13,4
1/31/2013,5,22,5,9,6,6,5,60,26,84,18,9
2/28/2013,4,14,4,9,6,5,4,41,26,87,13,8
3/31/2013,4,11,4,8,6,3,3,38,25,85,12,5
4/30/2013,4,14,4,8,6,5,4,47,27,84,19,11
5/31/2013,4,10,4,10,9,4,4,37,26,87,20,7
6/30/2013,3,9,3,8,9,3,3,29,26,86,15,5
7/31/2013,4,9,4,8,6,4,5,33,26,81,22,8
8/31/2013,4,11,4,8,6,3,4,40,26,83,20,6
9/30/2013,4,17,5,9,9,4,3,43,26,84,23,5
10/31/2013,5,14,6,14,8,8,6,41,26,94,19,13
11/30/2013,7,8,5,12,10,4,5,25,26,92,17,6
12/31/2013,9,9,4,11,8,4,6,30,25,92,15,5
1/31/2014,7,10,4,13,7,7,7,32,28,91,17,9
2/28/2014,6,9,5,13,8,6,8,26,27,94,17,7
3/31/2014,6,7,4,12,7,4,5,18,27,92,16,5
4/30/2014,6,12,5,15,8,5,9,25,28,100,18,9
5/31/2014,5,12,3,10,6,4,7,27,28,91,13,6
6/30/2014,5,21,3,9,5,3,7,35,26,91,12,4
7/31/2014,6,14,4,9,6,4,8,31,27,92,18,6
8/31/2014,5,12,3,9,5,3,6,27,27,86,11,3
9/30/2014,6,29,4,11,7,3,4,44,28,81,15,3
10/31/2014,7,18,4,12,7,8,7,32,27,78,16,10
11/30/2014,6,14,3,11,7,4,5,26,28,79,13,4
12/31/2014,7,13,3,10,6,3,5,23,28,81,12,4
1/31/2015,7,14,3,11,8,6,6,27,26,78,17,7
