Date,AMZN,amazon stock,AAPL,apple stock,META,facebook stock,GOOGL,google stock,MSFT,microsoft stock,NFLX,netflix stock
2014-01-01,4.0,14.0,10.0,6.0,58.0,8.0,86.0,9.0,13.0,8.0,5.0,17.0
2014-01-02,17.0,17.0,28.0,10.0,67.0,14.0,83.0,11.0,28.0,11.0,5.0,8.0
2014-01-03,13.0,19.0,29.0,10.0,69.0,13.0,80.0,12.0,24.0,10.0,13.0,11.0
2014-01-04,5.0,12.0,11.0,5.0,58.0,8.0,89.0,9.0,17.0,3.0,3.0,7.0
2014-01-05,7.0,10.0,7.0,6.0,58.0,8.0,85.0,8.0,8.0,4.0,0.0,6.0
2014-01-06,14.0,16.0,31.0,10.0,67.0,13.0,79.0,12.0,27.0,12.0,12.0,8.0
2014-01-07,16.0,16.0,29.0,11.0,77.0,15.0,80.0,12.0,29.0,13.0,23.0,14.0
2014-01-08,14.0,15.0,26.0,9.0,77.0,13.0,78.0,13.0,29.0,15.0,16.0,12.0
2014-01-09,8.0,16.0,27.0,9.0,86.0,15.0,82.0,13.0,20.0,13.0,15.0,14.0
2014-01-10,12.0,15.0,27.0,11.0,80.0,13.0,88.0,13.0,12.0,13.0,18.0,11.0
2014-01-11,5.0,13.0,8.0,5.0,55.0,7.0,89.0,9.0,10.0,7.0,3.0,6.0
2014-01-12,4.0,12.0,6.0,5.0,59.0,9.0,88.0,8.0,7.0,8.0,3.0,11.0
2014-01-13,15.0,14.0,24.0,9.0,80.0,13.0,87.0,11.0,28.0,9.0,15.0,11.0
2014-01-14,13.0,15.0,28.0,9.0,78.0,14.0,91.0,16.0,33.0,12.0,12.0,11.0
2014-01-15,14.0,13.0,35.0,11.0,77.0,13.0,86.0,15.0,29.0,10.0,23.0,10.0
2014-01-16,14.0,17.0,32.0,10.0,84.0,14.0,90.0,14.0,33.0,14.0,14.0,10.0
2014-01-17,17.0,12.0,33.0,11.0,74.0,13.0,87.0,15.0,26.0,11.0,15.0,8.0
2014-01-18,6.0,10.0,11.0,5.0,59.0,10.0,85.0,9.0,12.0,8.0,7.0,4.0
2014-01-19,5.0,11.0,6.0,5.0,61.0,8.0,87.0,8.0,9.0,7.0,4.0,6.0
2014-01-20,7.0,15.0,17.0,6.0,77.0,9.0,84.0,10.0,16.0,6.0,3.0,5.0
2014-01-21,14.0,14.0,32.0,9.0,76.0,11.0,87.0,12.0,24.0,11.0,16.0,10.0
2014-01-22,14.0,15.0,29.0,10.0,77.0,14.0,87.0,14.0,30.0,10.0,57.0,25.0
2014-01-23,18.0,14.0,33.0,11.0,83.0,15.0,87.0,12.0,55.0,14.0,100.0,61.0
2014-01-24,19.0,16.0,34.0,11.0,78.0,13.0,88.0,13.0,83.0,20.0,36.0,27.0
2014-01-25,7.0,15.0,10.0,6.0,61.0,8.0,84.0,10.0,14.0,6.0,8.0,13.0
2014-01-26,3.0,9.0,7.0,5.0,60.0,6.0,86.0,6.0,10.0,5.0,3.0,6.0
2014-01-27,16.0,15.0,65.0,15.0,75.0,13.0,88.0,12.0,33.0,13.0,11.0,10.0
2014-01-28,21.0,15.0,100.0,29.0,79.0,13.0,86.0,14.0,31.0,10.0,19.0,17.0
2014-01-29,20.0,13.0,59.0,21.0,78.0,16.0,86.0,15.0,22.0,14.0,19.0,19.0
2014-01-30,58.0,24.0,41.0,14.0,85.0,30.0,87.0,18.0,31.0,16.0,12.0,14.0
2014-01-31,85.0,35.0,39.0,15.0,80.0,23.0,89.0,20.0,48.0,23.0,14.0,16.0
2014-02-01,32.0,16.0,12.0,7.0,63.0,11.0,85.0,10.0,19.0,10.0,3.0,8.0
2014-02-02,11.0,13.0,8.0,5.0,61.0,7.0,89.0,7.0,12.0,8.0,0.0,9.0
2014-02-03,40.0,20.0,33.0,11.0,74.0,17.0,86.0,14.0,27.0,9.0,15.0,13.0
2014-02-04,34.0,23.0,35.0,11.0,80.0,19.0,85.0,16.0,100.0,37.0,15.0,13.0
2014-02-05,23.0,17.0,30.0,11.0,80.0,16.0,90.0,16.0,41.0,17.0,13.0,12.0
2014-02-06,20.0,15.0,30.0,8.0,94.0,14.0,82.0,12.0,35.0,11.0,14.0,12.0
2014-02-07,23.0,17.0,42.0,13.0,82.0,18.0,93.0,15.0,30.0,13.0,19.0,20.0
2014-02-08,5.0,9.0,13.0,6.0,59.0,10.0,81.0,7.0,9.0,5.0,6.0,5.0
2014-02-09,3.0,9.0,9.0,5.0,61.0,8.0,83.0,7.0,12.0,7.0,4.0,4.0
2014-02-10,22.0,16.0,34.0,11.0,80.0,14.0,84.0,11.0,30.0,12.0,8.0,13.0
2014-02-11,18.0,18.0,34.0,12.0,79.0,15.0,88.0,13.0,28.0,17.0,14.0,8.0
2014-02-12,29.0,15.0,32.0,11.0,81.0,16.0,88.0,13.0,28.0,10.0,13.0,11.0
2014-02-13,23.0,17.0,33.0,10.0,85.0,18.0,87.0,14.0,27.0,14.0,20.0,14.0
2014-02-14,12.0,15.0,30.0,11.0,72.0,17.0,91.0,12.0,26.0,13.0,13.0,17.0
2014-02-15,6.0,5.0,10.0,5.0,54.0,10.0,84.0,7.0,18.0,7.0,6.0,9.0
2014-02-16,8.0,9.0,6.0,4.0,58.0,6.0,85.0,8.0,11.0,7.0,5.0,6.0
2014-02-17,10.0,10.0,16.0,7.0,83.0,10.0,86.0,11.0,17.0,10.0,5.0,7.0
2014-02-18,20.0,11.0,28.0,11.0,82.0,13.0,88.0,13.0,31.0,10.0,9.0,13.0
2014-02-19,19.0,14.0,30.0,11.0,77.0,18.0,83.0,13.0,26.0,10.0,12.0,15.0
2014-02-20,19.0,13.0,29.0,13.0,86.0,36.0,86.0,13.0,31.0,17.0,10.0,13.0
2014-02-21,18.0,13.0,25.0,10.0,83.0,21.0,83.0,13.0,28.0,18.0,13.0,7.0
2014-02-22,6.0,10.0,10.0,4.0,62.0,13.0,89.0,8.0,11.0,2.0,5.0,13.0
2014-02-23,3.0,12.0,6.0,4.0,61.0,11.0,87.0,9.0,11.0,4.0,8.0,6.0
2014-02-24,17.0,14.0,27.0,8.0,85.0,19.0,88.0,13.0,26.0,14.0,24.0,20.0
2014-02-25,16.0,20.0,25.0,10.0,82.0,22.0,86.0,14.0,23.0,10.0,23.0,14.0
2014-02-26,21.0,17.0,28.0,11.0,76.0,19.0,90.0,17.0,30.0,13.0,20.0,13.0
2014-02-27,17.0,14.0,31.0,11.0,89.0,17.0,93.0,14.0,21.0,12.0,14.0,18.0
2014-02-28,19.0,9.0,29.0,10.0,81.0,17.0,86.0,14.0,24.0,8.0,18.0,18.0
2014-03-01,6.0,13.0,10.0,6.0,60.0,10.0,85.0,9.0,13.0,8.0,0.0,6.0
2014-03-02,2.0,7.0,7.0,4.0,60.0,9.0,89.0,9.0,14.0,2.0,3.0,5.0
2014-03-03,15.0,11.0,28.0,8.0,72.0,13.0,81.0,12.0,24.0,15.0,17.0,12.0
2014-03-04,17.0,21.0,28.0,11.0,75.0,17.0,87.0,15.0,33.0,13.0,10.0,11.0
2014-03-05,14.0,14.0,25.0,10.0,85.0,18.0,88.0,13.0,19.0,16.0,10.0,8.0
2014-03-06,16.0,13.0,22.0,10.0,100.0,16.0,86.0,12.0,30.0,12.0,13.0,10.0
