Date,Price,TV,TC,TPC,TNC,NC,NPC,NNC,SI,SIR,VMP,PCR,SVI-T,SVI-S,SVI,SHOUT
2015-01-02,27.333,151780640,0,0,0,0,0,0,247411008,1.256410667,0.3325175,0.995673467,112.6666667,62.85714286,175.5238095,5864840000
2015-01-09,28.003,282690970,0,0,0,10251,513,-151,249646816,1.109192438,0.34917,1.005134222,145.8888889,78.57142857,224.4603175,5864840000
2015-01-16,26.497,303531140,0,0,0,10416,530,-339,245086724,1.003904351,0.374766,1.029511055,134.3333333,74.28571429,208.6190476,5864840000
2015-01-23,28.245,198362640,0,0,0,8035,415,-94,240526632,0.898616265,0.327886,1.248972261,131.4444444,65.71428571,197.1587302,5824748000
2015-01-30,29.29,461747290,6169,866,-329,16543,1798,-275,235966540,0.793328178,0.281964,1.206719426,309.1111111,144.2857143,453.3968254,5824748000
2015-02-06,29.733,270190470,20930,1955,-1182,10555,542,-126,240170812,0.97251987,0.257374,1.243600916,177.6666667,97.14285714,274.8095238,5824748000
2015-02-13,31.77,301354470,27258,3521,-1004,13245,718,-162,244375084,1.151711562,0.230399,1.254878572,186.3333333,114.2857143,300.6190476,5824748000
2015-02-20,32.374,193883960,21457,1229,-729,9985,483,-114,267631494,1.156937044,0.22553,1.240491858,174.7777778,104.2857143,279.0634921,5824748000
2015-02-27,32.115,369856960,35730,2686,-2915,13564,753,-258,290887904,1.162162525,0.2661445,1.213592996,203.6666667,121.4285714,325.0952381,5824748000
2015-03-06,31.65,246472020,32774,1611,-1238,15103,660,-227,276927536,1.154253431,0.2778575,1.24910061,171.8888889,108.5714286,280.4603175,5824748000
2015-03-13,30.897,325921230,86087,2136,-2911,27815,1366,-402,262967168,1.146344338,0.2681445,1.192772815,212.3333333,140,352.3333333,5824748000
2015-03-20,31.475,266016400,28892,1406,-1202,11859,548,-191,260899124,1.259808353,0.266475,1.218185062,163.2222222,92.85714286,256.0793651,5824748000
2015-03-27,30.812,208731730,23412,1315,-1005,10317,467,-151,258831080,1.373272368,0.3243275,1.173887637,140.1111111,87.14285714,227.2539683,5824748000
2015-04-03,31.33,161628950,17898,1082,-763,8735,446,-147,259032570,1.623303682,0.3102135,1.174168901,128.5555556,80,208.5555556,5824748000
2015-04-10,31.775,181454510,40912,1488,-1666,13019,571,-136,259234060,1.873334996,0.324384,1.134709512,143,88.57142857,231.5714286,5824748000
2015-04-17,31.188,170090870,27985,2216,-1121,12661,747,-168,253560584,1.460835846,0.3288265,1.138428822,147.3333333,92.85714286,240.1904762,5824748000
2015-04-24,32.57,206698310,28451,1820,-1040,11147,489,-137,247887108,1.048336697,0.314124,0.996896805,161.7777778,95.71428571,257.4920635,5824748000
2015-05-01,32.237,417115180,63223,8816,-4010,17143,1704,-280,269081717.3,1.228378575,0.2452985,1.039865602,300.4444444,148.5714286,449.015873,5761030000
2015-05-08,31.905,270197900,28076,1823,-2155,9524,432,-128,290276326.7,1.408420454,0.2189935,1.069360163,173.2077295,103.4782609,276.6859903,5761030000
2015-05-15,32.193,207858180,15936,1086,-408,8506,463,-97,311470936,1.588462332,0.205385,1.085680109,152.1062802,86.08695652,238.1932367,5761030000
2015-05-22,33.135,216438970,29540,2177,-1132,11470,564,-169,279100734,1.461421752,0.181519,1.086985427,145.9516908,94.7826087,240.7342995,5761030000
2015-05-29,32.57,197468800,30082,1666,-1652,10313,407,-145,246730532,1.334381172,0.1948685,1.098947391,128.3671498,82.60869565,210.9758454,5761030000
2015-06-05,32.162,170465550,26282,1031,-1360,11000,522,-180,244361328,1.432100705,0.205085,1.10662327,132.763285,79.13043478,211.8937198,5761030000
2015-06-12,31.792,219812710,74159,2717,-2646,17003,1128,-189,241992124,1.529820239,0.2068455,1.118933266,134.5217391,83.47826087,218,5761030000
2015-06-19,31.65,197925030,28175,2184,-1596,8328,370,-101,248485726,1.55472274,0.214631,1.131430625,119.5748792,66.95652174,186.531401,5761030000
2015-06-26,31.688,195104520,41220,1628,-1267,11384,442,-146,254979328,1.579625241,0.2277905,1.095454715,118.6956522,74.7826087,193.4782609,5761030000
2015-07-03,31.61,150747530,20545,1126,-953,8975,475,-178,251742590,1.494648339,0.2456195,1.121485163,118.6956522,72.17391304,190.8695652,5761030000
2015-07-10,30.82,274904180,27877,2026,-2906,9468,474,-196,248505852,1.409671437,0.285978,1.146612646,138.0386473,80,218.0386473,5761030000
2015-07-17,32.405,188579340,27364,2375,-1202,9744,526,-138,246005170.7,1.328925403,0.27081,1.21248508,149.468599,84.34782609,233.8164251,5761030000
2015-07-24,31.125,336423370,58047,7198,-6123,15098,1254,-502,243504489.3,1.24817937,0.21016,0.990283835,299.8164251,149.5652174,449.3816425,5702722000
2015-07-31,30.325,191087840,18692,1159,-1363,9027,405,-147,241003808,1.167433337,0.2333765,0.978747732,141.5555556,93.04347826,234.5990338,5702722000
2015-08-07,28.88,383883210,38162,3313,-4886,10473,685,-416,250496144,1.028547471,0.2697795,1.021583251,203.9806763,120,323.9806763,5702722000
2015-08-14,28.99,344549090,38609,2935,-3088,9808,493,-255,259988480,0.889661606,0.2639105,0.996972706,189.9130435,106.0869565,296,5702722000
2015-08-21,26.44,318855760,34787,2098,-2738,8457,492,-147,287459650,0.938374714,0.430167,1.004298221,157.3816425,100,257.3816425,5702722000
2015-08-28,28.323,498047270,49935,3556,-3967,11916,668,-416,314930820,0.987087823,0.3431535,1.065995632,326.1932367,249.5652174,575.7584541,5702722000
2015-09-04,27.317,297402060,44628,2418,-2576,11933,627,-212,342737700,1.269251486,0.401615,1.090205308,178.4830918,119.1304348,297.6135266,5702722000
2015-09-11,28.552,251859600,111963,3498,-4098,23644,1543,-252,370544580,1.551415148,0.322977,1.100168431,203.9806763,133.9130435,337.8937198,5702722000
2015-09-18,28.362,276281980,54209,5847,-2628,14920,949,-181,359433972,1.55830611,0.3329955,1.142106884,176.7246377,111.3043478,288.0289855,5702722000
2015-09-25,28.677,238617740,64651,1923,-8130,16153,684,-195,348323364,1.565197072,0.3466565,1.163531453,135.4009662,97.39130435,232.7922705,5702722000
2015-10-02,27.595,313017610,50957,5715,-3045,14679,853,-160,354546306,1.717626857,0.378595,1.17598732,151.2270531,104.3478261,255.5748792,5702722000
2015-10-09,28.03,261920950,36938,1739,-2437,12585,527,-151,360769248,1.870056643,0.3543285,1.192009963,126.6086957,90.43478261,217.0434783,5702722000
2015-10-16,27.76,184208970,25802,1655,-2645,10668,479,-160,340075464,1.715385039,0.3363635,1.213147521,122.2125604,83.47826087,205.6908213,5702722000
2015-10-23,29.77,221612230,40576,2555,-2193,12717,576,-162,319381680,1.560713436,0.3014285,1.105731353,135.4009662,87.82608696,223.2270531,5702722000
2015-10-30,29.875,319660750,44994,11260,-4720,16006,1393,-237,298687896,1.406041832,0.227236,1.238483825,254.0966184,134.7826087,388.8792271,5575331000
2015-11-06,30.265,194953700,27971,1994,-888,10029,395,-120,291201402,1.563199469,0.2222125,1.228477399,150.3478261,93.91304348,244.2608696,5575331000
2015-11-13,28.085,216054740,44008,2022,-3137,13474,602,-232,283714908,1.720357106,0.268576,1.131956378,136.2801932,88.69565217,224.9758454,5575331000
2015-11-20,29.825,189492500,31414,2761,-2131,10289,479,-116,358601760,2.456255874,0.214381,1.11043178,126.6086957,87.82608696,214.4347826,5575331000
2015-11-27,29.452,109582040,17575,894,-654,6630,229,-39,433488612,3.192154643,0.21294,1.098411014,91.43961353,66.08695652,157.52657,5575331000
2015-12-04,29.757,205415620,22582,1345,-1163,9685,464,-116,365222166,2.454924335,0.196378,1.144457268,108.1449275,77.39130435,185.5362319,5575331000
2015-12-11,28.295,188609110,36409,1651,-1737,11570,445,-121,296955720,1.717694028,0.2825,1.072707479,107.2657005,74.7826087,182.0483092,5575331000
2015-12-18,26.507,314856190,41417,2284,-3555,11202,558,-247,284863682,1.695384968,0.2986155,1.142229753,129.2463768,82.60869565,211.8550725,5575331000
2015-12-25,27.007,126450510,23321,1507,-2055,8525,475,-154,272771644,1.673075909,0.262646,1.128768185,98.47342995,76.52173913,174.9951691,5575331000
2016-01-01,26.315,123621760,20071,1392,-3555,6152,251,-252,269844601.3,1.455689897,0.3115875,1.160989065,93.19806763,63.47826087,156.6763285,5575331000
2016-01-08,24.24,343000960,43019,2959,-9160,13659,127,-453,266917558.7,1.238303885,0.3804285,1.103610047,224.0772947,135.1552795,359.2325742,5544487000
2016-01-15,24.282,303375940,34744,4600,-3747,11078,106,-122,263990516,1.020917874,0.3969645,1.077039865,193.9323671,129.1925466,323.1249137,5544487000
2016-01-22,25.355,242982970,33014,2011,-5167,8439,49,-119,259082302,0.968616145,0.358457,0.868063428,167.8067633,118.2608696,286.0676329,5544487000
2016-01-29,24.335,376481100,79528,8753,-15915,17799,575,-795,254174088,0.916314416,0.2480095,0.907756294,317.52657,154.0372671,471.5638371,5544583000
2016-02-05,23.505,216608840,33622,5185,-1812,10715,215,-185,240588002,1.091169418,0.2969365,0.915908389,175.8454106,108.3229814,284.168392,5544583000
2016-02-12,23.497,230794620,18732,1057,-1525,6828,25,-102,227001916,1.266024421,0.290129,0.842264279,154.7439614,99.37888199,254.1228433,5544583000
2016-02-19,24.01,167001070,64917,1780,-2460,16305,62,-247,208210848,1.284832126,0.251082,0.853623783,133.6425121,86.45962733,220.1021394,5544583000
2016-02-26,24.228,158759600,73729,1007,-1541,18137,39,-266,189419780,1.303639831,0.233192,0.991952501,136.6570048,92.42236025,229.0793651,5544583000
2016-03-04,25.753,201482180,48647,1167,-1178,13592,31,-198,200021746,1.39932797,0.2146855,1.057439057,143.6908213,90.43478261,234.1256039,5544583000
2016-03-11,25.565,155437450,47795,790,-4153,11000,27,-281,210623712,1.495016109,0.2271,1.019183995,128.6183575,81.49068323,210.1090407,5544583000
2016-03-18,26.48,181323210,35867,1403,-2064,10580,57,-105,216326088,1.598237484,0.228419,0.994953658,135.6521739,78.50931677,214.1614907,5544583000
2016-03-25,26.417,119054360,86845,1550,-3661,19409,45,-125,222028464,1.701458858,0.2354975,1.024966417,151.7294686,91.42857143,243.15804,5544583000
2016-04-01,27.497,147641240,64767,1919,-5035,15993,70,-393,218075556,1.710553312,0.260779,1.073894006,143.6908213,84.47204969,228.1628709,5544583000
2016-04-08,27.165,145351790,29633,1616,-1097,10839,75,-117,214122648,1.719647765,0.2988255,1.081704026,136.6570048,81.49068323,218.1476881,5544583000
2016-04-15,27.462,161518860,27947,1395,-1256,9950,68,-74,210169740,1.728742219,0.289508,1.16958691,132.6376812,82.48447205,215.1221532,5544583000
2016-04-22,26.42,188775240,38077,2280,-2999,12391,44,-201,217812744,1.387024919,0.2670315,1.151363193,129.6231884,81.49068323,211.1138716,5544583000
2016-04-29,23.435,345910030,87807,5148,-23778,18629,222,-1466,225455748,1.045307619,0.251439,1.067006088,316.5217391,183.8509317,500.3726708,5477425000
2016-05-06,23.18,225114110,47100,1739,-5551,10681,72,-376,224194346,1.15360127,0.23298,1.112421997,193.9323671,131.1801242,325.1124914,5477425000
2016-05-13,22.63,215596350,44762,7404,-4982,11583,60,-308,222932944,1.261894922,0.234192,1.181923425,170.821256,119.2546584,290.0759144,5477425000
2016-05-20,23.805,212312980,49004,5830,-1998,13301,217,-292,310864714,1.823651705,0.2043325,1.123291573,203.9806763,135.1552795,339.1359558,5477425000
2016-05-27,25.087,203902650,36470,2481,-1365,10754,96,-89,398796484,2.385408488,0.1967915,1.040901293,182.8792271,103.3540373,286.2332643,5477425000
2016-06-03,24.48,140064910,30505,1027,-2911,8090,38,-96,325246314,2.267134575,0.1939515,1.092386584,127.6135266,76.52173913,204.1352657,5477425000
2016-06-10,24.708,124731320,30332,1229,-2152,8365,47,-91,251696144,2.148860663,0.2157205,1.107379061,129.6231884,78.50931677,208.1325052,5477425000
2016-06-17,23.833,191017280,72028,1475,-1546,14398,32,-82,233734410,1.720953798,0.251829,1.079720539,129.6231884,78.50931677,208.1325052,5477425000
2016-06-24,23.35,206149160,30508,838,-2105,9205,48,-162,215772676,1.293046932,0.267426,1.058703654,140.6763285,87.45341615,228.1297447,5477425000
2016-07-01,23.972,184254460,26994,886,-1192,7763,27,-123,202853784,1.385809461,0.2236425,1.092352493,140.6763285,90.43478261,231.1111111,5477425000
2016-07-08,24.17,111769640,19804,742,-1132,6750,32,-100,189934892,1.478571989,0.228966,1.067644237,97.46859903,56.64596273,154.1145618,5477425000
2016-07-15,24.695,142244590,18626,1215,-1139,8015,86,-83,177016000,1.571334518,0.2177035,1.085316987,117.5652174,76.52173913,194.0869565,5477425000
2016-07-22,24.665,147358320,26990,1759,-2552,8646,75,-97,189925216,1.412647621,0.223171,1.035882899,132.6376812,75.52795031,208.1656315,5477425000
2016-07-29,26.052,252358930,62602,8095,-8574,15688,367,-623,202834432,1.253960724,0.168754,1.064497139,264.2705314,125.2173913,389.4879227,5388443000
2016-08-05,26.87,168265830,36073,2292,-2210,9610,52,-153,204934358,1.509304361,0.174173,1.113018796,143.6908213,80.49689441,224.1877157,5388443000
2016-08-12,27.045,124255340,24765,1499,-862,9166,61,-76,207034284,1.764647997,0.170416,1.066219576,137.6618357,81.49068323,219.152519,5388443000
2016-08-19,27.34,131814920,36221,1976,-1811,10189,84,-127,197683400,1.794662876,0.170294,1.035997474,122.589372,71.55279503,194.142167,5388443000
2016-08-26,26.735,123373540,38235,1861,-1813,10092,59,-78,188332516,1.824677754,0.190659,1.070254177,107.5169082,63.60248447,171.1193927,5388443000
2016-09-02,26.933,134426100,66379,2153,-9629,18778,64,-622,214437822,1.476744349,0.1851065,1.109393059,128.3443127,92.42236025,220.7666729,5388443000
2016-09-09,25.782,168312530,206854,2660,-2933,26662,110,-239,240543128,1.128810943,0.2135635,1.129772774,163.1480018,144.3478261,307.4958278,5388443000
2016-09-16,28.73,388543710,80351,6423,-2901,19421,276,-113,233317565.3,1.211251329,0.222738,1.066955711,205.6706192,146.0869565,351.7575758,5388443000
2016-09-23,28.177,200842480,45541,1776,-1359,13737,68,-73,226092002.7,1.293691714,0.236169,1.191164232,151.866491,126.9565217,278.8230127,5388443000
2016-09-30,28.263,156186800,34443,1096,-1596,11019,38,-61,218866440,1.3761321,0.2547795,1.153595905,123.2288098,96.52173913,219.750549,5388443000
2016-10-07,28.515,125587350,38678,1682,-1028,11709,78,-77,221443448,1.521827749,0.2579915,1.144614768,105.8726394,78.26086957,184.133509,5388443000
2016-10-14,29.407,208231690,41472,3052,-3025,12820,110,-119,224020456,1.667523398,0.2489615,1.119960858,142.3205973,100.8695652,243.1901625,5388443000
2016-10-21,29.15,114497020,33138,1240,-1704,10685,26,-65,221364850,1.687618791,0.2427615,1.084269351,118.0219587,86.08695652,204.1089152,5388443000
2016-10-28,28.43,204530120,82385,6571,-10603,19804,317,-680,218709244,1.707714185,0.182627,1.095508649,224.7624067,122.6086957,347.3711023,5332313000
2016-11-04,27.21,155287280,30927,1060,-1614,9666,35,-69,198296118,1.434803758,0.2360305,1.050353108,111.9472991,81.73913043,193.6864295,5332313000
2016-11-11,27.108,206825070,24148,701,-1233,8548,20,-72,177882992,1.16189333,0.211496,1.036016336,142.3205973,101.7391304,244.0597277,5332313000
2016-11-18,27.515,197790040,33891,1225,-1869,10955,23,-81,206844130,1.549861466,0.1962865,1.053161278,120.6253843,83.47826087,204.1036451,5332313000
2016-11-25,27.948,93992370,20635,762,-717,7807,39,-31,235805268,1.937829602,0.169789,1.066817405,83.30961792,64.34782609,147.657444,5332313000
2016-12-02,27.475,155229390,24369,930,-1226,9633,26,-43,210048664,1.659853639,0.173214,1.028853473,88.51646904,69.56521739,158.0816864,5332313000
2016-12-09,28.487,151624650,43371,3604,-2505,12173,34,-194,184292060,1.381877676,0.171065,1.071794353,94.59112868,75.65217391,170.2433026,5332313000
2016-12-16,28.993,194003220,29099,1477,-1103,11732,46,-41,186333730.7,1.571560953,0.173928,1.052354226,108.476065,78.26086957,186.7369346,5332313000
2016-12-23,29.13,113106370,34674,813,-5784,10094,24,-227,188375401.3,1.76124423,0.1797945,1.045656712,90.25208608,71.30434783,161.5564339,5332313000
2016-12-30,28.955,84354060,16569,579,-583,5346,14,-28,190417072,1.950927507,0.220338,1.039060669,71.16029864,60,131.1602986,5332313000
2017-01-06,29.478,103680760,28078,2191,-1363,7467,444,-188,184169082,1.800382424,0.2096705,1.072183793,85.91304348,66.08695652,152,5332313000
2017-01-13,29.76,138446660,31094,1356,-2298,10846,562,-252,177921092,1.649837341,0.2183265,1.085760445,100.6657883,74.7826087,175.448397,5257816000
2017-01-20,30,113576380,19306,2028,-964,6845,382,-144,182823310,1.629788723,0.200734,1.080729965,87.64866052,70.43478261,158.0834431,5257816000
2017-01-27,30.487,124406640,25597,1146,-2354,9409,497,-286,187725528,1.609740105,0.1911745,1.169591173,105.8726394,82.60869565,188.4813351,5257816000
2017-02-03,32.27,248063580,52336,10177,-3758,14134,882,-341,188960574,1.458640121,0.140964,1.112334087,264.6815986,141.7391304,406.420729,5255423000
2017-02-10,33.03,136252280,29735,1868,-1028,8901,74,-72,190195620,1.307540138,0.1414425,1.174701892,128.435661,100,228.435661,5246540000
2017-02-17,33.93,136326260,33702,5722,-783,10392,206,-41,197083440,1.809508737,0.1579415,1.180105907,151.866491,120.8695652,272.7360562,5246540000
2017-02-24,34.165,87773190,18916,924,-486,7304,45,-25,203971260,2.311477336,0.1501935,1.124978217,112.8151076,90.43478261,203.2498902,5246540000
2017-03-03,34.945,127757050,24139,2358,-1512,8674,92,-54,207755652,2.355122808,0.151234,1.17820384,137.9815547,117.3913043,255.372859,5246540000
2017-03-10,34.785,99061270,23858,1003,-790,8684,51,-17,211540044,2.39876828,0.149095,1.194273009,102.4014054,96.52173913,198.9231445,5246540000
2017-03-17,34.998,120881720,20293,700,-588,7080,56,-32,202456909.3,2.175068653,0.146554,1.236573498,98.93017128,85.2173913,184.1475626,5246540000
2017-03-24,35.16,129178500,37958,1543,-1833,12344,126,-46,193373774.7,1.951369027,0.172491,1.232421548,116.2863417,95.65217391,211.9385156,5246540000
2017-03-31,35.915,126819590,24933,1466,-1095,10648,79,-43,184290640,1.7276694,0.19292,1.255248876,113.6829161,93.04347826,206.7263944,5246540000
2017-04-07,35.835,105274540,26051,1118,-4514,8905,0,0,183214216,2.130942291,0.2021,1.231879471,105.0048309,88.69565217,193.7004831,5246540000
2017-04-14,35.263,87342130,15765,598,-1490,6420,0,0,182451817.3,2.253599614,0.2136115,1.194687508,83.30961792,78.26086957,161.5704875,5246540000
2017-04-21,35.568,89092650,20941,649,-579,9390,0,0,181689418.7,2.376256937,0.200521,1.223371813,90.25208608,80,170.2520861,5246540000
2017-04-28,35.912,90423600,20669,685,-887,7862,0,0,180927020,2.49891426,0.1958395,1.184656623,103.2692139,86.08695652,189.3561704,5246540000
2017-05-05,37.24,173861760,48286,5777,-4913,13554,0,0,190281504,1.979199287,0.1388555,1.166090493,219.2815108,137.3913043,356.6728151,5213840000
2017-05-12,39.025,173087500,26972,3723,-850,9435,0,0,199635988,1.459484314,0.1700225,1.211523389,163.0566535,130.8361204,293.8927739,5213840000
2017-05-19,38.265,156993820,25183,1274,-753,9467,0,0,226209076,1.973738633,0.1846485,1.251784735,138.9863856,114.7826087,253.7689943,5213840000
2017-05-26,38.403,103151450,27310,1676,-1648,8342,0,0,252782164,2.487992953,0.1550955,1.19377559,109.4808959,94.71571906,204.196615,5213840000
2017-06-02,38.862,88670120,15823,662,-291,7190,13,-5,237479656,2.06190213,0.1591285,1.190011203,83.08124726,76.2541806,159.3354279,5213840000
2017-06-09,37.245,158814040,54940,1843,-1230,16631,54,-89,222177148,1.635811307,0.226895,1.255597756,131.9982433,113.9799331,245.9781764,5213840000
2017-06-16,35.568,219638930,28937,867,-2069,10774,52,-148,203959328,1.583988705,0.198773,1.180008943,149.8568292,119.5986622,269.4554914,5213840000
2017-06-23,36.57,132832660,19148,979,-496,9400,45,-55,185741508,1.532166102,0.1829465,1.248815956,109.4808959,100.3344482,209.8153441,5213840000
2017-06-30,36.005,126890110,24134,1372,-468,10452,60,-45,167523688,1.4803435,0.222169,1.251388945,95.50461133,85.08361204,180.5882234,5213840000
2017-07-07,36.045,78465450,12794,929,-558,6055,50,-84,162061728,1.665530741,0.233692,1.213381454,88.51646904,81.8729097,170.3893787,5213840000
2017-07-14,37.26,109759170,17787,893,-760,8593,53,-42,156599768,1.850717983,0.221428,1.239602124,93.17523057,78.66220736,171.8374379,5213840000
2017-07-21,37.568,104744470,23443,1260,-1110,8859,59,-161,158926056,1.881652534,0.2266375,1.203995924,102.4927536,81.8729097,184.3656633,5213840000
2017-07-28,37.375,105536280,26776,2009,-1414,10176,62,-69,161252344,1.912587086,0.2493505,1.109804307,114.9161177,91.50501672,206.4211344,5213840000
2017-08-04,39.097,170204830,49415,9961,-1725,15347,785,-190,158860326,1.560863621,0.184989,1.166357631,229.0557751,170.9698997,400.0256748,5165228000
2017-08-11,39.37,149860480,21298,1120,-840,8922,89,-93,156468308,1.209140157,0.227899,1.184279043,134.3276241,117.1906355,251.5182595,5165228000
2017-08-18,39.375,133829670,23236,863,-532,9310,63,-35,174452144,1.548120296,0.232305,1.167579801,123.4571805,102.7424749,226.1996554,5165228000
2017-08-25,39.965,112238670,19933,516,-262,9520,43,-24,192435980,1.887100436,0.2289845,1.149016164,95.50461133,85.88628763,181.390899,5165228000
2017-09-01,41.013,125610990,31069,2016,-248,12322,89,-46,181078010.7,1.646890338,0.2327015,1.056083343,119.5748792,99.53177258,219.1066518,5165228000
2017-09-08,39.658,101419110,21290,526,-1127,10229,42,-42,169720041.3,1.406680239,0.242419,1.011865014,90.8458498,86.68896321,177.534813,5165228000
2017-09-15,39.97,220431100,98180,2467,-3322,33638,178,-247,158362072,1.166470141,0.19379,0.997368858,197.997365,225.5518395,423.5492044,5165228000
2017-09-22,37.972,184774960,39487,1206,-1546,15203,66,-94,155255450,1.140741428,0.218589,1.037282912,131.221783,134.0468227,265.2686058,5165228000
2017-09-29,38.53,153864260,37515,1150,-1692,12964,64,-112,152148828,1.115012714,0.2179025,1.018491084,130.4453228,130.0334448,260.4787676,5165228000
2017-10-06,38.825,93376940,27793,506,-899,11545,47,-43,144559658,1.535324325,0.2401235,1.036718079,96.28107159,105.1505017,201.4315733,5165228000
2017-10-13,39.248,81456400,25088,436,-712,9064,40,-79,136970488,1.955635935,0.2323225,1.008973005,94.72815108,93.11036789,187.838519,5165228000
2017-10-20,39.062,125580810,26842,732,-1877,10561,71,-256,135465836,1.588051588,0.242471,1.058741583,114.1396574,110.7692308,224.9088882,5165228000
2017-10-27,40.763,122002750,28834,502,-1849,11030,60,-65,133961184,1.220467241,0.25864,1.080857967,118.0219587,108.361204,226.3831627,5165228000
2017-11-03,43.125,212914220,47564,5923,-1656,18197,566,-179,152644890,1.294965774,0.2035165,1.150081256,244.5849802,194.2474916,438.8324719,5134312000
2017-11-10,43.667,138013640,48712,2778,-3111,14403,139,-140,171328596,1.369464307,0.1841895,1.190555396,159.9508125,168.5618729,328.5126854,5134312000
